股票代码,股票名称
000062,深圳华强
000070,特发信息
000539,粤电力Ａ
000603,盛达资源
000636,风华高科
000657,中钨高新
000670,盈方微
000792,盐湖股份
000811,冰轮环境
000815,美利云
000818,航锦科技
000878,云南铜业
000938,紫光股份
000959,首钢股份
000990,诚志股份
001248,华润新能
001256,炜冈科技
001266,宏英智能
001267,汇绿生态
001309,德明利
001339,智微智能
001389,广合科技
001896,豫能控股
002008,大族激光
002009,天奇股份
002046,国机精工
002131,利欧股份
002192,融捷股份
002218,拓日新能
002281,光迅科技
002283,天润工业
002384,东山精密
002407,多氟多
002432,九安医疗
002451,摩恩电气
002463,沪电股份
002475,立讯精密
002484,江海股份
002491,通鼎互联
002498,汉缆股份
002545,东方铁塔
002580,圣阳股份
002591,恒大高新
002636,金安国纪
002647,仁东控股
002733,雄韬股份
002787,华源控股
002792,通宇通讯
002821,凯莱英
002902,铭普光磁
002916,深南电路
002938,鹏鼎控股
002955,鸿合科技
002980,华盛昌
002990,盛视科技
003004,声迅股份
003031,中瓷电子
003036,泰坦股份
300015,爱尔眼科
300017,网宿科技
300113,顺网科技
300124,汇川技术
300136,信维通信
300179,四方达
300221,银禧科技
300285,国瓷材料
300305,裕兴股份
300408,三环集团
300433,蓝思科技
300436,广生堂
300450,先导智能
300475,香农芯创
300502,新易盛
300706,阿石创
300723,一品红
300738,奥飞数据
300747,锐科激光
300753,爱朋医疗
300759,康龙化成
300790,宇瞳光学
300846,首都在线
300857,协创数据
300878,维康药业
300890,翔丰华
300936,中英科技
300985,致远新能
301045,天禄科技
301051,信濠光电
301075,多瑞医药
301179,泽宇智能
301188,力诺药包
301217,铜冠铜箔
301252,同星科技（名称核验候选）
301302,华如科技
301310,鑫宏业
301313,凡拓数创
301328,维峰电子
301366,一博科技
301396,宏景科技
301486,致尚科技
301536,星宸科技（名称核验候选）
600176,中国巨石
600183,生益科技
600186,莲花控股
600246,万通发展
600309,万华化学
600367,红星发展
600378,昊华科技
600481,双良节能
600545,卓郎智能
600593,大连圣亚
600601,方正科技
600641,先导基电
600666,奥瑞德
600674,川投能源
600746,江苏索普
600775,南京熊猫
601179,中国西电
601777,千里科技
601869,长飞光纤
601929,吉视传媒
603026,石大胜华
603045,福达合金
603078,江化微
603083,剑桥科技
603115,海星股份
603125,常青科技
603269,海鸥股份
603303,得邦照明
603306,华懋科技
603311,金海高科
603375,盛景微
603608,天创时尚
603618,杭电股份
603629,利通电子
603650,彤程新材
603686,福龙马
603773,沃格光电
603826,坤彩科技
603897,长城科技
605118,力鼎光电
605289,罗曼股份
605358,立昂微
688001,华兴源创
688003,天准科技
688123,聚辰股份
688136,科兴制药
688180,君实生物
688234,天岳先进
688268,华特气体
688368,晶丰明源
688416,恒烁股份
688515,裕太微
688525,佰维存储
688549,中巨芯
688584,上海合晶
688618,三旺通信
688668,鼎通科技
688690,纳微科技
688702,盛科通信
688800,瑞可达
688811,有研复材
920083,金戈新材
920222,益坤电气
