日期,开盘价,最高价,最低价,收盘价,成交量,成交额,换手率
2025-07-16,35.17,35.19,34.57,34.59,6901,24032198.89,2.4
2025-07-17,34.6,34.8,34.02,34.17,10490,35899300.46,3.65
2025-07-18,34.1,34.1,32.7,32.75,18262,60375125.86,6.36
2025-07-21,33.0,33.01,32.14,32.5,14597,47414264.7,5.08
2025-07-22,32.53,32.78,32.37,32.5,9572,31144968.9,3.33
2025-07-23,32.8,32.8,31.9,32.22,11106,35811184.88,3.86
2025-07-24,32.27,32.42,32.02,32.38,7703,24831866.89,2.68
2025-07-25,33.02,33.2,32.13,32.48,12838,42008902.37,4.47
2025-07-28,32.48,32.85,32.0,32.25,7038,22691120.67,2.45
2025-07-29,32.45,32.45,31.6,31.8,6922,22077461.99,2.41
2025-07-30,32.0,32.06,31.49,31.84,6859,21747134.43,2.39
2025-07-31,31.84,32.27,31.22,31.51,10375,32880998.13,3.61
2025-08-01,31.84,31.84,31.2,31.58,5071,15955797.4,1.76
2025-08-04,31.58,31.81,31.2,31.63,4397,13840640.34,1.53
2025-08-05,31.87,32.44,31.47,32.23,12291,39521959.93,4.28
2025-08-06,32.23,32.43,31.51,31.66,10227,32573067.05,3.56
2025-08-07,31.65,31.65,31.06,31.13,7425,23161433.04,2.58
2025-08-08,31.35,31.35,30.33,30.4,8593,26285898.53,2.99
2025-08-11,30.4,30.87,30.21,30.6,6297,19167938.64,2.19
2025-08-12,30.87,30.87,30.3,30.41,5347,16285085.63,1.86
2025-08-13,30.62,30.79,30.3,30.35,5571,16954954.49,1.94
2025-08-14,30.5,30.5,29.09,29.15,8997,26733721.57,3.13
2025-08-15,29.45,29.53,29.1,29.3,6298,18443013.19,2.19
2025-08-18,29.49,30.65,29.3,30.58,11512,34777283.78,4.01
2025-08-19,30.58,31.83,30.32,31.83,18456,57914894.54,6.42
2025-08-20,31.81,31.83,30.52,31.63,14457,45022634.01,5.03
2025-08-21,31.65,33.88,31.37,32.9,34168,112776988.79,11.89
2025-08-22,32.6,32.65,31.52,31.79,19787,62944351.06,6.89
2025-08-25,31.63,32.1,31.29,31.39,16308,51431288.46,5.67
2025-08-26,31.0,31.3,29.73,29.73,26204,78981148.94,9.12
2025-08-27,30.1,30.1,28.28,28.32,19739,57561886.87,6.87
2025-08-28,28.89,28.92,27.44,28.38,16570,46972914.98,5.77
2025-08-29,29.0,29.0,27.21,27.28,19836,55631564.52,6.9
2025-09-01,27.59,27.7,26.9,27.7,16046,43863633.49,5.58
2025-09-02,27.96,28.4,27.07,27.98,14881,41169942.83,5.18
2025-09-03,28.47,28.47,26.77,26.88,10907,29871377.89,3.8
2025-09-04,27.04,27.99,26.6,27.75,14175,38960639.82,4.93
2025-09-05,28.48,28.48,27.77,28.27,12124,34118558.5,4.22
2025-09-08,28.23,28.6,27.92,28.1,14066,39679290.2,4.89
2025-09-09,28.06,28.06,26.76,26.8,12491,33981840.31,4.35
2025-09-10,26.98,27.1,26.26,26.59,13774,36765091.14,4.79
2025-09-11,26.79,26.97,26.49,26.62,8451,22537208.81,2.94
2025-09-12,26.88,26.97,26.4,26.5,9854,26221707.42,3.43
2025-09-15,26.65,26.76,26.21,26.35,6944,18397803.56,2.42
2025-09-16,25.76,26.88,25.5,26.6,10356,27334298.0,3.6
2025-09-17,26.6,27.13,26.39,26.41,10216,27278058.57,3.55
2025-09-18,26.58,26.95,25.89,26.31,14325,37989073.99,4.98
2025-09-19,26.54,26.67,25.89,25.91,8954,23433596.13,3.12
2025-09-22,26.07,26.19,25.22,25.28,7926,20208571.73,2.76
2025-09-23,25.65,25.65,23.71,23.93,13330,32323754.75,4.64
2025-09-24,23.98,24.78,23.88,24.66,8872,21649147.04,3.09
2025-09-25,24.91,25.15,24.25,24.31,7213,17858520.84,2.51
2025-09-26,24.55,24.73,24.04,24.04,6129,14943093.36,2.13
2025-09-29,24.52,24.58,23.18,23.42,8756,20733114.74,3.05
2025-09-30,23.6,23.87,23.38,23.41,5795,13666520.46,2.02
2025-10-09,23.2,23.58,22.6,23.55,8429,19441459.87,2.93
2025-10-10,23.89,24.21,23.55,23.78,6470,15455248.0,2.25
2025-10-13,22.88,24.14,22.6,23.65,8063,18974415.34,2.81
2025-10-14,23.83,24.88,23.53,24.23,13163,31988895.74,4.58
2025-10-15,24.2,24.43,23.8,24.25,6441,15522057.62,2.24
2025-10-16,24.42,24.44,23.28,23.32,8346,19846652.25,2.9
2025-10-17,23.46,23.58,22.61,22.7,4921,11354688.7,1.71
2025-10-20,22.78,23.6,22.7,23.3,7819,18187311.65,2.72
2025-10-21,23.23,24.29,23.0,24.18,11785,28141309.93,4.1
2025-10-22,24.28,24.83,23.96,24.2,10495,25631987.18,3.65
2025-10-23,24.7,24.7,23.6,23.8,6624,15816275.63,2.31
2025-10-24,23.81,25.7,23.76,24.25,18236,45187207.95,6.35
2025-10-27,23.97,24.37,23.7,23.92,10586,25365828.56,3.68
2025-10-28,24.09,24.34,23.51,23.54,8256,19727237.22,2.87
2025-10-29,23.64,24.78,22.9,24.72,15287,36538111.5,5.32
2025-10-30,24.72,25.7,24.61,24.71,16480,41489198.1,5.73
2025-10-31,24.71,25.58,24.21,25.16,13290,33528255.47,4.62
2025-11-03,25.51,25.78,24.6,24.8,11200,28172478.98,3.9
2025-11-04,25.13,25.13,24.5,24.8,5791,14308247.35,2.02
2025-11-05,25.1,25.11,24.43,24.9,6586,16333854.26,2.29
2025-11-06,24.98,25.09,24.25,24.32,7274,17836927.25,2.53
2025-11-07,24.43,24.5,24.04,24.05,5387,13057570.3,1.87
2025-11-10,24.29,24.87,23.91,24.58,8207,20111446.65,2.86
2025-11-11,24.5,24.78,24.3,24.64,5887,14450763.35,2.05
2025-11-12,24.7,25.34,24.3,25.11,10249,25677231.12,3.57
2025-11-13,25.14,25.7,24.78,24.83,13050,33017559.36,4.54
2025-11-14,24.6,25.3,24.44,24.53,6538,16158010.59,2.27
2025-11-17,24.48,24.48,23.81,23.84,7273,17480951.92,2.53
2025-11-18,23.84,24.25,23.28,23.38,6206,14550979.7,2.16
2025-11-19,23.5,23.61,22.71,22.99,6326,14581131.31,2.2
2025-11-20,23.2,23.45,22.77,23.05,4569,10549489.18,1.59
2025-11-21,23.1,23.96,21.52,21.52,15267,34707095.44,5.31
2025-11-24,21.83,21.99,21.2,21.81,9453,20436387.56,3.29
2025-11-25,21.83,22.55,21.75,21.95,5851,12954228.2,2.04
2025-11-26,21.95,22.36,21.51,21.73,4404,9583012.81,1.53
2025-11-27,21.99,21.99,21.31,21.49,3457,7477891.19,1.2
2025-11-28,21.56,21.56,21.23,21.26,3678,7848809.49,1.28
2025-12-01,21.4,21.75,21.11,21.72,6016,12958293.75,2.09
2025-12-02,21.99,21.99,21.21,21.28,5685,12150190.02,1.98
2025-12-03,21.27,21.44,20.62,20.71,4920,10283279.01,1.71
2025-12-04,20.85,20.85,20.1,20.1,5181,10526965.55,1.8
2025-12-05,20.35,20.76,19.95,20.62,7128,14571762.65,2.48
2025-12-08,20.7,21.04,20.33,20.74,5157,10706930.8,1.79
2025-12-09,20.63,20.98,20.16,20.2,4516,9206321.21,1.57
2025-12-10,20.18,20.34,19.67,20.05,5030,10033703.27,1.75
2025-12-11,20.06,21.26,19.68,20.91,11538,23807371.68,4.01
2025-12-12,20.68,21.93,20.46,21.06,14671,31394482.7,5.11
2025-12-15,20.88,21.4,20.53,21.05,8111,17130441.81,2.82
2025-12-16,21.08,21.7,20.98,21.46,9377,20128503.4,3.26
2025-12-17,21.61,21.61,21.02,21.48,9160,19490533.98,3.19
2025-12-18,21.35,21.48,21.11,21.35,5283,11266996.91,1.84
2025-12-19,21.36,22.44,21.2,21.91,11551,25279966.15,4.02
2025-12-22,22.0,22.06,21.53,21.83,8421,18385306.15,2.93
2025-12-23,21.94,22.15,20.89,20.99,8193,17442489.8,2.85
2025-12-24,20.99,21.98,20.71,21.23,10640,22819473.76,3.7
2025-12-25,21.38,21.9,21.05,21.4,9666,20863557.89,3.36
2025-12-26,21.27,21.65,21.12,21.27,5841,12450551.26,2.03
2025-12-29,20.46,21.43,20.46,20.7,6064,12587948.15,2.11
2025-12-30,20.76,21.99,20.26,20.56,14745,30894301.36,5.13
2025-12-31,20.46,20.71,20.15,20.46,7665,15598382.49,2.67
2026-01-05,20.95,20.95,20.31,20.56,5538,11409944.76,1.93
2026-01-06,20.67,21.38,20.52,21.27,8883,18711274.77,3.09
2026-01-07,21.59,21.59,21.03,21.2,7303,15521427.49,2.54
2026-01-08,21.16,21.46,21.0,21.35,5604,11942580.68,1.95
2026-01-09,21.59,21.75,21.21,21.44,7555,16239264.43,2.63
2026-01-12,21.44,21.99,21.42,21.9,10238,22241337.93,3.56
2026-01-13,22.18,22.85,21.9,21.91,14878,33275070.51,5.18
2026-01-14,21.92,23.0,21.63,22.51,18546,41270311.71,6.45
2026-01-15,22.38,22.53,21.7,21.86,10923,24143080.9,3.8
2026-01-16,21.88,22.17,21.66,21.67,5312,11599843.3,1.85
2026-01-19,21.74,21.87,21.55,21.75,4421,9607299.75,1.54
2026-01-20,21.76,21.91,21.45,21.68,5319,11511514.4,1.85
2026-01-21,21.6,21.75,21.4,21.53,6000,12953614.03,2.09
2026-01-22,21.6,22.15,21.53,21.92,13012,28365280.46,4.53
2026-01-23,22.0,22.4,21.83,22.19,10185,22646945.59,3.54
2026-01-26,22.09,22.5,21.81,22.15,7496,16534730.79,2.61
2026-01-27,22.15,22.15,21.36,21.65,6809,14743331.97,2.37
2026-01-28,21.65,22.96,21.55,22.22,19668,44070235.08,6.84
2026-01-29,22.22,23.2,21.99,22.78,20841,47316342.1,7.25
2026-01-30,23.26,24.56,22.3,23.06,39216,92279035.04,13.65
2026-02-02,22.5,22.51,20.09,20.68,24966,53386478.65,8.69
2026-02-03,20.78,21.25,20.56,20.72,15458,32104153.04,5.38
2026-02-04,20.82,21.06,19.92,20.17,20933,42833577.06,7.28
2026-02-05,19.9,20.14,19.76,19.76,9063,18053060.45,3.15
2026-02-06,19.7,20.25,19.61,20.05,8126,16311190.04,2.83
2026-02-09,20.45,20.8,20.15,20.23,7001,14279392.41,2.44
2026-02-10,20.45,20.76,20.11,20.13,5152,10488023.58,1.79
2026-02-11,20.13,20.41,20.01,20.2,5728,11574902.06,1.99
2026-02-12,20.0,20.22,19.77,19.79,6131,12235798.99,2.13
2026-02-13,19.79,20.12,19.7,19.73,4412,8773273.82,1.54
2026-02-24,20.14,20.58,19.88,20.5,8578,17448897.39,2.99
2026-02-25,20.8,20.8,20.19,20.29,5794,11845002.65,2.02
2026-02-26,20.25,20.49,20.11,20.13,4182,8463508.21,1.46
2026-02-27,20.0,20.34,19.75,19.81,6859,13630943.84,2.39
2026-03-02,19.76,19.88,19.2,19.64,9803,19139659.73,3.41
2026-03-03,19.83,20.36,19.62,20.08,12551,25175519.8,4.37
2026-03-04,20.18,20.6,19.41,19.66,10369,20738075.84,3.61
2026-03-05,19.91,19.91,19.28,19.47,7409,14391286.85,2.58
2026-03-06,19.38,19.45,18.9,19.33,7657,14674951.98,2.66
2026-03-09,19.27,19.42,18.69,18.88,7388,14007458.16,2.57
2026-03-10,19.25,19.29,18.89,19.1,4684,8956515.31,1.63
2026-03-11,19.2,19.45,18.89,19.14,6145,11816168.28,2.14
2026-03-12,19.1,19.54,18.79,18.82,6113,11701238.13,2.13
2026-03-13,18.8,19.26,18.65,18.72,5066,9579956.59,1.76
2026-03-16,18.95,18.95,18.38,18.51,3626,6746520.07,1.26
2026-03-17,18.51,18.8,18.19,18.3,5013,9217317.69,1.74
2026-03-18,18.19,18.43,17.9,18.08,4171,7529730.53,1.45
2026-03-19,18.07,18.09,17.27,17.37,6456,11338530.46,2.25
2026-03-20,17.37,17.79,16.72,16.86,6324,10906457.33,2.2
2026-03-23,16.46,16.98,15.9,16.24,10167,16684507.48,3.54
2026-03-24,16.24,16.85,16.24,16.72,7407,12233631.57,2.58
2026-03-25,16.87,16.97,16.51,16.74,5254,8771269.76,1.83
2026-03-26,16.8,17.2,16.26,16.74,6287,10565650.65,2.19
2026-03-27,16.52,16.74,16.29,16.57,5351,8842612.51,1.86
2026-03-30,16.37,16.68,16.06,16.19,3850,6250940.83,1.34
2026-03-31,16.49,16.49,15.87,15.96,4829,7803891.18,1.68
2026-04-01,16.15,16.25,15.98,16.15,2274,3664389.91,0.79
2026-04-02,16.17,16.9,16.0,16.76,8180,13554170.51,2.85
2026-04-03,16.73,16.81,16.02,16.09,7149,11659530.27,2.49
2026-04-07,16.02,16.34,15.75,15.96,5887,9404657.95,2.05
2026-04-08,16.53,16.75,16.2,16.51,5153,8497329.39,1.79
2026-04-09,16.4,16.65,16.3,16.41,4007,6602826.8,1.39
2026-04-10,16.49,16.71,16.36,16.65,4181,6941313.19,1.46
2026-04-13,16.54,16.86,16.2,16.2,4983,8183447.45,1.73
2026-04-14,16.28,16.6,16.21,16.47,2972,4869443.75,1.03
2026-04-15,16.47,16.63,16.3,16.45,2189,3608249.25,0.76
2026-04-16,16.47,16.63,16.29,16.48,3203,5283817.54,1.11
2026-04-17,16.55,17.43,16.36,17.28,9171,15571409.71,3.19
2026-04-20,17.19,18.05,17.05,17.54,8259,14569742.49,2.87
2026-04-21,17.43,17.57,16.87,17.09,4659,7966205.15,1.62
