股票代码,股票名称
000892,"欢瑞世纪"
301489,"思泉新材"
000628,"高新发展"
605288,"凯迪股份"
002703,"浙江世宝"
603618,"杭电股份"
003040,"楚天龙"
002418,"康盛股份"
002536,"飞龙股份"
000017,"深中华A"
603757,"大元泵业"
002886,"沃特股份"
000712,"锦龙股份"
300642,"透景生命"
600785,"新华百货"
603150,"万朗磁塑"
920855,"浙江大农"
600828,"茂业商业"
603978,"深圳新星"
600121,"郑州煤电"
920895,"花溪科技"
003005,"竞业达"
600714,"金瑞矿业"
605188,"国光连锁"
002631,"德尔未来"
600540,"新赛股份"
920006,"晟楠科技"
605118,"力鼎光电"
002909,"集泰股份"
600722,"金牛化工"
600892,"大晟文化"
920592,"华信永道"
300830,"金现代"
300378,"鼎捷数智"
920021,"流金科技"
300911,"亿田智能"
002855,"捷荣技术"
601086,"国芳集团"
920212,"智新电子"
600830,"香溢融通"
603269,"海鸥股份"
603270,"金帝股份"
600371,"万向德农"
300413,"芒果超媒"
601566,"九牧王"
688209,"英集芯"
603559,"中通国脉"
600162,"香江控股"
601233,"桐昆股份"
603330,"天洋新材"
000977,"浪潮信息"
002396,"星网锐捷"
600186,"莲花控股"
000560,"我爱我家"
601212,"白银有色"
600172,"黄河旋风"
600664,"哈药股份"
600127,"金健米业"
600869,"远东股份"
002059,"云南旅游"
002297,"博云新材"
002300,"太阳电缆"
002708,"光洋股份"
600657,"信达地产"
600693,"东百集团"
605068,"明新旭腾"
002328,"新朋股份"
003018,"金富科技"
603090,"宏盛股份"
603989,"艾华集团"
605577,"龙版传媒"
600479,"千金药业"
