股票代码,股票名称,缓存行数,最早交易日,最后交易日,日期已最新,统一深缓存就绪,需要异常补抓
000007,全新好,250,2025-08-22,2026-09-02,False,True,True
000011,深物业A,25,2026-07-30,2026-09-02,False,False,True
000017,深中华A,25,2026-07-31,2026-09-03,False,False,True
000020,深华发Ａ,120,2026-03-17,2026-09-07,True,False,False
000026,飞亚达,25,2026-07-30,2026-09-02,False,False,True
000048,京基智农,120,2026-03-17,2026-09-07,True,False,False
000059,华锦股份,120,2026-03-17,2026-09-07,True,False,False
000062,深圳华强,120,2026-03-17,2026-09-07,True,False,False
000428,华天酒店,120,2026-03-13,2026-09-03,False,False,True
000505,京粮控股,120,2026-03-17,2026-09-07,True,False,False
000506,招金黄金,120,2026-03-17,2026-09-07,True,False,False
000510,新金路,120,2026-03-17,2026-09-07,True,False,False
000517,荣安地产,25,2026-07-30,2026-09-02,False,False,True
000520,凤凰航运,250,2025-08-25,2026-09-03,False,True,True
000523,红棉股份,120,2026-03-17,2026-09-07,True,False,False
000526,学大教育,250,2025-08-22,2026-09-02,False,True,True
000536,华映科技,120,2026-03-17,2026-09-07,True,False,False
000560,我爱我家,25,2026-07-31,2026-09-03,False,False,True
000592,平潭发展,120,2026-03-17,2026-09-07,True,False,False
000596,古井贡酒,120,2026-03-17,2026-09-07,True,False,False
000603,盛达资源,120,2026-03-17,2026-09-07,True,False,False
000620,盈新发展,25,2026-07-30,2026-09-02,False,False,True
000626,远大控股,120,2026-03-17,2026-09-07,True,False,False
000628,高新发展,25,2026-07-30,2026-09-02,False,False,True
000635,英 力 特,25,2026-07-28,2026-09-02,False,False,True
000657,中钨高新,25,2026-07-30,2026-09-02,False,False,True
000670,盈方微,250,2025-08-08,2026-09-02,False,True,True
000712,锦龙股份,25,2026-07-31,2026-09-03,False,False,True
000716,黑芝麻,25,2026-07-30,2026-09-02,False,False,True
000720,新能泰山,250,2025-08-22,2026-09-02,False,True,True
000721,西安饮食,250,2025-08-22,2026-09-02,False,True,True
000723,美锦能源,250,2025-08-21,2026-09-01,False,True,True
000735,罗 牛 山,250,2025-08-21,2026-09-01,False,True,True
000737,北方铜业,120,2026-03-17,2026-09-07,True,False,False
000798,中水渔业,25,2026-08-04,2026-09-07,True,False,False
000811,冰轮环境,25,2026-07-30,2026-09-02,False,False,True
000831,中国稀土,25,2026-07-30,2026-09-02,False,False,True
000859,国风新材,25,2026-07-30,2026-09-02,False,False,True
000887,中鼎股份,250,2025-08-22,2026-09-02,False,True,True
000889,中嘉博创,250,2025-08-22,2026-09-02,False,True,True
000890,法尔胜,25,2026-07-30,2026-09-02,False,False,True
000892,欢瑞世纪,25,2026-07-30,2026-09-02,False,False,True
000912,泸天化,120,2026-03-17,2026-09-07,True,False,False
000931,中 关 村,25,2026-07-30,2026-09-02,False,False,True
000938,紫光股份,26,2026-08-03,2026-09-07,True,False,False
000960,锡业股份,25,2026-07-30,2026-09-02,False,False,True
000962,东方钽业,25,2026-07-30,2026-09-02,False,False,True
000975,山金国际,25,2026-07-30,2026-09-02,False,False,True
000977,浪潮信息,120,2026-03-17,2026-09-07,True,False,False
000989,九芝堂,25,2026-07-30,2026-09-02,False,False,True
001210,金房能源,250,2025-08-22,2026-09-02,False,True,True
001223,欧克科技,25,2026-07-30,2026-09-02,False,False,True
001258,立新能源,25,2026-07-30,2026-09-02,False,False,True
001268,联合精密,250,2025-08-27,2026-09-07,True,True,False
001277,速达股份,120,2026-03-13,2026-09-03,False,False,True
001326,联域股份,25,2026-07-30,2026-09-02,False,False,True
001330,博纳影业,25,2026-07-30,2026-09-02,False,False,True
001337,四川黄金,120,2026-03-17,2026-09-07,True,False,False
