股票代码,股票名称,最新收盘,ret1,ret5,ret10,ret20,ret40,ret60,ret120,amp5,距20日高点,前10日区间振幅,振幅收敛比,近5日平均成交量,前10日平均成交量,成交量收敛比,近5日平均换手率,前10日平均换手率,换手率收敛比,流动性收敛证据,MA5_3日斜率,MA10_3日斜率,短期下行停止证据,整理证据可用项,整理收敛支持项,整理成熟度状态,距250日高点,250日位置,MA20距离,MA25,MA25距离,MA25_1日斜率,MA30_5日斜率,MA60_10日斜率,MA120_20日斜率,距稳健5日上沿,近5日低点,近10日低点,距近5日低点,距近10日低点,最近25日曾涨停,25日内涨停次数,最近涨停日期,涨停板规则,涨停核验交易日数,25日最大单日涨幅,阶段2分,长期趋势证据,右上角位置证据,40日仍活证据,长期下降修复惩罚,二级结构延续贡献,阶段3分,生命周期标签,阶段3通过,阶段3风险提示,阶段3规则说明,阶段排名,本阶段入选,阶段软容量下限,阶段软容量上限,实际入选数,边界分数,决策说明,OpenAI生命周期资格,OpenAI结构成熟对齐,OpenAI基础资格,OpenAI过热排序惩罚,OpenAI前置对齐分,OpenAI输入排名,OpenAI输入资格,OpenAI输入上限,OpenAI实际输入数,OpenAI前置判定代码,OpenAI前置判定原因,阶段2通过,基础整理条件,整理成熟,振幅收敛,流动性收敛,短期下行停止,中期趋势仍活,稳健上沿核心区,稳健上沿宽区,阶段2风险提示,阶段2规则说明,明显右侧,短周期整理合格,整理交易日数,整理超过一周,N型走势,有效突破阶段,有效突破观察资格,有效突破确认,平台上沿,突破日期,突破放量比,回踩缩量比,回踩守位,重新缓慢走强,有效突破原因,有效突破确认路径,平台上方横盘振幅,微平台上沿,微平台再突破量比
001210,金房能源,29.72,-0.01458885941644572,0.037347294938917974,-0.02397372742200332,0.10524358497582731,0.6809954751131222,0.306948109058927,1.012186865267434,0.12228163992869874,-0.055908513341804356,0.16529850746268654,0.7397625169501415,4435407.4,9013625.6,0.4920780601315414,0.027088789431954533,0.06543982542303227,0.4139495980748802,True,0.02954272386741086,0.007732321102206896,True,3,3,收敛较充分,-0.055908513341804356,0.9157894736842106,0.03350546832889956,28.555999999999997,0.04076201148620262,0.0025981321536407975,0.04605806016052805,0.04059540905214187,0.11323355736402463,0.00745762711864395,28.05,26.8,0.0595365418894831,0.10895522388059686,True,1,2026-08-20,沪深主板10%,3,10.018484288354902,14,3,2,1,0,2.6739130434782608,8.673913043478262,右上角/高位趋势,True,40日加速较大：仅作趋势成熟风险提示，不单独判尾端,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,1,True,,,20,2.5652173913043477,入选：满足三级生命周期筛选资格条件；本阶段不设置数量下限或上限,True,True,True,0,22.67391304347826,1,True,50,12,QUALIFIED_FOR_OPENAI,进入OpenAI：三类整理成熟证据3/3且250日生命周期通过；对齐排名1/12，输入上限50只,True,True,True,True,True,True,True,True,True,,硬资格：明显右侧（40日非负、站上MA20且MA30上扬）+3至5日紧凑缩量平台+非N型+已出现放量突破；首次突破/回踩中只进入观察，只有缩量回踩不破后重新缓慢走强才确认买点,True,True,5,False,False,RETEST_STABILIZING,True,False,29.38,2026-09-21,1.540553397319166,0.5803879411012184,True,False,突破后处于一周内确认窗，守位/缩量/横住或小平台再突破条件尚未全部成立,,0.0288135593220339,,
301151,冠龙节能,22.71,0.00044052863436139233,0.06920903954802271,0.014745308310992078,0.3469750889679717,0.37970838396111795,0.3889908256880734,0.27727784026996627,0.1139670223084383,-0.011319111885067401,0.11425781249999999,0.9974549644772721,4196514.8,7948282.8,0.5279775400039868,0.025403733419106234,0.0498518708513222,0.5095843543138053,True,0.04142857142857137,0.007803065490013861,True,3,3,收敛较充分,-0.028241335044929428,0.9251700680272109,0.08124836336801011,20.0416,0.1331430624301455,0.011895385236796896,0.043915730237031214,0.0268587318229474,0.021715166518754048,0.015652951699463458,20.62,20.48,0.10135790494665375,0.10888671875,True,1,2026-08-31,创业板20%,17,20.023148148148138,14,3,2,1,0,2.6739130434782608,8.673913043478262,右上角/高位趋势,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,1,True,,,20,2.5652173913043477,入选：满足三级生命周期筛选资格条件；本阶段不设置数量下限或上限,True,True,True,0,22.67391304347826,2,True,50,12,QUALIFIED_FOR_OPENAI,进入OpenAI：三类整理成熟证据3/3且250日生命周期通过；对齐排名2/12，输入上限50只,True,True,True,True,True,True,True,True,True,,硬资格：明显右侧（40日非负、站上MA20且MA30上扬）+3至5日紧凑缩量平台+非N型+已出现放量突破；首次突破/回踩中只进入观察，只有缩量回踩不破后重新缓慢走强才确认买点,True,True,5,False,False,EFFECTIVE_BREAKOUT_CONFIRMED,True,True,21.89,2026-09-18,1.2561031322340936,0.758447524753955,True,True,放量突破后在平台上方缩量横住，低点稳定并重新缓慢走强,ABOVE_PLATFORM_TIGHT_HOLD,0.0374887082204154,,0.8019533054017053
603150,万朗磁塑,73.46,0.043910757425039026,0.06742226097064807,0.05108026899413365,0.41459657230887714,0.526917480773228,0.040509915014164344,0.5345728013369542,0.13939393939393943,-0.023138297872340563,0.3798113207547169,0.36700838489214066,2551839.2,4032308.0,0.6328482844068459,0.0286317981353017,0.04774176022003071,0.5997222976979562,True,0.017541811389042872,0.009997968482456265,True,3,3,收敛较充分,-0.09665518937530748,0.8353926701570681,0.14172035156158924,61.958800000000004,0.18562657766128443,0.012458249178056269,0.05258562871481742,-0.01964569547621986,0.034432537249669215,0.03845066440486278,66.0,65.56,0.11303030303030304,0.1205003050640634,True,1,2026-09-03,沪深主板10%,17,9.999999999999986,13,3,2,1,0,2.152173913043478,8.152173913043478,右上角/高位趋势,True,40日加速较大：仅作趋势成熟风险提示，不单独判尾端,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,3,True,,,20,2.5652173913043477,入选：满足三级生命周期筛选资格条件；本阶段不设置数量下限或上限,True,True,True,0,21.152173913043477,3,True,50,12,QUALIFIED_FOR_OPENAI,进入OpenAI：三类整理成熟证据3/3且250日生命周期通过；对齐排名3/12，输入上限50只,True,True,True,True,True,True,True,False,True,,硬资格：明显右侧（40日非负、站上MA20且MA30上扬）+3至5日紧凑缩量平台+非N型+已出现放量突破；首次突破/回踩中只进入观察，只有缩量回踩不破后重新缓慢走强才确认买点,True,True,5,False,False,BREAKOUT_AWAIT_RETEST,True,False,70.74,2026-09-22,1.3401707858885674,,False,False,首次放量突破，仅观察，等待缩量回踩确认,,,,
300363,博腾股份,24.04,0.0033388981636059967,0.1328934967012252,0.16079188797682265,0.15134099616858232,0.5148078134845622,0.4802955665024631,0.149689143950263,0.1777251184834123,-0.0325955734406439,0.19892473118279563,0.8934289739976945,22398685.8,22678920.7,0.9876433758154991,0.043277637243565904,0.04530156019864419,0.9553233278014372,True,0.07141525265709481,0.04997384812895267,True,3,3,收敛较充分,-0.2058143376280146,0.6341749853200234,0.15012917424169947,21.046,0.1422598118407299,0.004735806901292827,0.02651221403644821,0.06173428652711377,0.0034317677206667785,0.017781541066892448,21.1,20.06,0.13933649289099503,0.19840478564307085,True,1,2026-08-20,创业板20%,9,20.000000000000018,14,3,0,1,0,2.6739130434782608,6.673913043478261,中期上升趋势延续,True,40日加速较大：仅作趋势成熟风险提示，不单独判尾端,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,7,True,,,20,2.5652173913043477,入选：满足三级生命周期筛选资格条件；本阶段不设置数量下限或上限,True,True,True,0,20.67391304347826,4,True,50,12,QUALIFIED_FOR_OPENAI,进入OpenAI：三类整理成熟证据3/3且250日生命周期通过；对齐排名4/12，输入上限50只,True,True,True,True,True,True,True,True,True,,硬资格：明显右侧（40日非负、站上MA20且MA30上扬）+3至5日紧凑缩量平台+非N型+已出现放量突破；首次突破/回踩中只进入观察，只有缩量回踩不破后重新缓慢走强才确认买点,True,True,4,False,False,RETEST_STABILIZING,True,False,21.71,2026-09-16,1.2145024520011622,1.0251772793981246,True,True,突破后处于一周内确认窗，守位/缩量/横住或小平台再突破条件尚未全部成立,,0.1451612903225807,24.1,1.1078832373728054
002708,光洋股份,16.91,-0.0197101449275362,0.03361858190709044,0.04061538461538472,0.42820945945945943,0.7875264270613107,0.2820318423047765,0.4428327645051193,0.07923832923832919,-0.037564029595902104,0.3477576711250982,0.22785501461972044,34556802.4,57837121.0,0.5974848298552067,0.0752838547744448,0.11782946642699724,0.6389221394046444,True,0.018305814788226682,0.017416105346198085,True,3,3,收敛较充分,-0.037564029595902104,0.9263392857142857,0.09919396775871037,14.550000000000002,0.1621993127147765,0.014050347077026126,0.08239757985950891,0.03704533049697001,0.03896044308983049,-0.02983362019506597,16.28,15.88,0.038697788697788615,0.06486146095717871,True,3,2026-09-07,沪深主板10%,17,10.028248587570632,12,3,2,1,0,1.5652173913043477,7.565217391304348,右上角/高位趋势,True,40日加速较大：仅作趋势成熟风险提示，不单独判尾端,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,4,True,,,20,2.5652173913043477,入选：满足三级生命周期筛选资格条件；本阶段不设置数量下限或上限,True,True,True,0,19.565217391304348,5,True,50,12,QUALIFIED_FOR_OPENAI,进入OpenAI：三类整理成熟证据3/3且250日生命周期通过；对齐排名5/12，输入上限50只,True,True,True,True,True,True,True,False,True,,硬资格：明显右侧（40日非负、站上MA20且MA30上扬）+3至5日紧凑缩量平台+非N型+已出现放量突破；首次突破/回踩中只进入观察，只有缩量回踩不破后重新缓慢走强才确认买点,True,True,5,False,False,RETEST_STABILIZING,True,False,16.88,2026-09-17,1.4448015230025222,0.6622320719017504,True,False,突破后处于一周内确认窗，守位/缩量/横住或小平台再突破条件尚未全部成立,,0.0540540540540541,17.43,0.781982898377122
601595,上海电影,24.64,0.022406639004149298,0.07457479284779778,0.0859409431467606,0.49969567863664044,0.48612786489746695,0.4888217522658609,0.03660075725704681,0.1434977578475336,-0.0337254901960784,0.3487064116985376,0.4115145378272819,15384412.8,25062835.4,0.6138336925757412,0.03288348356388513,0.05760627695969056,0.5708316055018628,True,0.029637950401797175,0.050233644859813076,True,3,3,收敛较充分,-0.33477321814254857,0.42325581395348844,0.1750679574610139,20.0104,0.23135969295966086,0.015983265297833116,0.051647309364877714,0.05848673511609759,-0.03172999110223562,0.005303957568339346,22.3,21.19,0.104932735426009,0.16281264747522406,True,3,2026-09-08,沪深主板10%,17,10.02666666666665,15,0,0,1,0,3.0,4.0,中段/待确认,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,16,True,,,20,2.5652173913043477,入选：满足三级生命周期筛选资格条件；本阶段不设置数量下限或上限,True,True,True,0,19.0,6,True,50,12,QUALIFIED_FOR_OPENAI,进入OpenAI：三类整理成熟证据3/3且250日生命周期通过；对齐排名6/12，输入上限50只,True,True,True,True,True,True,True,True,True,,硬资格：明显右侧（40日非负、站上MA20且MA30上扬）+3至5日紧凑缩量平台+非N型+已出现放量突破；首次突破/回踩中只进入观察，只有缩量回踩不破后重新缓慢走强才确认买点,True,True,4,False,False,RETEST_STABILIZING,True,False,23.84,2026-09-18,1.3716782150910376,0.8389102285445833,False,True,突破后处于一周内确认窗，守位/缩量/横住或小平台再突破条件尚未全部成立,,0.1354260089686098,,0.9471534304369998
300765,石药创新,47.86,0.03168786376374211,0.10889712696941611,0.06025697828976506,0.08060510273199362,0.23033419023136248,0.7576202717590892,0.5069269521410578,0.13385085862150095,-0.009519867549668937,0.15983097191150883,0.8374525726816459,18408061.2,17752664.5,1.0369182158543018,0.010435457994630635,0.0120330535726065,0.8672327378635772,True,0.04199341097860887,0.008496431038452545,True,3,3,收敛较充分,-0.13578909353557245,0.7712895377128953,0.0794352474175648,44.8088,0.06809376729570982,0.0030982485046024966,0.016220087309629205,0.0805639168366834,0.06873012572460269,0.06830357142857157,42.51,40.23,0.12585274053163964,0.18965945811583396,True,1,2026-08-20,创业板20%,17,19.999999999999996,11,3,2,1,0,1.0434782608695652,7.043478260869565,右上角/高位趋势,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,5,True,,,20,2.5652173913043477,入选：满足三级生命周期筛选资格条件；本阶段不设置数量下限或上限,True,True,True,0,18.043478260869566,7,True,50,12,QUALIFIED_FOR_OPENAI,进入OpenAI：三类整理成熟证据3/3且250日生命周期通过；对齐排名7/12，输入上限50只,True,True,True,True,True,True,True,False,False,,硬资格：明显右侧（40日非负、站上MA20且MA30上扬）+3至5日紧凑缩量平台+非N型+已出现放量突破；首次突破/回踩中只进入观察，只有缩量回踩不破后重新缓慢走强才确认买点,True,True,5,False,False,RETEST_STABILIZING,True,False,44.5,2026-09-21,1.9460911944522472,0.8338187836163686,True,False,突破后处于一周内确认窗，守位/缩量/横住或小平台再突破条件尚未全部成立,,0.0628445424476295,,
603297,永新光学,115.38,0.003129890453834161,0.0904451375106321,0.09137343927355279,0.09749833539427377,0.1349596694865236,-0.21483497788363382,0.17399267399267404,0.11331632170872313,-0.03785857238158774,0.18502512562814066,0.6124374801747938,1166683.6,1265653.6,0.9218032485349862,0.010765763772425933,0.011887317787284427,0.9056512129205301,True,0.05407523510971757,0.020437039674656488,True,3,3,收敛较充分,-0.24524105449074385,0.43598615916955,0.056975737560747586,108.3908,0.06448148735870562,0.0023599998520376086,0.014900952858575733,-0.03241842773124004,-0.002176519719701786,0.007685589519650593,105.81,99.5,0.0904451375106321,0.1595979899497486,True,1,2026-08-31,沪深主板10%,17,9.997151808601545,14,0,0,1,0,2.6739130434782608,3.6739130434782608,中段/待确认,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,17,True,,,20,2.5652173913043477,入选：满足三级生命周期筛选资格条件；本阶段不设置数量下限或上限,True,True,True,0,17.67391304347826,8,True,50,12,QUALIFIED_FOR_OPENAI,进入OpenAI：三类整理成熟证据3/3且250日生命周期通过；对齐排名8/12，输入上限50只,True,True,True,True,True,True,True,True,True,,硬资格：明显右侧（40日非负、站上MA20且MA30上扬）+3至5日紧凑缩量平台+非N型+已出现放量突破；首次突破/回踩中只进入观察，只有缩量回踩不破后重新缓慢走强才确认买点,True,True,3,False,False,RETEST_STABILIZING,True,False,112.8,2026-09-18,1.4445162390591186,0.8275914664327926,True,True,突破后处于一周内确认窗，守位/缩量/横住或小平台再突破条件尚未全部成立,,0.0526315789473684,,0.9074761245201032
002975,博杰股份,107.5,-0.00027899190923463824,0.08476286579212933,0.06530571796650486,0.002985631647695497,0.3488080301129235,-0.24295774647887325,0.9881634917699278,0.12709369607146478,-0.03179320904260108,0.1530172413793104,0.8305841546078823,11268431.2,12236878.1,0.9208583355913302,0.08701266411712677,0.08918264747087032,0.9756680989488193,True,0.0480305307284663,0.019293435065967257,True,3,3,收敛较充分,-0.31949104260302585,0.5681895961670089,0.05008669320374115,102.16680000000001,0.05220091066765309,0.0010189804708473638,0.018531029823376066,-0.06495758694714737,0.07888884960910403,-0.020947176684881552,98.51,92.8,0.09125977058166668,0.15840517241379315,True,1,2026-09-07,沪深主板10%,17,9.996843102178254,12,3,0,1,0,1.5652173913043477,5.565217391304348,中期上升趋势延续,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,11,True,,,20,2.5652173913043477,入选：满足三级生命周期筛选资格条件；本阶段不设置数量下限或上限,True,True,True,0,17.565217391304348,9,True,50,12,QUALIFIED_FOR_OPENAI,进入OpenAI：三类整理成熟证据3/3且250日生命周期通过；对齐排名9/12，输入上限50只,True,True,True,True,True,True,True,False,True,,硬资格：明显右侧（40日非负、站上MA20且MA30上扬）+3至5日紧凑缩量平台+非N型+已出现放量突破；首次突破/回踩中只进入观察，只有缩量回踩不破后重新缓慢走强才确认买点,True,True,3,False,False,RETEST_STABILIZING,True,False,100.8,2026-09-16,1.282601771741084,0.8916932612523,True,False,突破后处于一周内确认窗，守位/缩量/横住或小平台再突破条件尚未全部成立,,0.0792185069984448,110.79,0.8459106006105249
603228,景旺电子,106.12,-0.03667392883079146,0.014822606866214061,-0.007946153127044941,0.16576952652971544,0.43696682464454994,0.46554343322745484,0.8966934763181411,0.09558466763706946,-0.06584507042253518,0.3271028037383178,0.2922159839190409,32347834.6,43154869.6,0.7495755380523731,0.02940413598983957,0.04414243260297766,0.6661195193818134,True,-0.00710014947683113,0.010760469137658824,True,3,3,收敛较充分,-0.06584507042253518,0.8760152494612964,0.046228470585915726,99.33840000000001,0.06826765883082464,0.0033208900955059573,0.02993765011281213,0.06603852948599331,0.09728504953693373,-0.060053144375553646,103.05,103.05,0.029791363415817562,0.029791363415817562,True,1,2026-09-07,沪深主板10%,17,9.99584803819804,10,3,2,1,0,0.6521739130434783,6.6521739130434785,右上角/高位趋势,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,8,True,,,20,2.5652173913043477,入选：满足三级生命周期筛选资格条件；本阶段不设置数量下限或上限,True,True,True,0,16.652173913043477,10,True,50,12,QUALIFIED_FOR_OPENAI,进入OpenAI：三类整理成熟证据3/3且250日生命周期通过；对齐排名10/12，输入上限50只,True,True,True,True,True,True,True,False,False,,硬资格：明显右侧（40日非负、站上MA20且MA30上扬）+3至5日紧凑缩量平台+非N型+已出现放量突破；首次突破/回踩中只进入观察，只有缩量回踩不破后重新缓慢走强才确认买点,True,True,3,False,False,RETEST_STABILIZING,True,False,108.0,2026-09-21,1.2704632066641235,1.0475388380384958,False,False,突破后处于一周内确认窗，守位/缩量/横住或小平台再突破条件尚未全部成立,,0.0693916349809885,,
