日期,数据时间,业务时区,数据源,快照数据源,股票数,上涨家数,下跌家数,平盘家数,停牌家数,上涨比例,下跌比例,净上涨家数,涨停家数,跌停家数,炸板家数,触板家数,封板成功率,最高连板数,昨日涨停家数,昨日涨停平均溢价,昨日涨停红盘率,炸板股平均收盘涨幅,强势股池家数,市场情绪影子层可用,涨停股池代码,跌停股池代码,炸板股池代码,昨日涨停股池代码,强势股池代码,市场宽度是否降级,涨跌停是否降级,真实涨停家数,真实跌停家数,ST涨停家数,ST跌停家数,乐咕统计时间,乐咕上涨家数,乐咕下跌家数,乐咕平盘家数,乐咕涨停家数,乐咕跌停家数,涨5%以上家数,跌5%以上家数,全市场成交额,说明,涨停近似家数,跌停近似家数,记录阶段
2026-09-03,2026-09-03 22:51:15+0800,Asia/Shanghai,sina+eastmoney_public_pool,sina,5554,1845,3570,139,6,0.3321930140439323,0.6427799783939503,-1725,44,16,33,77,0.5714285714285714,5.0,52,0.1899934368064771,0.4807692307692308,4.284809599771644,268,True,000813|001299|002059|002297|002300|002328|002403|002631|002708|002787|002909|002969|002980|003018|300830|301489|600108|600185|600234|600479|600610|600611|600657|600693|600703|600865|600969|601086|601212|603090|603138|603150|603162|603270|603538|603728|603757|603989|605068|605088|605288|605398|605577|605580,000017|000560|001366|002678|002679|002742|002855|002886|002999|003032|600227|600540|600722|603221|603339|605179,000430|000520|000892|001278|001330|002031|002196|002536|002670|002761|002779|002796|002851|002868|003005|600026|600088|600121|600172|600228|600506|600714|600749|600830|600885|600892|601015|601566|601999|603067|603191|603900|605299,000628|000635|000852|000892|001278|001326|001366|002059|002104|002201|002265|002274|002297|002300|002536|002632|002639|002708|002886|002893|002909|002999|003005|003039|600589|600657|600828|600830|600869|600892|600903|600967|601086|601566|601606|603207|603216|603270|603375|603530|603618|603665|603701|603778|603958|603978|605006|605118|605577|920006|920176|920212,000001|000017|000301|000419|000501|000560|000635|000712|000731|000796|000803|000888|000892|000906|000949|000978|000997|001205|001209|001278|001330|001366|001380|002033|002059|002084|002098|002104|002105|002142|002159|002186|002187|002209|002265|002297|002300|002328|002347|002363|002396|002418|002419|002536|002578|002593|002627|002660|002670|002673|002679|002703|002707|002708|002742|002761|002780|002790|002807|002811|002825|002835|002849|002855|002886|002890|002909|002948|002955|002966|002998|003003|003005|003008|003010|003016|003018|003039|003040|003816|300025|300103|300126|300150|300192|300220|300306|300368|300413|300417|300454|300514|300551|300597|300610|300645|300673|300675|300708|300729|300741|300800|300830|300859|300865|300866|300889|300901|300911|300950|300987|301001|301008|301009|301049|301062|301108|301113|301122|301126|301227|301287|301376|301380|301390|301633|600018|600035|600036|600054|600060|600103|600121|600127|600138|600148|600168|600177|600185|600212|600241|600287|600333|600356|600371|600386|600391|600405|600455|600479|600493|600506|600523|600540|600547|600551|600628|600657|600674|600679|600693|600706|600774|600795|600803|600814|600817|600825|600828|600830|600854|600865|600892|600901|600908|600919|600926|600941|600967|600969|601007|601009|601015|601077|601086|601118|601169|601318|601319|601328|601333|601512|601528|601566|601577|601579|601601|601609|601658|601665|601838|601939|601956|601988|601996|601999|603048|603090|603111|603117|603136|603162|603176|603199|603207|603214|603216|603221|603269|603270|603323|603400|603402|603533|603583|603587|603596|603600|603721|603819|603836|603839|603860|603908|603912|603917|603976|603978|603989|603999|605001|605068|605108|605118|605136|605169|605177|605398|605577|688026|688058|688078|688209|688215|688309|688448|688485|688565|688656|688696|688701|920006|920212|920455|920810|920857|920871|920895,False,False,42,11,2,0,2026-09-03 15:00:00,1805,3275,129,46,17,175.0,110.0,1779946121462.0,上涨/下跌/平盘由逐股快照计数；涨停/跌停读取东方财富公开池；炸板、封板率、昨日涨停溢价、连板高度为影子情绪层，仅记录和QA，暂不改变推荐。乐咕只做交叉核验。,44,16,盘后
2026-09-04,2026-09-04 14:46:11+0800,Asia/Shanghai,sina+eastmoney_public_pool,sina,5555,1865,3488,202,8,0.3357335733573357,0.627902790279028,-1623,40,11,47,87,0.4597701149425287,5.0,44,-0.9112895776263692,0.3636363636363636,5.423419984572745,230,True,000428|000560|000592|000702|000735|000798|000892|001222|001316|001366|002124|002403|002548|002564|002702|002827|002862|002868|002949|003040|600059|600108|600354|600506|600698|600802|600865|600975|601579|601949|603122|603123|603151|603162|603390|603696|605398|605577|605580|920075,000017|000977|002909|003005|003032|600121|600892|603045|603256|603353|605068,000876|001258|001299|001360|002104|002285|002354|002472|002537|002567|002579|002721|002922|002940|002952|002970|002980|003002|300468|301171|600095|600150|600272|600318|600601|600611|600616|600629|600657|600857|601999|603067|603124|603138|603161|603228|603230|603257|603270|603363|603598|603613|603991|605088|605177|688170|688435,000813|001299|002059|002297|002300|002328|002403|002631|002708|002787|002909|002969|002980|003018|300830|301489|600108|600185|600234|600479|600610|600611|600657|600693|600703|600865|600969|601086|601212|603090|603138|603150|603162|603270|603538|603728|603757|603989|605068|605088|605288|605398|605577|605580,000017|000058|000411|000529|000548|000560|000635|000701|000702|000712|000715|000731|000753|000768|000812|000876|000892|000905|000906|000997|001201|001222|001228|001288|001299|001366|001380|002017|002059|002084|002100|002104|002111|002157|002161|002186|002209|002214|002215|002224|002228|002297|002300|002328|002403|002536|002537|002548|002561|002567|002602|002637|002679|002702|002703|002708|002712|002714|002721|002746|002811|002827|002832|002840|002849|002855|002862|002886|002909|002973|002988|003005|003016|003040|300180|300226|300300|300348|300378|300413|300454|300468|300483|300498|300546|300551|300579|300588|300612|300662|300674|300708|300729|300741|300761|300804|300829|300830|300860|300864|300865|300889|300911|300951|301001|301056|301085|301091|301105|301122|301136|301171|301208|301223|301227|301335|301376|301380|301390|301633|600036|600059|600073|600075|600095|600108|600148|600185|600195|600212|600295|600309|600316|600318|600325|600333|600354|600371|600388|600391|600415|600479|600506|600523|600540|600547|600551|600611|600616|600621|600628|600629|600643|600657|600689|600693|600801|600802|600817|600828|600830|600865|600892|600967|600975|601086|601118|601155|601318|601512|601566|601579|601601|601882|601949|601996|601998|601999|603123|603151|603161|603162|603183|603207|603221|603230|603258|603270|603369|603400|603444|603536|603596|603600|603609|603613|603819|603889|603912|603976|603980|603982|603999|605068|605177|605296|605398|605577|605580|688002|688023|688026|688058|688078|688132|688209|688318|688485|688600|688612|688616|688621|920075|920275|920436|920445|920656|920729|920748|920970,False,False,39,8,2,0,2026-09-04 14:45:00,1826,3175,206,42,11,137.0,335.0,1922241144323.0,上涨/下跌/平盘由逐股快照计数；涨停/跌停读取东方财富公开池；炸板、封板率、昨日涨停溢价、连板高度为影子情绪层，仅记录和QA，暂不改变推荐。乐咕只做交叉核验。,40,11,14:45
2026-09-07,2026-09-07 20:37:23+0800,Asia/Shanghai,legulegu_fallback+legulegu_limit_fallback,,5207,3039,1987,181,9,0.5836374111772614,0.3816016900326484,1052,94,2,19,113,0.831858407079646,,39,4.60886558985863,0.7692307692307693,8.526949026082692,204,True,,002674|600076,000523|000813|001210|002224|002516|002713|002885|300684|301529|301595|601118|603002|603011|603030|603536|603773|605288|605580|688583,000428|000592|000702|000735|000798|000876|000892|001222|001316|001366|002124|002403|002564|002702|002827|002862|002868|002949|003040|600059|600108|600354|600506|600698|600802|600865|600975|601579|601949|603122|603123|603151|603162|603390|603696|605398|605577|605580|920075,000017|000419|000428|000430|000501|000523|000560|000592|000626|000702|000715|000735|000755|000785|000798|000812|000813|000816|000822|000876|000892|000906|000930|000978|001201|001222|001228|001288|001330|001366|002011|002014|002059|002062|002069|002084|002086|002100|002124|002187|002214|002215|002224|002234|002297|002300|002321|002403|002408|002419|002481|002548|002561|002564|002567|002602|002637|002702|002708|002746|002798|002827|002852|002855|002862|002881|002886|002909|002980|002982|002988|003005|003030|003040|300050|300094|300106|300189|300299|300300|300315|300350|300417|300428|300517|300559|300562|300684|300741|300778|300808|300829|300860|300864|300865|300901|300933|300949|300961|300973|300977|301046|301073|301091|301108|301119|301122|301227|301234|301266|301390|301633|600059|600097|600103|600108|600127|600150|600195|600257|600280|600354|600356|600359|600371|600386|600388|600467|600479|600506|600540|600628|600629|600657|600689|600697|600698|600737|600738|600774|600801|600802|600803|600814|600822|600838|600858|600865|600892|600975|601086|601118|601136|601512|601579|601595|601882|601949|601999|603012|603101|603122|603123|603128|603151|603162|603235|603258|603270|603289|603321|603400|603536|603587|603609|603628|603648|603696|603819|603866|603880|603970|603976|603999|605008|605398|605577|605580|688023|688060|688078|688203|688435|688485|688621|688656|688696|920075|920419|920422|920455|920786|920826|920970,True,True,90,0,2,0,2026-09-07 15:00:00,3039,1987,181,94,2,,,,上涨/下跌/平盘由逐股快照计数；涨停/跌停读取东方财富公开池；炸板、封板率、昨日涨停溢价、连板高度为影子情绪层，仅记录和QA，暂不改变推荐。乐咕只做交叉核验。,94,2,盘后
2026-09-08,2026-09-08 16:19:01+0800,Asia/Shanghai,sina+eastmoney_public_pool,sina,5557,3417,2025,115,9,0.6149001259672485,0.3644052546337952,1392,73,0,37,110,0.6636363636363637,4.0,93,2.893297157941326,0.6451612903225806,7.255819784628378,361,True,000011|000020|000059|000523|000560|000620|000679|000759|000833|000890|000912|000928|000930|000978|000980|002068|002093|002095|002172|002194|002264|002274|002285|002286|002295|002312|002343|002349|002357|002365|002383|002403|002470|002579|002702|002790|002909|002980|002999|300788|600108|600162|600227|600354|600596|600691|600722|600737|600769|600792|600865|600880|600881|600903|601595|601949|601952|601999|603042|603075|603077|603163|603353|603580|603619|603679|603823|603938|603999|605077|605177|688293|920371,,000737|000789|000798|000823|000852|001366|001368|002017|002370|002436|002483|002696|002792|002815|003002|003023|600127|600318|600371|600470|600479|600770|600815|600855|601118|603083|603316|603618|603626|603696|603779|603888|605300|605577|688039|688137|688660,000428|000735|000759|000798|000816|000823|000978|001229|001267|001296|001330|001366|001389|002011|002138|002172|002281|002290|002403|002436|002463|002470|002483|002484|002515|002564|002579|002702|002708|002815|002852|002881|002902|002909|002916|002957|002963|002972|002975|002980|002988|300112|301516|301550|600103|600108|600127|600280|600330|600345|600354|600371|600400|600540|600770|600785|600791|600857|600865|601086|601595|601949|603009|603042|603083|603118|603119|603124|603186|603192|603228|603286|603311|603355|603395|603608|603626|603628|603668|603679|603696|603823|603826|603926|603936|603999|605168|605488|605577|688001|688655|688813|920821,000017|000061|000088|000419|000428|000523|000525|000529|000548|000550|000557|000558|000560|000564|000570|000605|000607|000626|000705|000707|000713|000721|000731|000735|000738|000759|000785|000789|000798|000816|000852|000856|000882|000886|000892|000902|000906|000915|000923|000928|000930|000952|000953|000978|000998|001201|001228|001231|001236|001288|001338|001366|001368|001914|002011|002017|002041|002059|002062|002069|002084|002093|002095|002116|002161|002172|002187|002214|002224|002234|002246|002247|002251|002264|002267|002269|002285|002299|002316|002320|002321|002330|002343|002344|002357|002381|002383|002385|002389|002391|002398|002403|002419|002470|002481|002483|002492|002495|002513|002524|002553|002556|002562|002564|002567|002579|002626|002637|002661|002663|002671|002692|002697|002702|002708|002712|002732|002748|002790|002825|002852|002855|002862|002868|002878|002881|002905|002909|002980|002982|002988|002999|003005|003016|003030|003040|003042|300094|300106|300138|300148|300189|300227|300266|300291|300299|300350|300387|300517|300559|300703|300711|300741|300760|300761|300770|300788|300796|300808|300824|300860|300879|300892|300901|300933|300939|300949|300967|300977|300987|300997|300999|301009|301011|301025|301058|301085|301091|301108|301126|301206|301287|301337|301355|301390|301505|301539|301556|301558|301571|301585|301628|600073|600097|600108|600127|600128|600138|600150|600189|600195|600212|600229|600249|600256|600257|600280|600287|600300|600313|600315|600316|600318|600333|600354|600356|600359|600371|600373|600386|600391|600399|600429|600467|600479|600512|600540|600598|600603|600620|600622|600626|600628|600653|600679|600681|600692|600693|600694|600697|600712|600731|600737|600738|600774|600778|600794|600796|600801|600822|600827|600838|600854|600858|600865|600880|600883|600935|600939|600959|600963|600969|601038|601059|601086|601116|601118|601279|601298|601330|601512|601566|601568|601595|601828|601838|601882|601900|601921|601929|601933|601949|601952|601996|601999|603000|603042|603082|603096|603101|603117|603123|603128|603153|603162|603182|603228|603230|603231|603258|603289|603321|603323|603326|603331|603444|603583|603587|603599|603600|603609|603628|603639|603648|603668|603679|603696|603779|603817|603823|603866|603871|603880|603888|603909|603968|603970|603976|603991|603999|605003|605008|605077|605080|605122|605183|605296|605300|605398|605500|605577|605580|688015|688132|688309|688485|688563|688612|688656|920159|920273|920371|920419|920422|920608|920718|920726|920786|920819|920834|920976,False,False,64,1,1,1,2026-09-08 15:00:00,3257,1859,91,74,1,254.0,58.0,1977891074986.0,上涨/下跌/平盘由逐股快照计数；涨停/跌停读取东方财富公开池；炸板、封板率、昨日涨停溢价、连板高度为影子情绪层，仅记录和QA，暂不改变推荐。乐咕只做交叉核验。,73,0,盘后
2026-09-09,2026-09-09 22:24:06+0800,Asia/Shanghai,sina+eastmoney_public_pool,sina,5559,1794,3641,124,10,0.3227199136535348,0.6549739161719734,-1847,48,7,27,75,0.64,5.0,73,1.1098380537882244,0.4931506849315068,6.082407682030289,337,True,000019|000523|000565|000759|000798|000912|000930|000972|000978|000980|000993|002040|002046|002068|002077|002155|002162|002295|002349|002377|002470|002498|002790|600121|600192|600255|600359|600403|600540|600698|600778|600792|600865|600869|601579|601872|601890|603042|603162|603186|603308|603328|603421|603650|603900|605077|605162|605198,001366|002084|002855|003005|601999|603123|605168,000020|000586|000923|000988|001316|002121|002172|002886|002910|002913|002953|300913|600059|600108|600234|600691|600776|601126|601869|603066|603115|603214|603285|603330|603663|603938|605277,000011|000020|000059|000523|000560|000620|000679|000759|000833|000890|000912|000928|000930|000978|000980|002068|002093|002095|002172|002194|002264|002274|002285|002286|002295|002312|002343|002349|002357|002365|002383|002403|002470|002579|002702|002790|002909|002980|002999|300788|600108|600162|600227|600354|600596|600691|600722|600737|600769|600792|600865|600880|600881|600903|601595|601949|601952|601999|603042|603075|603077|603163|603353|603580|603619|603679|603823|603938|603999|605077|605177|688293|920371,000019|000020|000061|000088|000096|000419|000428|000507|000523|000525|000553|000554|000565|000570|000592|000605|000655|000707|000713|000715|000731|000735|000737|000738|000753|000759|000768|000798|000803|000807|000876|000886|000892|000905|000912|000915|000921|000923|000930|000933|000953|000968|000972|000978|000980|001201|001205|001231|001324|001366|001368|002040|002062|002068|002069|002084|002092|002093|002094|002098|002105|002107|002111|002157|002161|002162|002172|002187|002214|002215|002246|002247|002258|002259|002265|002267|002285|002286|002295|002300|002320|002349|002357|002377|002381|002383|002385|002389|002391|002403|002408|002419|002470|002492|002513|002540|002548|002556|002564|002567|002570|002579|002593|002597|002661|002687|002692|002696|002702|002708|002722|002746|002748|002749|002752|002753|002758|002790|002799|002807|002825|002855|002881|002882|002893|002905|002909|002911|002913|002973|002980|002982|002988|002999|003006|003016|003033|003040|300021|300050|300094|300135|300138|300153|300227|300300|300517|300559|300589|300597|300611|300664|300741|300804|300808|300810|300824|300939|300951|300967|300977|301008|301009|301046|301078|301081|301126|301175|301206|301223|301282|301287|301355|301357|301505|301571|301628|302132|600027|600028|600038|600051|600059|600075|600108|600127|600149|600189|600217|600235|600249|600251|600256|600257|600279|600307|600313|600316|600333|600348|600354|600359|600368|600371|600372|600391|600399|600467|600540|600569|600616|600626|600628|600679|600681|600685|600691|600697|600698|600704|600706|600710|600712|600722|600727|600737|600760|600765|600774|600778|600792|600794|600796|600814|600822|600824|600854|600858|600865|600880|600883|600893|600908|600917|600967|600969|601005|601007|601008|601009|601015|601018|601022|601086|601118|601121|601228|601279|601298|601330|601512|601528|601568|601579|601595|601609|601838|601866|601890|601949|601952|601969|601996|603042|603059|603077|603101|603117|603128|603151|603162|603182|603186|603209|603214|603228|603268|603289|603321|603323|603331|603363|603393|603600|603639|603648|603668|603679|603689|603696|603817|603823|603836|603871|603899|603968|603991|603999|605008|605077|605080|605162|605169|605567|688002|688015|688060|688078|688132|688196|688293|688309|688485|688510|688543|688552|688563|688646|688656|920008|920010|920119|920275|920351|920571|920718|920821,False,False,42,8,1,1,2026-09-09 15:00:00,1728,3369,110,49,9,176.0,115.0,1872759350176.0,上涨/下跌/平盘由逐股快照计数；涨停/跌停读取东方财富公开池；炸板、封板率、昨日涨停溢价、连板高度为影子情绪层，仅记录和QA，暂不改变推荐。乐咕只做交叉核验。,48,7,盘后
2026-09-10,2026-09-10 19:45:40+0800,Asia/Shanghai,legulegu_fallback+eastmoney_public_pool,,5206,931,4192,83,12,0.1788321167883211,0.8052247406838263,-3261,35,11,22,57,0.6140350877192983,4.0,48,-0.1044680929432312,0.4583333333333333,4.41719619252465,206,True,000048|000532|000565|000722|000823|000978|000993|001299|002174|002201|002204|002377|002531|002543|002636|002661|002790|002912|600192|600318|600359|600488|600644|600667|600712|600744|600792|600876|601231|603105|603316|603318|603421|603601|920268,000017|000020|000912|002365|002855|003040|600479|600737|601118|603042|603090,000523|000759|000889|000930|000972|002040|002242|002295|002457|002552|002735|003029|301176|600403|600812|600844|601949|601999|603162|603366|605006|605177,000019|000523|000565|000759|000798|000912|000930|000972|000978|000980|000993|002040|002046|002068|002077|002155|002162|002295|002349|002377|002470|002498|002790|600121|600192|600255|600359|600403|600540|600698|600778|600792|600865|600869|601579|601872|601890|603042|603162|603186|603308|603328|603421|603650|603900|605077|605162|605198,000096|000407|000507|000523|000550|000554|000558|000565|000731|000753|000759|000798|000803|000807|000823|000829|000886|000905|000912|000921|000930|000933|000968|000972|000978|000980|000993|001205|001209|001338|001368|002004|002011|002040|002068|002084|002142|002161|002162|002166|002172|002187|002204|002209|002246|002295|002320|002343|002349|002377|002389|002403|002408|002451|002470|002481|002493|002561|002579|002596|002616|002651|002652|002661|002692|002702|002790|002807|002909|002911|002913|002966|002980|003006|003029|300008|300013|300021|300050|300135|300154|300332|300335|300483|300589|300600|300673|300741|300788|300810|300951|301016|301046|301085|301223|301251|301282|301505|600017|600075|600104|600108|600121|600138|600150|600177|600192|600249|600256|600279|600303|600307|600318|600333|600336|600354|600359|600371|600403|600540|600681|600685|600704|600706|600710|600712|600731|600758|600764|600778|600792|600794|600802|600812|600822|600864|600865|600871|600874|600893|600903|600908|600917|600919|600926|600939|600989|601007|601008|601009|601015|601018|601022|601086|601107|601128|601188|601298|601326|601330|601528|601577|601579|601595|601665|601838|601866|601890|601949|601952|601969|601998|603042|603069|603103|603105|603136|603162|603186|603209|603216|603235|603268|603322|603323|603366|603393|603421|603518|603600|603619|603679|603689|603823|603900|603955|603967|603991|603999|605077|688215|688655|688656|688660|920010|920895,True,False,33,13,5,2,2026-09-10 15:00:00,931,4192,83,39,14,,,,上涨/下跌/平盘由逐股快照计数；涨停/跌停读取东方财富公开池；炸板、封板率、昨日涨停溢价、连板高度为影子情绪层，仅记录和QA，暂不改变推荐。乐咕只做交叉核验。,35,11,盘后
2026-09-11,2026-09-11 15:51:44+0800,Asia/Shanghai,legulegu_fallback+eastmoney_public_pool,,5207,604,4567,36,12,0.1159976954100249,0.8770885346648742,-3963,40,21,18,58,0.6896551724137931,4.0,35,0.5672386062996729,0.4571428571428571,2.7754868931240506,90,True,000636|000823|000980|000993|001232|002161|002201|002218|002242|002519|002560|002585|002790|002815|002848|002902|002912|300563|600088|600184|600207|600237|600410|600876|600967|601199|603136|603336|603386|603421|603439|603466|603693|603936|603938|605011|605058|605069|605088|605258,000017|000428|000523|000737|002040|002059|002162|002295|002403|002661|002702|002855|002909|600108|600318|600479|600540|600865|601949|603123|603366,000070|000679|000722|000759|000890|000978|002194|002297|003013|600255|600359|600371|600706|600712|600792|603226|603328|603601,000048|000532|000565|000722|000823|000978|000993|001299|002174|002201|002204|002377|002531|002543|002636|002661|002790|002912|600192|600318|600359|600488|600644|600667|600712|600744|600792|600876|601231|603105|603316|603318|603421|603601|920268,000523|000565|000722|000759|000798|000823|000839|000912|000921|000930|000978|000980|000993|001234|002011|002068|002161|002174|002201|002242|002265|002295|002316|002349|002377|002389|002403|002443|002470|002508|002652|002702|002790|002848|002909|002912|002913|002966|002998|003006|300183|300369|300411|300427|300741|301006|301357|600016|600088|600104|600108|600163|600177|600192|600310|600354|600359|600371|600540|600682|600706|600710|600712|600792|600865|600876|600919|600938|601009|601086|601330|601595|601838|601949|603042|603105|603136|603268|603421|603657|603938|605077|605177|688023|688151|688543|688581|688655|920008|920821,True,False,36,19,0,0,2026-09-11 15:00:00,604,4567,36,40,21,,,,上涨/下跌/平盘由逐股快照计数；涨停/跌停读取东方财富公开池；炸板、封板率、昨日涨停溢价、连板高度为影子情绪层，仅记录和QA，暂不改变推荐。乐咕只做交叉核验。,40,21,盘后
2026-09-12,2026-09-12 16:36:24+0800,Asia/Shanghai,legulegu_fallback+eastmoney_public_pool,,5207,604,4567,36,12,0.1159976954100249,0.8770885346648742,-3963,40,21,18,58,0.6896551724137931,4.0,35,0.5672386062996729,0.4571428571428571,2.7754868931240506,90,True,000636|000823|000980|000993|001232|002161|002201|002218|002242|002519|002560|002585|002790|002815|002848|002902|002912|300563|600088|600184|600207|600237|600410|600876|600967|601199|603136|603336|603386|603421|603439|603466|603693|603936|603938|605011|605058|605069|605088|605258,000017|000428|000523|000737|002040|002059|002162|002295|002403|002661|002702|002855|002909|600108|600318|600479|600540|600865|601949|603123|603366,000070|000679|000722|000759|000890|000978|002194|002297|003013|600255|600359|600371|600706|600712|600792|603226|603328|603601,000048|000532|000565|000722|000823|000978|000993|001299|002174|002201|002204|002377|002531|002543|002636|002661|002790|002912|600192|600318|600359|600488|600644|600667|600712|600744|600792|600876|601231|603105|603316|603318|603421|603601|920268,000523|000565|000722|000759|000798|000823|000839|000912|000921|000930|000978|000980|000993|001234|002011|002068|002161|002174|002201|002242|002265|002295|002316|002349|002377|002389|002403|002443|002470|002508|002652|002702|002790|002848|002909|002912|002913|002966|002998|003006|300183|300369|300411|300427|300741|301006|301357|600016|600088|600104|600108|600163|600177|600192|600310|600354|600359|600371|600540|600682|600706|600710|600712|600792|600865|600876|600919|600938|601009|601086|601330|601595|601838|601949|603042|603105|603136|603268|603421|603657|603938|605077|605177|688023|688151|688543|688581|688655|920008|920821,True,False,36,19,0,0,2026-09-11 15:00:00,604,4567,36,40,21,,,,上涨/下跌/平盘由逐股快照计数；涨停/跌停读取东方财富公开池；炸板、封板率、昨日涨停溢价、连板高度为影子情绪层，仅记录和QA，暂不改变推荐。乐咕只做交叉核验。,40,21,盘后
2026-09-14,2026-09-14 20:33:10+0800,Asia/Shanghai,sina+eastmoney_public_pool,sina,5561,3125,2224,212,12,0.5619492896960978,0.3999280704909189,901,55,16,30,85,0.6470588235294118,4.0,41,3.259949140432404,0.7317073170731707,5.165164415041605,126,True,000572|000812|000823|000839|000868|000962|000978|000980|000981|000993|001212|001896|002141|002172|002212|002232|002346|002560|002579|002585|002669|002897|002912|002918|002976|300903|301132|301520|600088|600172|600186|600228|600330|600488|600697|600802|600876|601086|601123|601567|603020|603090|603285|603400|603439|603626|603657|605058|605069|605168|605580|688004|688137|688244|688835,000523|000930|002059|002161|002295|002769|002790|002909|003004|600108|600354|600359|600706|600712|603321|605577,000713|001232|001299|002040|002134|002339|002349|002362|002552|002561|002790|002848|002876|003033|300112|301528|600280|600609|600738|600798|600929|601279|603082|603136|603188|603230|603661|603683|603773|605011,000636|000823|000980|000993|001232|002161|002201|002218|002242|002519|002560|002585|002790|002815|002848|002902|002912|300563|600088|600184|600207|600237|600410|600876|600929|600967|601199|603136|603336|603386|603421|603439|603466|603693|603936|603938|605011|605058|605069|605088|605258,000068|000550|000561|000565|000572|000726|000759|000812|000823|000868|000957|000978|000980|000993|001228|001326|001368|002161|002172|002201|002242|002339|002344|002377|002403|002470|002508|002519|002560|002561|002579|002585|002708|002790|002815|002848|002909|002912|002913|003002|003006|003029|003033|003035|300154|300335|300369|300569|300592|300625|300659|300741|300951|300998|301081|301132|301251|600016|600027|600036|600088|600104|600108|600163|600177|600192|600279|600310|600356|600359|600377|600488|600609|600674|600697|600710|600738|600742|600792|600798|600865|600876|600880|600919|600926|600929|600967|601022|601086|601169|601199|601218|601279|601298|601328|601330|601595|601838|603042|603082|603136|603175|603230|603291|603322|603336|603421|603439|603657|603982|605011|605058|605069|605162|605198|605258|605577|688023|688370|688561|688563|688655|920016|920030|920718|920976,False,False,52,11,2,2,2026-09-14 15:00:00,2939,2083,185,57,18,305.0,89.0,1642804098071.0,上涨/下跌/平盘由逐股快照计数；涨停/跌停读取东方财富公开池；炸板、封板率、昨日涨停溢价、连板高度为影子情绪层，仅记录和QA，暂不改变推荐。乐咕只做交叉核验。,55,16,盘后
2026-09-15,2026-09-15 21:45:02+0800,Asia/Shanghai,sina+eastmoney_public_pool,sina,5561,1120,4375,66,14,0.2014026254270814,0.786729005574537,-3255,32,27,24,56,0.5714285714285714,5.0,54,0.6791468618644608,0.5,6.165596505006154,79,True,000993|001216|001223|002213|002232|002362|002487|002491|002522|002531|002584|002585|002631|002846|002882|002912|003026|600110|600163|601218|601579|603082|603090|603186|603200|603248|603266|603353|605058|605162|605507|688004,000428|000523|000713|000759|000978|002059|002161|002790|002870|003002|003013|600127|600280|600354|600359|600698|600712|600865|600869|600929|601086|603136|603261|603344|603983|605188|605577,000823|000859|000868|000981|002212|002741|002842|002886|300905|301373|301662|600088|600488|600666|600697|600792|603000|603138|603256|603386|603439|603637|688216|688797,000572|000812|000823|000839|000868|000962|000978|000980|000981|000993|001212|001896|002141|002172|002212|002232|002346|002560|002579|002585|002669|002897|002912|002918|002976|300903|301132|301520|600088|600172|600186|600228|600330|600488|600697|600802|600876|601086|601123|601567|603020|603090|603285|603439|603626|603657|605058|605069|605168|605580|688004|688137|688244|688835,000572|000823|000839|000868|000978|000980|000993|001201|001368|002174|002201|002212|002232|002362|002531|002560|002585|002790|002815|002909|002912|002913|003006|300154|300454|300464|300569|300579|300592|300688|300788|300829|300904|300951|301061|301081|301108|301132|301251|301282|301366|600016|600027|600088|600163|600377|600488|600697|600792|600802|600865|600876|601086|601199|601218|601298|601998|603000|603090|603228|603236|603421|603439|603657|603686|603766|605058|605069|605177|605198|605258|605507|605577|688004|688244|688581|688621|688651|688670,False,False,29,33,0,6,2026-09-15 15:00:00,1054,4103,48,32,34,123.0,235.0,1625017632098.0,上涨/下跌/平盘由逐股快照计数；涨停/跌停读取东方财富公开池；炸板、封板率、昨日涨停溢价、连板高度为影子情绪层，仅记录和QA，暂不改变推荐。乐咕只做交叉核验。,32,27,盘后
