股票代码,股票名称,首次进入日期,最近提交日期,提交次数,当前状态,淘汰日期,淘汰原因
000007,全新好,2026-09-02,2026-09-02,1,进入30-40只研究池,,
000011,深物业A,2026-09-02,2026-09-02,1,活跃,,
000017,深中华A,2026-09-03,2026-09-03,1,活跃,,
000020,深华发Ａ,2026-09-02,2026-09-02,1,一级活跃,,
000026,飞亚达,2026-09-02,2026-09-02,1,活跃,,
000048,京基智农,2026-09-02,2026-09-02,1,一级活跃,,
000059,华锦股份,2026-09-02,2026-09-02,1,活跃,,
000062,深圳华强,2026-09-02,2026-09-02,1,一级活跃,,
000428,华天酒店,2026-09-02,2026-09-02,1,一级活跃,,
000505,京粮控股,2026-09-02,2026-09-02,1,活跃,,
000506,招金黄金,2026-09-02,2026-09-02,1,一级活跃,,
000510,新金路,2026-09-02,2026-09-02,1,一级活跃,,
000517,荣安地产,2026-09-02,2026-09-02,1,活跃,,
000520,凤凰航运,2026-09-02,2026-09-02,1,进入30-40只研究池,,
000523,红棉股份,2026-09-02,2026-09-02,1,一级活跃,,
000526,学大教育,2026-09-02,2026-09-02,1,进入30-40只研究池,,
000536,华映科技,2026-09-02,2026-09-02,1,活跃,,
000560,我爱我家,2026-09-03,2026-09-03,1,活跃,,
000592,平潭发展,2026-09-02,2026-09-02,1,活跃,,
000596,古井贡酒,2026-09-02,2026-09-02,1,一级活跃,,
000603,盛达资源,2026-09-02,2026-09-02,1,一级活跃,,
000620,盈新发展,2026-09-02,2026-09-02,1,活跃,,
000626,远大控股,2026-09-02,2026-09-02,1,活跃,,
000628,高新发展,2026-09-02,2026-09-03,2,活跃,,
000635,英 力 特,2026-09-02,2026-09-02,1,活跃,,
000657,中钨高新,2026-09-02,2026-09-02,1,活跃,,
000670,盈方微,2026-09-02,2026-09-02,1,进入30-40只研究池,,
000712,锦龙股份,2026-09-03,2026-09-03,1,活跃,,
000716,黑芝麻,2026-09-02,2026-09-02,1,活跃,,
000720,新能泰山,2026-09-02,2026-09-02,1,进入30-40只研究池,,
000721,西安饮食,2026-09-02,2026-09-02,1,进入30-40只研究池,,
000723,美锦能源,2026-09-02,2026-09-02,1,进入30-40只研究池,,
000735,罗 牛 山,2026-09-02,2026-09-02,1,进入30-40只研究池,,
000737,北方铜业,2026-09-02,2026-09-02,1,一级活跃,,
000811,冰轮环境,2026-09-02,2026-09-02,1,活跃,,
000831,中国稀土,2026-09-02,2026-09-02,1,活跃,,
000859,国风新材,2026-09-02,2026-09-02,1,活跃,,
000887,中鼎股份,2026-09-02,2026-09-02,1,进入30-40只研究池,,
000889,中嘉博创,2026-09-02,2026-09-02,1,进入30-40只研究池,,
000890,法尔胜,2026-09-02,2026-09-02,1,活跃,,
000892,欢瑞世纪,2026-09-02,2026-09-03,2,活跃,,
000912,泸天化,2026-09-02,2026-09-02,1,活跃,,
000931,中 关 村,2026-09-02,2026-09-02,1,活跃,,
000960,锡业股份,2026-09-02,2026-09-02,1,活跃,,
000962,东方钽业,2026-09-02,2026-09-02,1,活跃,,
000975,山金国际,2026-09-02,2026-09-02,1,活跃,,
000977,浪潮信息,2026-09-02,2026-09-03,2,一级活跃,,
000989,九芝堂,2026-09-02,2026-09-02,1,活跃,,
001210,金房能源,2026-09-02,2026-09-02,1,进入30-40只研究池,,
001223,欧克科技,2026-09-02,2026-09-02,1,活跃,,
001258,立新能源,2026-09-02,2026-09-02,1,活跃,,
001268,联合精密,2026-09-02,2026-09-02,1,活跃,,
001277,速达股份,2026-09-02,2026-09-02,1,一级活跃,,
001326,联域股份,2026-09-02,2026-09-02,1,活跃,,
001330,博纳影业,2026-09-02,2026-09-02,1,活跃,,
001337,四川黄金,2026-09-02,2026-09-02,1,一级活跃,,
001358,兴欣新材,2026-09-02,2026-09-02,1,活跃,,
001359,平安电工,2026-09-02,2026-09-02,1,活跃,,
001378,德冠新材,2026-09-02,2026-09-02,1,活跃,,
001696,宗申动力,2026-09-02,2026-09-02,1,一级活跃,,
002012,凯恩股份,2026-09-02,2026-09-02,1,进入30-40只研究池,,
002015,协鑫能科,2026-09-02,2026-09-02,1,活跃,,
002017,东信和平,2026-09-02,2026-09-02,1,活跃,,
002037,保利联合,2026-09-02,2026-09-02,1,进入30-40只研究池,,
002038,双鹭药业,2026-09-02,2026-09-02,1,活跃,,
002041,登海种业,2026-09-02,2026-09-02,1,一级活跃,,
002059,云南旅游,2026-09-03,2026-09-03,1,活跃,,
002072,凯瑞德,2026-09-02,2026-09-02,1,活跃,,
002081,金 螳 螂,2026-09-02,2026-09-02,1,活跃,,
002094,青岛金王,2026-09-02,2026-09-02,1,活跃,,
002104,恒宝股份,2026-09-02,2026-09-02,1,活跃,,
002107,沃华医药,2026-09-02,2026-09-02,1,一级活跃,,
002112,三变科技,2026-09-02,2026-09-02,1,活跃,,
002141,贤丰控股,2026-09-02,2026-09-02,1,活跃,,
002155,湖南黄金,2026-09-02,2026-09-02,1,活跃,,
002165,红 宝 丽,2026-09-02,2026-09-02,1,活跃,,
002172,澳洋健康,2026-09-02,2026-09-02,1,一级活跃,,
002174,游族网络,2026-09-02,2026-09-02,1,活跃,,
002180,奔图科技,2026-09-02,2026-09-02,1,活跃,,
002212,天融信,2026-09-02,2026-09-02,1,活跃,,
002213,大为股份,2026-09-02,2026-09-02,1,活跃,,
002222,福晶科技,2026-09-02,2026-09-02,1,一级活跃,,
002229,鸿博股份,2026-09-02,2026-09-02,1,进入30-40只研究池,,
002235,安妮股份,2026-09-02,2026-09-02,1,活跃,,
002256,兆新股份,2026-09-02,2026-09-02,1,活跃,,
002265,建设工业,2026-09-02,2026-09-02,1,活跃,,
002277,友阿股份,2026-09-02,2026-09-02,1,一级活跃,,
002297,博云新材,2026-09-03,2026-09-03,1,活跃,,
002300,太阳电缆,2026-09-03,2026-09-03,1,活跃,,
002303,美盈森,2026-09-02,2026-09-02,1,活跃,,
002322,理工能科,2026-09-02,2026-09-02,1,进入30-40只研究池,,
002328,新朋股份,2026-09-02,2026-09-03,2,活跃,,
002329,皇氏集团,2026-09-02,2026-09-02,1,进入30-40只研究池,,
002348,高乐股份,2026-09-02,2026-09-02,1,活跃,,
002349,精华制药,2026-09-02,2026-09-02,1,活跃,,
002354,天娱数科,2026-09-02,2026-09-02,1,活跃,,
002364,中恒电气,2026-09-02,2026-09-02,1,活跃,,
002365,永安药业,2026-09-02,2026-09-02,1,进入30-40只研究池,,
002370,亚太药业,2026-09-02,2026-09-02,1,活跃,,
002382,蓝帆医疗,2026-09-02,2026-09-02,1,活跃,,
002384,东山精密,2026-09-02,2026-09-02,1,活跃,,
002396,星网锐捷,2026-09-02,2026-09-03,2,活跃,,
002409,雅克科技,2026-09-02,2026-09-02,1,活跃,,
002418,康盛股份,2026-09-02,2026-09-03,2,活跃,,
002421,达实智能,2026-09-02,2026-09-02,1,活跃,,
002428,云南锗业,2026-09-02,2026-09-02,1,活跃,,
002436,兴森科技,2026-09-02,2026-09-02,1,活跃,,
002437,誉衡药业,2026-09-02,2026-09-02,1,活跃,,
002438,江苏神通,2026-09-02,2026-09-02,1,活跃,,
002445,中南文化,2026-09-02,2026-09-02,1,活跃,,
002448,中原内配,2026-09-02,2026-09-02,1,活跃,,
002463,沪电股份,2026-09-02,2026-09-02,1,活跃,,
002474,榕基软件,2026-09-02,2026-09-02,1,一级活跃,,
002476,宝莫股份,2026-09-02,2026-09-02,1,进入30-40只研究池,,
002484,江海股份,2026-09-02,2026-09-02,1,活跃,,
002491,通鼎互联,2026-09-02,2026-09-02,1,活跃,,
002515,金字火腿,2026-09-02,2026-09-02,1,活跃,,
002517,恺英网络,2026-09-02,2026-09-02,1,活跃,,
002536,飞龙股份,2026-09-02,2026-09-03,2,活跃,,
002545,东方铁塔,2026-09-02,2026-09-02,1,活跃,,
002548,金新农,2026-09-02,2026-09-02,1,一级活跃,,
002552,宝鼎科技,2026-09-02,2026-09-02,1,活跃,,
002558,巨人网络,2026-09-02,2026-09-02,1,活跃,,
002580,圣阳股份,2026-09-02,2026-09-02,1,进入30-40只研究池,,
002582,好想你,2026-09-02,2026-09-02,1,活跃,,
002589,瑞康医药,2026-09-02,2026-09-02,1,一级活跃,,
002607,中公教育,2026-09-02,2026-09-02,1,活跃,,
002631,德尔未来,2026-09-02,2026-09-03,2,活跃,,
002636,金安国纪,2026-09-02,2026-09-02,1,活跃,,
002638,勤上股份,2026-09-02,2026-09-02,1,活跃,,
002645,华宏科技,2026-09-02,2026-09-02,1,活跃,,
002655,共达电声,2026-09-02,2026-09-02,1,一级活跃,,
