股票代码,股票名称
000007,全新好
000020,深华发Ａ
000048,京基智农
000062,深圳华强
000506,招金黄金
000510,新金路
000520,凤凰航运
000526,学大教育
000596,古井贡酒
000603,盛达资源
000670,盈方微
000720,新能泰山
000721,西安饮食
000723,美锦能源
000735,罗 牛 山
000737,北方铜业
000887,中鼎股份
000889,中嘉博创
000977,浪潮信息
001210,金房能源
001277,速达股份
001337,四川黄金
001696,宗申动力
002012,凯恩股份
002037,保利联合
002041,登海种业
002107,沃华医药
002172,澳洋健康
002222,福晶科技
002229,鸿博股份
002277,友阿股份
002322,理工能科
002329,皇氏集团
002365,永安药业
002474,榕基软件
002476,宝莫股份
002548,金新农
002580,圣阳股份
002589,瑞康医药
002655,共达电声
002686,亿利达
002687,乔治白
002702,海欣食品
002724,海洋王
002734,利民股份
002827,高争民爆
002829,星网宇达
002846,英联股份
002880,卫光生物
002882,金龙羽
002902,铭普光磁
002913,奥士康
002915,中欣氟材
002953,日丰股份
002973,侨银股份
002980,华盛昌
300017,网宿科技
300134,大富科技
300139,晓程科技
300169,天晟新材
300305,裕兴股份
300386,飞天诚信
300598,诚迈科技
300686,智动力
300711,广哈通信
300765,新诺威
300897,山科智能
300929,华骐环保
300981,中红医疗
301123,奕东电子
301129,瑞纳智能
301177,迪阿股份
301183,东田微
301190,善水科技
301282,金禄电子
600110,诺德股份
600165,宁科生物
600172,黄河旋风
600186,莲花控股
600198,大唐电信
600368,五洲交通
600379,宝光股份
600397,江钨装备
600487,亨通光电
600500,中化国际
600536,中国软件
600547,山东黄金
600604,市北高新
600617,国新能源
600664,哈药股份
600698,湖南天雁
600712,南宁百货
600737,中粮糖业
600746,江苏索普
600801,华新水泥
600857,宁波中百
600969,郴电国际
600988,赤峰黄金
601002,晋亿实业
601011,宝泰隆
601015,陕西黑猫
601118,海南橡胶
601208,东材科技
601579,会稽山
601609,金田股份
601869,长飞光纤
601886,江河集团
603009,北特科技
603038,华立股份
603052,可川科技
603082,北自科技
603089,正裕工业
603118,共进股份
603188,亚邦股份
603200,上海洗霸
603217,元利科技
603268,松发股份
603270,金帝股份
603297,永新光学
603306,华懋科技
603318,水发燃气
603330,天洋新材
603333,尚纬股份
603366,日出东方
603387,基蛋生物
603396,金辰股份
603400,华之杰
603637,镇海股份
603778,国晟科技
603797,联泰环保
603848,好太太
603880,南卫股份
603890,春秋电子
603912,佳力图
603936,博敏电子
603955,大千生态
603995,甬金股份
605006,山东玻纤
605118,力鼎光电
605162,新中港
605168,三人行
605178,时空科技
605198,安德利
605388,均瑶健康
688112,鼎阳科技
688167,炬光科技
688286,敏芯股份
688432,有研硅
688618,三旺通信
688808,联讯仪器
