股票代码,股票名称,最新收盘,ret1,ret10,ret20,ret40,ret60,ret120,amp5,距20日高点,距250日高点,250日位置,MA20距离,MA30_5日斜率,MA60_10日斜率,MA120_20日斜率,距稳健5日上沿,20日方向证据,MA20上方证据,短波动非极端证据,10日不过热证据,10日非急跌证据,短沿附近辅助,阶段1分,阶段1通过,阶段1风险提示,阶段1规则说明,阶段排名,本阶段入选,决策说明
000007,全新好,12.93,0.005443234836703059,0.17652411282984537,0.3539267015706804,,,,0.06386418755052554,-0.01747720364741645,-0.01747720364741645,0.9487750556792872,0.1095855144597957,,,,-0.0038520801232666546,2,2,1,1,1,1,8,True,,宽松粗筛：方向/非极端波动/不过热；不以精确MA距离或距20日高点为硬规则,1,True,入选：按阶段1分排序第1名；本阶段上限150只
000020,深华发Ａ,12.63,-0.03218390804597704,-0.08078602620087327,0.1565934065934067,,,,0.08903020667726544,-0.08078602620087327,-0.08078602620087327,0.6837606837606839,0.04367227203239277,,,,-0.06305637982195844,2,2,1,1,1,1,8,True,,宽松粗筛：方向/非极端波动/不过热；不以精确MA距离或距20日高点为硬规则,2,True,入选：按阶段1分排序第2名；本阶段上限150只
000048,京基智农,22.93,-0.013763440860215082,0.021380846325167013,0.08313651393481325,,,,0.09830818472793774,-0.07837620578778137,-0.07837620578778137,0.7713950762016413,0.012049256300481037,,,,-0.026326963906581735,2,2,1,1,1,1,8,True,,宽松粗筛：方向/非极端波动/不过热；不以精确MA距离或距20日高点为硬规则,3,True,入选：按阶段1分排序第3名；本阶段上限150只
000062,深圳华强,24.64,0.009422367882015559,0.1099099099099099,0.05887408680704764,,,,0.13378684807256233,-0.014399999999999968,-0.014399999999999968,0.9192825112107624,0.06083437378912482,,,,-0.005248284214775856,2,2,1,1,1,1,8,True,,宽松粗筛：方向/非极端波动/不过热；不以精确MA距离或距20日高点为硬规则,4,True,入选：按阶段1分排序第4名；本阶段上限150只
000506,招金黄金,21.08,0.0503238664673642,0.14814814814814814,0.34955185659411003,,,,0.17802430005282627,-0.06518847006651896,-0.06518847006651896,0.8482972136222908,0.07919930374238482,,,,-0.05173189383715704,2,2,1,1,1,1,8,True,,宽松粗筛：方向/非极端波动/不过热；不以精确MA距离或距20日高点为硬规则,6,True,入选：按阶段1分排序第6名；本阶段上限150只
000510,新金路,17.06,-0.01444251877527436,0.10349288486416541,0.058312655086848464,,,,0.13924830560690069,-0.0773391022174148,-0.0773391022174148,0.7395264116575592,0.013244639781433865,,,,-0.053799223516361794,2,2,1,1,1,1,8,True,,宽松粗筛：方向/非极端波动/不过热；不以精确MA距离或距20日高点为硬规则,7,True,入选：按阶段1分排序第7名；本阶段上限150只
000520,凤凰航运,4.19,-0.009456264775413725,0.04488778054862852,0.06345177664974622,,,,0.1259079903147701,-0.09892473118279566,-0.09892473118279566,0.5490196078431375,0.017360689571445986,,,,-0.025581395348837077,2,2,1,1,1,1,8,True,,宽松粗筛：方向/非极端波动/不过热；不以精确MA距离或距20日高点为硬规则,8,True,入选：按阶段1分排序第8名；本阶段上限150只
000526,学大教育,37.41,-0.018110236220472586,-0.042977743668457524,0.05380281690140842,,,,0.12048540884137537,-0.042977743668457524,-0.042977743668457524,0.807780320366132,0.045497736291990165,,,,0.014370932754880439,2,2,1,1,1,1,8,True,,宽松粗筛：方向/非极端波动/不过热；不以精确MA距离或距20日高点为硬规则,10,True,入选：按阶段1分排序第10名；本阶段上限150只
000596,古井贡酒,97.73,-0.031225218080888073,0.05086021505376359,0.0858888888888889,,,,0.11211553301730794,-0.0632608070545384,-0.0632608070545384,0.5990279465370597,0.034327655273504565,,,,0.03637327677624613,2,2,1,1,1,1,8,True,,宽松粗筛：方向/非极端波动/不过热；不以精确MA距离或距20日高点为硬规则,11,True,入选：按阶段1分排序第11名；本阶段上限150只
000603,盛达资源,35.9,-0.013736263736263687,0.14733141578779163,0.23156089193825036,,,,0.17136917136917124,-0.10851750682890504,-0.10851750682890504,0.7332112332112329,0.021904043494968883,,,,-0.07948717948717954,2,2,1,1,1,1,8,True,,宽松粗筛：方向/非极端波动/不过热；不以精确MA距离或距20日高点为硬规则,12,True,入选：按阶段1分排序第12名；本阶段上限150只
000670,盈方微,7.4,0.04225352112676073,0.0277777777777779,0.04519774011299438,,,,0.11661807580174924,-0.07035175879396982,-0.07035175879396982,0.638709677419355,0.042473762062407605,,,,0.029207232267037586,2,2,1,1,1,1,8,True,,宽松粗筛：方向/非极端波动/不过热；不以精确MA距离或距20日高点为硬规则,13,True,入选：按阶段1分排序第13名；本阶段上限150只
