股票代码,股票名称,最新收盘,ret1,ret10,ret20,ret40,ret60,ret120,amp5,距20日高点,距250日高点,250日位置,MA20距离,MA30_5日斜率,MA60_10日斜率,MA120_20日斜率,距稳健5日上沿,阶段2分,长期趋势证据,右上角位置证据,40日仍活证据,长期下降修复惩罚,二级结构延续贡献,阶段3分,生命周期标签,阶段3通过,阶段3风险提示,阶段3规则说明,阶段排名,本阶段入选,决策说明
001210,金房能源,29.88,0.03678001387925045,0.10462107208872462,0.4372294372294372,0.5315222962583288,0.29127052722558333,0.8175182481751824,0.1549243821468093,-0.045672309166400527,-0.045672309166400527,0.9328323156411461,0.14544199953998294,0.08080435384189655,0.03846242375417175,0.08701611225200612,0.008777852802160702,12,3,2,1,0,2.25,8.25,右上角/高位趋势,True,40日加速较大：仅作趋势成熟风险提示，不单独判尾端,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,1,True,入选：按阶段3分排序第1名；本阶段上限30只
600801,华新水泥,24.06,0.03040685224839379,0.056189640035118504,0.1211556383970176,0.3554929577464787,0.3183561643835615,0.056189640035118504,0.06628870475359788,-0.019959266802444087,-0.07992351816443599,0.8145519077196096,0.03306139974237876,0.029249214786180255,0.04051534158331904,0.0015460817122350257,-0.011097410604192337,12,3,2,1,0,2.25,8.25,右上角/高位趋势,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,2,True,入选：按阶段3分排序第2名；本阶段上限30只
603330,天洋新材,11.49,0.025892857142857162,0.14101290963257207,0.5958333333333332,0.4525916561314791,0.34701055099648315,0.5218543046357615,0.16731517509727634,-0.11136890951276102,-0.11136890951276102,0.8059299191374664,0.1449925261584455,0.09372958850424573,0.062412698412698475,0.05303777241355867,-0.019624573378839605,12,3,2,1,0,2.25,8.25,右上角/高位趋势,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,3,True,入选：按阶段3分排序第3名；本阶段上限30只
603333,尚纬股份,10.31,0.0248508946322068,0.18778801843317972,0.19190751445086707,0.30012610340479196,0.218676122931442,0.14555555555555566,0.05348133198789096,-0.04889298892988925,-0.04889298892988925,0.8531855955678672,0.08258518401848058,0.040760663686642884,0.02473323019556517,0.021364907813079537,0.0019436345966958868,12,3,2,1,0,2.25,8.25,右上角/高位趋势,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,4,True,入选：按阶段3分排序第4名；本阶段上限30只
002827,高争民爆,60.15,-0.026226323457989364,0.07410714285714293,0.34383378016085797,1.626637554585153,1.3063650306748467,0.6787608149595312,0.13878152033867108,-0.027957336780866204,-0.027957336780866204,0.9564012096774193,0.05595786701777494,0.13724924793865045,0.15495769010563043,0.11494023795613262,-0.013934426229508245,11,3,2,1,0,0.75,6.75,右上角/高位趋势,True,40日加速较大：仅作趋势成熟风险提示，不单独判尾端,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,5,True,入选：按阶段3分排序第5名；本阶段上限30只
603217,元利科技,30.34,-0.007848266841072538,0.17233384853168476,0.34426229508196715,0.4600577478344561,0.31114952463267076,0.22240128928283642,0.09417199715707174,-0.014615134784020767,-0.07499999999999996,0.8472998137802609,0.12370370370370365,0.08859282454248718,0.024509514677681032,0.01234089820542339,-0.00426649163111259,11,3,2,1,0,0.75,6.75,右上角/高位趋势,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,6,True,入选：按阶段3分排序第6名；本阶段上限30只
000887,中鼎股份,21.32,0.0319457889641821,0.020584011488750553,0.14377682403433467,0.24751316559391467,-0.022018348623853212,0.07189542483660127,0.09163745618427652,-0.10004221190375695,-0.19364599092284418,0.5033947623666344,0.014658290500666249,0.032226579520697074,0.0015306692808434441,0.0035547928413828256,-0.01751152073732709,12,3,0,1,0,2.25,6.25,中期上升趋势延续,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,7,True,入选：按阶段3分排序第7名；本阶段上限30只
002365,永安药业,15.8,0.03879026955950038,0.016077170418006492,0.23727486296006273,0.5061963775023832,0.4311594202898552,0.09342560553633228,0.11715481171548116,-0.07764156450671322,-0.2216748768472906,0.5706106870229007,0.08826669421772237,0.03533982516872958,0.05372758995804072,0.00022798035460724897,0.0050890585241729624,12,3,0,1,0,2.25,6.25,中期上升趋势延续,True,40日加速较大：仅作趋势成熟风险提示，不单独判尾端,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,8,True,入选：按阶段3分排序第8名；本阶段上限30只
603318,水发燃气,10.14,0.026315789473684292,0.1266666666666667,0.1291759465478841,0.29833546734955196,0.195754716981132,0.08681672025723475,0.08094262295081976,-0.03886255924170612,-0.3284768211920529,0.4376417233560091,0.07358390682901006,0.0324901630129284,0.013700909696028107,0.02347048103955074,-0.011695906432748426,12,3,0,1,0,2.25,6.25,中期上升趋势延续,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,9,True,入选：按阶段3分排序第9名；本阶段上限30只
000889,中嘉博创,4.07,0.0,0.09408602150537626,0.03826530612244916,0.3432343234323434,0.10899182561307907,0.1432584269662922,0.04846938775510214,-0.0915178571428572,-0.30899830220713065,0.40131578947368435,0.0185185185185186,0.021818816547390485,0.003776847469967315,0.015000540365287085,0.0,11,3,0,1,0,0.75,4.75,中期上升趋势延续,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,10,True,入选：按阶段3分排序第10名；本阶段上限30只
