股票代码,股票名称,最新收盘,ret1,ret10,ret20,ret40,ret60,ret120,amp5,距20日高点,距250日高点,250日位置,MA20距离,MA30_5日斜率,MA60_10日斜率,MA120_20日斜率,距稳健5日上沿,近5日低点,近10日低点,距近5日低点,距近10日低点,20日方向证据,MA20上方证据,短波动非极端证据,10日不过热证据,10日非急跌证据,短沿附近辅助,阶段1分,阶段1通过,阶段1风险提示,阶段1规则说明,阶段排名,本阶段入选,阶段软容量下限,阶段软容量上限,实际入选数,边界分数,决策说明
000007,全新好,12.93,0.005443234836703059,0.17652411282984537,0.3539267015706804,,,,0.06386418755052554,-0.01747720364741645,-0.01747720364741645,0.9487750556792872,0.1095855144597957,,,,-0.0038520801232666546,12.37,10.93,0.045270816491511656,0.18298261665141813,2,2,1,1,1,1,8,True,,宽松粗筛：方向/非极端波动/不过热；不以精确MA距离或距20日高点为硬规则,1,True,150,200,200,7,入选：阶段1分=8；软容量150-200只，本次实际200只
000020,深华发Ａ,12.41,-0.017418844022169533,0.003233629749393785,0.12206148282097651,,,,0.10931174089068824,-0.09679767103347892,-0.09679767103347892,0.617816091954023,0.019804421069931744,,,,-0.07937685459940658,12.35,11.13,0.004858299595141835,0.11500449236298294,2,2,1,1,1,1,8,True,,宽松粗筛：方向/非极端波动/不过热；不以精确MA距离或距20日高点为硬规则,1,True,150,200,200,7,入选：阶段1分=8；软容量150-200只，本次实际200只
000048,京基智农,23.06,0.0056694286960312645,0.02808738296923763,0.06759259259259243,,,,0.09830818472793774,-0.07315112540192925,-0.07315112540192925,0.7499999999999999,0.014518257809063018,,,,-0.020806794055201805,21.87,21.2,0.054412437128486424,0.08773584905660381,2,2,1,1,1,1,8,True,,宽松粗筛：方向/非极端波动/不过热；不以精确MA距离或距20日高点为硬规则,1,True,150,200,200,7,入选：阶段1分=8；软容量150-200只，本次实际200只
000062,深圳华强,24.2,-0.017857142857142905,0.08812949640287782,0.05263157894736836,,,,0.10668437361664454,-0.03200000000000003,-0.03200000000000003,0.7777777777777777,0.039184111647879716,,,,-0.026156941649899457,22.59,21.4,0.07127047366091199,0.13084112149532712,2,2,1,1,1,1,8,True,,宽松粗筛：方向/非极端波动/不过热；不以精确MA距离或距20日高点为硬规则,1,True,150,200,200,7,入选：阶段1分=8；软容量150-200只，本次实际200只
000506,招金黄金,20.99,-0.004269449715370022,0.07917737789203083,0.2736650485436891,,,,0.17802430005282627,-0.0691796008869181,-0.0691796008869181,0.8318965517241377,0.062327605840524214,,,,-0.055780476833108494,18.93,18.75,0.10882197569994712,0.11946666666666661,2,2,1,1,1,1,8,True,,宽松粗筛：方向/非极端波动/不过热；不以精确MA距离或距20日高点为硬规则,1,True,150,200,200,7,入选：阶段1分=8；软容量150-200只，本次实际200只
000510,新金路,17.41,0.0205158264947245,0.07072570725707239,0.08069522036002486,,,,0.11318482841661644,-0.058409951325040455,-0.058409951325040455,0.7981308411214956,0.03005561472015139,,,,-0.034387132556849775,16.61,15.6,0.04816375677302842,0.11602564102564106,2,2,1,1,1,1,8,True,,宽松粗筛：方向/非极端波动/不过热；不以精确MA距离或距20日高点为硬规则,1,True,150,200,200,7,入选：阶段1分=8；软容量150-200只，本次实际200只
000520,凤凰航运,4.43,0.0572792362768495,0.0045351473922901064,0.11868686868686873,,,,0.11510791366906485,-0.047311827956989405,-0.047311827956989405,0.7821782178217815,0.06953162723322048,,,,0.0278422273781902,4.17,4.13,0.062350119904076795,0.07263922518159793,2,2,1,1,1,1,8,True,,宽松粗筛：方向/非极端波动/不过热；不以精确MA距离或距20日高点为硬规则,1,True,150,200,200,7,入选：阶段1分=8；软容量150-200只，本次实际200只
000523,红棉股份,3.33,-0.008928571428571397,-0.056657223796033884,0.15224913494809678,,,,0.10334346504559266,-0.0826446280991735,-0.0826446280991735,0.6296296296296299,0.047169811320754595,,,,-0.0646067415730337,3.29,3.05,0.012158054711246313,0.09180327868852478,2,2,1,1,1,1,8,True,,宽松粗筛：方向/非极端波动/不过热；不以精确MA距离或距20日高点为硬规则,1,True,150,200,200,7,入选：阶段1分=8；软容量150-200只，本次实际200只
000526,学大教育,37.41,-0.018110236220472586,-0.042977743668457524,0.05380281690140842,,,,0.12048540884137537,-0.042977743668457524,-0.042977743668457524,0.807780320366132,0.045497736291990165,,,,0.014370932754880439,34.61,33.71,0.08090147356255417,0.10975971521803607,2,2,1,1,1,1,8,True,,宽松粗筛：方向/非极端波动/不过热；不以精确MA距离或距20日高点为硬规则,1,True,150,200,200,7,入选：阶段1分=8；软容量150-200只，本次实际200只
000596,古井贡酒,96.76,-0.009925304410109526,0.04695953256870822,0.07332224070992788,,,,0.11199294532627863,-0.07255822869740236,-0.07255822869740236,0.5400972053462942,0.020492105845998143,,,,-0.040745514027956786,90.72,89.01,0.06657848324514992,0.08706886866644203,2,2,1,1,1,1,8,True,,宽松粗筛：方向/非极端波动/不过热；不以精确MA距离或距20日高点为硬规则,1,True,150,200,200,7,入选：阶段1分=8；软容量150-200只，本次实际200只
