股票代码,股票名称,状态,交易日数,前复权源,未复权源,缓存模式,未复权匹配日,错误
000526,学大教育,成功,250,global-cache,global-cache,local-cache,240,
002012,凯恩股份,成功,250,global-cache,global-cache,local-cache,240,
002724,海洋王,成功,250,global-cache,global-cache,local-cache,239,
300209,行云科技,成功,250,global-cache+sina,global-cache,per-stock-incremental,241,
300839,博汇股份,成功,250,global-cache,global-cache,local-cache,250,
603955,大千生态,成功,250,global-cache,global-cache,local-cache,250,
001210,金房能源,成功,250,global-cache,global-cache,local-cache,240,
002017,东信和平,成功,250,global-cache,global-cache,local-cache,250,
002329,皇氏集团,成功,250,global-cache,global-cache,local-cache,240,
002655,共达电声,成功,250,global-cache,global-cache,local-cache,250,
002880,卫光生物,成功,250,global-cache,global-cache,local-cache,250,
002882,金龙羽,成功,250,global-cache,global-cache,local-cache,240,
002913,奥士康,成功,250,global-cache,global-cache,local-cache,241,
300765,石药创新,成功,250,global-cache,global-cache,local-cache,250,
301183,东田微,成功,250,global-cache,global-cache,local-cache,250,
301205,联特科技,成功,250,global-cache,global-cache,local-cache,250,
301251,威尔高,成功,250,global-cache,global-cache,local-cache,250,
600165,宁科生物,成功,250,global-cache,global-cache,local-cache,250,
600368,五洲交通,成功,250,global-cache,global-cache,local-cache,240,
600604,市北高新,成功,250,global-cache,global-cache,local-cache,250,
600746,江苏索普,成功,250,global-cache,global-cache,local-cache,250,
601869,长飞光纤,成功,250,global-cache,global-cache,local-cache,250,
603009,北特科技,成功,250,global-cache,global-cache,local-cache,250,
603082,北自科技,成功,250,global-cache,global-cache,local-cache,250,
603268,松发股份,成功,250,global-cache,global-cache,local-cache,250,
603848,好太太,成功,250,global-cache,global-cache,local-cache,250,
603880,南卫股份,成功,250,global-cache,global-cache,local-cache,250,
000596,古井贡酒,成功,250,global-cache,global-cache,local-cache,250,
000721,西安饮食,成功,250,global-cache,global-cache,local-cache,240,
002277,友阿股份,成功,250,global-cache,global-cache,local-cache,250,
002365,永安药业,成功,250,global-cache,global-cache,local-cache,239,
002548,金新农,成功,250,global-cache,global-cache,local-cache,250,
002734,利民股份,成功,250,global-cache,global-cache,local-cache,240,
002779,中坚科技,成功,250,global-cache,global-cache,local-cache,250,
002902,铭普光磁,成功,250,global-cache,global-cache,local-cache,250,
002963,豪尔赛,成功,250,global-cache,global-cache,local-cache,250,
300063,天龙集团,成功,250,global-cache,global-cache,local-cache,250,
300359,全通教育,成功,250,global-cache+sina,global-cache,per-stock-incremental,241,
300805,电声股份,成功,250,global-cache,global-cache,local-cache,250,
301366,一博科技,成功,250,global-cache,global-cache,local-cache,250,
600186,莲花控股,成功,250,global-cache,global-cache,local-cache,241,
600475,华光环能,成功,250,global-cache,global-cache,local-cache,250,
603118,共进股份,成功,250,global-cache,global-cache,local-cache,250,
605388,均瑶健康,成功,250,global-cache,global-cache,local-cache,250,
605488,福莱新材,成功,250,global-cache,global-cache,local-cache,250,
688112,鼎阳科技,成功,250,global-cache,global-cache,local-cache,250,
