股票代码,股票名称,最新收盘,ret1,ret5,ret10,ret20,ret40,ret60,ret120,amp5,距20日高点,前10日区间振幅,振幅收敛比,近5日平均成交量,前10日平均成交量,成交量收敛比,近5日平均换手率,前10日平均换手率,换手率收敛比,流动性收敛证据,MA5_3日斜率,MA10_3日斜率,短期下行停止证据,整理证据可用项,整理收敛支持项,整理成熟度状态,距250日高点,250日位置,MA20距离,MA30_5日斜率,MA60_10日斜率,MA120_20日斜率,距稳健5日上沿,近5日低点,近10日低点,距近5日低点,距近10日低点,阶段2分,长期趋势证据,右上角位置证据,40日仍活证据,长期下降修复惩罚,二级结构延续贡献,阶段3分,生命周期标签,阶段3通过,阶段3风险提示,阶段3规则说明,阶段排名,本阶段入选,阶段软容量下限,阶段软容量上限,实际入选数,边界分数,决策说明
600368,五洲交通,4.37,-0.009070294784580546,0.016279069767441978,0.028235294117647136,0.10632911392405053,0.13212435233160624,0.24501424501424518,0.14099216710182771,0.03962703962703961,-0.020179372197309364,0.10499999999999998,0.3774003774003773,34709497.4,41093857.2,0.8446395584398925,0.019081915871132553,0.02552962364906154,0.7474421140491039,True,0.003674781809829941,0.011113683723083856,True,3,3,收敛较充分,-0.03104212860310418,0.8880000000000002,0.038004750593824355,0.02323466181577638,0.031438989683386875,0.015433267264993278,-0.006818181818181834,4.29,4.23,0.018648018648018683,0.033096926713947816,14,3,2,1,0,2.1538461538461537,8.153846153846153,右上角/高位趋势,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,1,True,39,39,24,1.5384615384615383,入选：阶段3分=8.153846153846153；软容量39-39只，本次实际24只
603261,立航科技,58.15,0.00954861111111116,-0.0042808219178082085,-0.009875702366763162,0.01359595607460351,0.18431771894093685,0.42874692874692855,0.834384858044164,0.1168592918730509,-0.09984520123839002,0.35600335852225007,0.3282533410868011,2204080.0,2733330.0,0.8063717150874574,0.0316689155962048,0.035266488925065974,0.8979888999864637,True,-0.00014008054631420297,0.016529662452523963,True,3,3,收敛较充分,-0.09984520123839002,0.8573324485733246,0.0608216579100993,0.04189975058121731,0.07846639615755158,0.10644798681069245,-0.018731015862301748,54.51,53.95,0.06677673821317187,0.077849860982391,14,3,2,1,0,2.1538461538461537,8.153846153846153,右上角/高位趋势,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,1,True,39,39,24,1.5384615384615383,入选：阶段3分=8.153846153846153；软容量39-39只，本次实际24只
603268,松发股份,199.59,0.009559939301972742,0.04519271051529117,0.0673262032085562,0.1519681403670785,0.2827945240696703,0.3188185542487114,0.6033901028277635,0.06878306878306878,-0.011930693069306941,0.12480827131738907,0.5511098588021665,4522730.6,6606830.6,0.6845537404879126,0.01852683752875535,0.0283251296532774,0.6540777661228349,True,0.03357197322714556,0.012790347226995458,True,3,3,收敛较充分,-0.011930693069306941,0.9845937480023014,0.06511054544290218,0.0437886227808979,0.044792153101631316,0.08763113862153205,0.014898810129156947,189.0,181.0,0.0560317460317461,0.10270718232044196,14,3,2,1,0,2.1538461538461537,8.153846153846153,右上角/高位趋势,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,1,True,39,39,24,1.5384615384615383,入选：阶段3分=8.153846153846153；软容量39-39只，本次实际24只
688167,炬光科技,315.0,0.041150223103619155,0.10845238933070589,0.08247422680412364,0.2311420307980927,0.20458891013384317,-0.2109811386919821,0.5103567318757192,0.10356164383561647,-0.022467725918570047,0.2284209266131928,0.4533807185319207,10917703.6,9181141.0,1.1891445300752923,0.08414537679109198,0.07054874438802806,1.1927267809088211,False,0.04885713114642076,0.03561560681542253,True,3,2,部分收敛/待确认,-0.258614196949727,0.6856979405034325,0.09755332715451459,0.08066014204960426,-0.02463545214673979,0.03290549668249998,-0.015625,292.0,271.0,0.07876712328767121,0.16236162361623618,14,3,2,1,0,2.1538461538461537,8.153846153846153,右上角/高位趋势,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,1,True,39,39,24,1.5384615384615383,入选：阶段3分=8.153846153846153；软容量39-39只，本次实际24只
600801,华新建材,24.96,-0.005577689243027928,0.044788614483047384,0.04260651629072676,0.09473684210526323,0.31645569620253156,0.3136842105263158,0.22173274596182102,0.07304785894206542,-0.023474178403755763,0.09543010752688168,0.7654592542661507,9919070.8,9596082.9,1.0336583065575642,0.01021285161393315,0.0071521947639634886,1.4279325369313007,False,0.03119037743674835,0.016527888196158802,True,3,2,部分收敛/待确认,-0.04550669216061176,0.8944099378881989,0.050748279273400865,0.02314875515347503,0.04587246744893658,0.009749044884376667,-0.012267510882469246,23.82,22.91,0.04785894206549113,0.08948057616761251,13,3,2,1,0,1.2307692307692308,7.230769230769231,右上角/高位趋势,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,5,True,39,39,24,1.5384615384615383,入选：阶段3分=7.230769230769231；软容量39-39只，本次实际24只
002902,铭普光磁,28.05,0.04197622585438321,0.09228971962616828,0.09698865858427852,0.13013698630136994,0.14677023712183157,-0.20199146514935984,0.17070116861435736,0.1792144026186579,-0.026717557251908386,0.20626072041166374,0.8688731536522045,19456910.2,15542621.0,1.2518422858023752,0.0774292486451206,0.08335148004852186,0.9289486953326598,True,0.026867275658248202,0.02925624300436147,True,3,3,收敛较充分,-0.34812921217755055,0.3895680521597393,0.0856103413576903,0.03684919456814573,-0.04220018034265127,0.026536812008577604,0.01667270750271843,24.44,24.44,0.14770867430441892,0.14770867430441892,15,3,0,1,0,2.9615384615384617,6.961538461538462,中期上升趋势延续,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,6,True,39,39,24,1.5384615384615383,入选：阶段3分=6.961538461538462；软容量39-39只，本次实际24只
301183,东田微,235.39,0.0059401709401709635,0.07700402635431902,-0.0025847457627119486,0.19529782156096065,0.18286432160804011,-0.08050781250000005,0.6825589706933521,0.17671161084377535,-0.12455370425468615,0.2448148148148148,0.7218174724329705,4002647.6,5024433.2,0.7966366435123469,0.0837231572601765,0.08559572949570435,0.9781230647070795,True,0.03677055495472947,0.004405421922469621,True,3,3,收敛较充分,-0.18448586474501105,0.7423303977547663,0.040046128049521235,0.058444941044318854,0.003286326485954616,0.06010441270920541,-0.03918527286828044,209.89,209.89,0.12149221020534573,0.12149221020534573,12,3,2,1,0,0.5384615384615384,6.538461538461538,右上角/高位趋势,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,7,True,39,39,24,1.5384615384615383,入选：阶段3分=6.538461538461538；软容量39-39只，本次实际24只
600508,上海能源,11.33,-0.024956970740103168,0.04136029411764697,-0.03656462585034015,0.322053675612602,0.3472057074910819,0.3205128205128205,0.22619047619047628,0.1222014925373133,-0.1271186440677966,0.49195402298850593,0.24840023015762275,45860120.8,73655874.0,0.6226267955221059,0.047635064041971674,0.07279649679602354,0.6543592911544297,True,0.0033427163969037554,0.003133159268929653,True,3,3,收敛较充分,-0.1271186440677966,0.7095070422535211,0.07002880483543472,0.05182571882166176,0.04353676117251326,0.024126432853329494,-0.02996575342465746,10.72,10.72,0.056902985074626766,0.056902985074626766,12,3,2,1,0,0.5384615384615384,6.538461538461538,右上角/高位趋势,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,7,True,39,39,24,1.5384615384615383,入选：阶段3分=6.538461538461538；软容量39-39只，本次实际24只
603880,南卫股份,9.93,0.016376663254861867,0.006079027355623046,0.07583965330444187,0.2124542124542126,0.4308357348703169,0.23200992555831257,0.36027397260273974,0.1006355932203391,-0.044273339749759444,0.28481012658227844,0.3533427495291907,10936763.2,14659679.5,0.746043813577234,0.040836293687422545,0.05071816379626487,0.8051611223833369,True,0.009562563580874706,0.02572683539008569,True,3,3,收敛较充分,-0.044273339749759444,0.9096267190569743,0.06981254040077567,0.0769646120618046,0.0471192446567541,0.05466364393448697,-0.0331061343719572,9.44,9.17,0.051906779661016866,0.08287895310796078,12,3,2,1,0,0.5384615384615384,6.538461538461538,右上角/高位趋势,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,7,True,39,39,24,1.5384615384615383,入选：阶段3分=6.538461538461538；软容量39-39只，本次实际24只
000889,中嘉博创,4.2,0.05527638190954787,0.05263157894736836,0.03960396039603964,0.021897810218977964,0.2574850299401199,0.15068493150684947,0.2574850299401199,0.1288659793814433,-0.041095890410958846,0.11081081081081084,1.1629368871008297,50383867.0,35984515.6,1.4001540985034129,0.03445351335362015,0.041371048876415024,0.8327928415965675,True,0.002989536621823774,0.00298656047784962,True,3,2,部分收敛/待确认,-0.2869269949066213,0.44407894736842113,0.05302745393004904,0.017656090071647812,0.017694272163444102,0.01833677685950419,0.021897810218977964,3.88,3.88,0.08247422680412386,0.08247422680412386,14,3,0,1,0,2.1538461538461537,6.153846153846153,中期上升趋势延续,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,10,True,39,39,24,1.5384615384615383,入选：阶段3分=6.153846153846153；软容量39-39只，本次实际24只
