股票代码,股票名称,最新收盘,ret1,ret5,ret10,ret20,ret40,ret60,ret120,amp5,距20日高点,前10日区间振幅,振幅收敛比,近5日平均成交量,前10日平均成交量,成交量收敛比,近5日平均换手率,前10日平均换手率,换手率收敛比,流动性收敛证据,MA5_3日斜率,MA10_3日斜率,短期下行停止证据,整理证据可用项,整理收敛支持项,整理成熟度状态,距250日高点,250日位置,MA20距离,MA30_5日斜率,MA60_10日斜率,MA120_20日斜率,距稳健5日上沿,近5日低点,近10日低点,距近5日低点,距近10日低点,20日方向证据,MA20上方证据,短波动非极端证据,10日不过热证据,10日非急跌证据,短沿附近辅助,阶段1分,阶段1通过,阶段1风险提示,阶段1规则说明,阶段排名,本阶段入选,阶段软容量下限,阶段软容量上限,实际入选数,边界分数,决策说明
000059,华锦股份,5.79,-0.028523489932885893,-0.008561643835616417,0.14426877470355737,0.2697368421052633,,,,0.10412926391382407,-0.0736,0.36462882096069865,0.2855760651049786,77013804.2,91710409.1,0.8397498708791608,0.04836673118748405,0.05734004278158329,0.8435070648921573,True,0.005847953216374213,0.05959302325581395,True,3,3,收敛较充分,-0.0736,0.7371428571428572,0.09214373290578148,,,,-0.05853658536585371,5.57,5.15,0.03949730700179521,0.12427184466019403,2,2,1,1,1,1,8,True,,宽松粗筛：方向/非极端波动/不过热；不以精确MA距离或距20日高点为硬规则,1,True,150,200,197,7,入选：阶段1分=8；软容量150-200只，本次实际197只
000520,凤凰航运,4.36,-0.03752759381898452,-0.015801354401805745,0.0331753554502372,0.12082262210796912,,,,0.06976744186046507,-0.062365591397849474,0.1259079903147701,0.5541144901610009,74824235.4,48546677.4,1.5412843763433337,0.08812023955079865,0.047967069474522686,1.8370986703201242,False,0.021207929921623014,0.01566518587795196,True,3,2,部分收敛/待确认,-0.062365591397849474,0.6627906976744187,0.022514071294559068,,,,-0.05217391304347807,4.3,4.17,0.013953488372093092,0.045563549160671624,2,2,1,1,1,1,8,True,,宽松粗筛：方向/非极端波动/不过热；不以精确MA距离或距20日高点为硬规则,1,True,150,200,197,7,入选：阶段1分=8；软容量150-200只，本次实际197只
000526,学大教育,36.42,-0.026723677177979743,0.0016501650165017256,0.03583617747440293,0.06428988895382814,,,,0.06826976229961301,-0.06830391404451275,0.15040047463660636,0.45391985939249596,3412296.0,5676995.0,0.6010743359823287,0.0299814340590095,0.046734428327084826,0.6415277801019732,True,0.0019854045932605757,0.013974899983559164,True,3,3,收敛较充分,-0.06830391404451275,0.694508009153318,0.004842113975913609,,,,-0.056965302951838326,36.18,34.61,0.0066334991708125735,0.05229702398150837,2,2,1,1,1,1,8,True,,宽松粗筛：方向/非极端波动/不过热；不以精确MA距离或距20日高点为硬规则,1,True,150,200,197,7,入选：阶段1分=8；软容量150-200只，本次实际197只
000536,华映科技,3.52,-0.014005602240896309,-0.03825136612021862,0.002849002849002913,0.06024096385542177,,,,0.06303724928366755,-0.11111111111111105,0.28155339805825247,0.22389091986957782,62113461.6,103542841.2,0.5998817579288137,0.024350393124488202,0.03747366957027927,0.6498000703886426,True,-0.03383458646616533,0.010797342192690795,False,3,2,部分收敛/待确认,-0.11111111111111105,0.5,0.014994232987312506,,,,-0.05121293800539084,3.49,3.46,0.008595988538681931,0.01734104046242768,2,2,1,1,1,1,8,True,,宽松粗筛：方向/非极端波动/不过热；不以精确MA距离或距20日高点为硬规则,1,True,150,200,197,7,入选：阶段1分=8；软容量150-200只，本次实际197只
000635,英 力 特,7.6,0.009296148738379806,0.02288021534320328,0.17647058823529416,0.16923076923076907,,,,0.1473087818696884,-0.10059171597633132,0.3651050080775442,0.4034696282183061,31192849.6,10895491.3,2.8629135429624912,0.09352789640459333,0.029702570103246496,3.1488149368721032,False,0.0031855588001061808,0.05193876091000127,True,3,2,部分收敛/待确认,-0.10059171597633132,0.6238938053097345,0.10553494799621777,,,,-0.06172839506172845,7.06,6.41,0.0764872521246458,0.18564742589703576,2,2,1,1,1,1,8,True,,宽松粗筛：方向/非极端波动/不过热；不以精确MA距离或距20日高点为硬规则,1,True,150,200,197,7,入选：阶段1分=8；软容量150-200只，本次实际197只
000670,盈方微,7.23,0.008368200836820217,0.014025245441795287,0.026988636363636465,0.047826086956521685,,,,0.0606060606060606,-0.09170854271356776,0.16413373860182373,0.3692480359147025,36139080.0,46939689.6,0.769904537246876,0.037391001409949845,0.056523192543457314,0.6615160914911544,True,-0.003085553997195012,0.008496176720475646,True,3,3,收敛较充分,-0.09170854271356776,0.4710144927536235,0.010764714105969464,,,,-0.013642564802182733,6.93,6.86,0.04329004329004338,0.05393586005830908,2,2,1,1,1,1,8,True,,宽松粗筛：方向/非极端波动/不过热；不以精确MA距离或距20日高点为硬规则,1,True,150,200,197,7,入选：阶段1分=8；软容量150-200只，本次实际197只
000721,西安饮食,7.43,-0.018494055482166538,0.04943502824858759,0.07994186046511631,0.11897590361445776,,,,0.12028985507246377,-0.03880983182406217,0.19527559055118116,0.6160004675081813,43934143.8,30715027.9,1.430379420231619,0.0895830225006422,0.05994810179558245,1.4943429369308827,False,0.019570535471595596,0.03020511379601043,True,3,2,部分收敛/待确认,-0.03880983182406217,0.7826086956521735,0.06485130777499082,,,,-0.028758169934640643,6.9,6.83,0.0768115942028984,0.08784773060029272,2,2,1,1,1,1,8,True,,宽松粗筛：方向/非极端波动/不过热；不以精确MA距离或距20日高点为硬规则,1,True,150,200,197,7,入选：阶段1分=8；软容量150-200只，本次实际197只
000723,美锦能源,3.91,0.005141388174807249,0.039893617021276695,0.002564102564102555,0.08011049723756902,,,,0.07608695652173908,-0.0532687651331718,0.1936416184971098,0.39292667099286155,93495599.4,154393135.7,0.6055683691901337,0.0165799080181644,0.03512786159749452,0.47198739872474776,True,0.0047120418848167755,0.0007772020725387296,True,3,3,收敛较充分,-0.0532687651331718,0.6857142857142859,0.030167303385588262,,,,0.002564102564102555,3.68,3.68,0.0625,0.0625,2,2,1,1,1,1,8,True,,宽松粗筛：方向/非极端波动/不过热；不以精确MA距离或距20日高点为硬规则,1,True,150,200,197,7,入选：阶段1分=8；软容量150-200只，本次实际197只
000889,中嘉博创,4.2,0.05527638190954787,0.05263157894736836,0.03960396039603964,0.021897810218977964,,,,0.1288659793814433,-0.041095890410958846,0.11081081081081084,1.1629368871008297,50383867.0,35984515.6,1.4001540985034129,0.03445351335362015,0.041371048876415024,0.8327928415965675,True,0.002989536621823774,0.00298656047784962,True,3,2,部分收敛/待确认,-0.0625,0.6499999999999998,0.05302745393004904,,,,0.021897810218977964,3.88,3.88,0.08247422680412386,0.08247422680412386,2,2,1,1,1,1,8,True,,宽松粗筛：方向/非极端波动/不过热；不以精确MA距离或距20日高点为硬规则,1,True,150,200,197,7,入选：阶段1分=8；软容量150-200只，本次实际197只
001223,欧克科技,41.31,-0.01783166904422251,0.053289138194798635,0.013991163475699508,0.01849112426035493,,,,0.12532637075718028,-0.041531322505800494,0.10868421052631586,1.1531239924389463,2528392.8,1453718.0,1.7392594712316969,0.036723553300073854,0.02081652700372874,1.764153707940608,False,0.02949807731228482,0.006995637129532106,True,3,1,结构未成熟,-0.041531322505800494,0.6763110307414107,0.020793950850661602,,,,-0.01124940162757293,38.3,38.0,0.0785900783289819,0.0871052631578948,2,2,1,1,1,1,8,True,,宽松粗筛：方向/非极端波动/不过热；不以精确MA距离或距20日高点为硬规则,1,True,150,200,197,7,入选：阶段1分=8；软容量150-200只，本次实际197只
001268,联合精密,25.08,-0.00673267326732685,-0.008695652173913104,-0.03352601156069368,0.26602725896012114,,,,0.0723926380368098,-0.07076695072248984,0.3721403152008132,0.19453049046230186,3376574.4,8341454.2,0.40479445418521864,0.041598273570976396,0.08842129433903337,0.4704553793510003,True,-0.011232449297971958,0.012502472799208908,False,3,2,部分收敛/待确认,-0.07076695072248984,0.765644171779141,0.061205492203862955,,,,-0.04347826086956519,24.45,24.45,0.025766871165644023,0.025766871165644023,2,2,1,1,1,1,8,True,,宽松粗筛：方向/非极端波动/不过热；不以精确MA距离或距20日高点为硬规则,1,True,150,200,197,7,入选：阶段1分=8；软容量150-200只，本次实际197只
