股票代码,股票名称,缓存行数,最早交易日,最后交易日,日期已最新,统一深缓存就绪,需要异常补抓
000007,全新好,257,2025-08-22,2026-09-11,True,True,False
000011,深物业A,280,2025-07-21,2026-09-10,False,True,True
000017,深中华A,31,2026-07-31,2026-09-11,True,False,False
000020,深华发Ａ,280,2025-07-22,2026-09-11,True,True,False
000026,飞亚达,280,2025-07-22,2026-09-11,True,True,False
000048,京基智农,124,2026-03-17,2026-09-11,True,False,False
000059,华锦股份,280,2025-07-22,2026-09-11,True,True,False
000062,深圳华强,280,2025-07-22,2026-09-11,True,True,False
000070,特发信息,280,2025-07-21,2026-09-10,False,True,True
000428,华天酒店,280,2025-07-22,2026-09-11,True,True,False
000505,京粮控股,280,2025-07-22,2026-09-11,True,True,False
000506,招金黄金,124,2026-03-17,2026-09-11,True,False,False
000510,新金路,280,2025-07-21,2026-09-10,False,True,True
000517,荣安地产,32,2026-07-30,2026-09-11,True,False,False
000520,凤凰航运,256,2025-08-25,2026-09-11,True,True,False
000523,红棉股份,280,2025-07-22,2026-09-11,True,True,False
000526,学大教育,257,2025-08-22,2026-09-11,True,True,False
000536,华映科技,280,2025-07-22,2026-09-11,True,True,False
000560,我爱我家,31,2026-07-31,2026-09-11,True,False,False
000565,渝三峡Ａ,280,2025-07-22,2026-09-11,True,True,False
000592,平潭发展,124,2026-03-17,2026-09-11,True,False,False
000596,古井贡酒,280,2025-07-22,2026-09-11,True,True,False
000603,盛达资源,124,2026-03-17,2026-09-11,True,False,False
000620,盈新发展,280,2025-07-21,2026-09-10,False,True,True
000626,远大控股,280,2025-07-22,2026-09-11,True,True,False
000628,高新发展,280,2025-07-21,2026-09-10,False,True,True
000635,英 力 特,280,2025-07-18,2026-09-11,True,True,False
000636,风华高科,280,2025-07-21,2026-09-10,False,True,True
000657,中钨高新,32,2026-07-30,2026-09-11,True,False,False
000670,盈方微,257,2025-08-08,2026-09-11,True,True,False
000712,锦龙股份,31,2026-07-31,2026-09-11,True,False,False
000716,黑芝麻,280,2025-07-14,2026-09-10,False,True,True
000720,新能泰山,257,2025-08-22,2026-09-11,True,True,False
000721,西安饮食,257,2025-08-22,2026-09-11,True,True,False
000722,湖南发展,280,2025-07-21,2026-09-10,False,True,True
000723,美锦能源,258,2025-08-21,2026-09-11,True,True,False
000735,罗 牛 山,258,2025-08-21,2026-09-11,True,True,False
000737,北方铜业,280,2025-07-22,2026-09-11,True,True,False
000759,中百集团,280,2025-07-22,2026-09-11,True,True,False
000798,中水渔业,29,2026-08-04,2026-09-11,True,False,False
000811,冰轮环境,32,2026-07-30,2026-09-11,True,False,False
000823,超声电子,280,2025-07-22,2026-09-11,True,True,False
000831,中国稀土,32,2026-07-30,2026-09-11,True,False,False
000833,粤桂股份,280,2025-07-22,2026-09-11,True,True,False
000859,国风新材,32,2026-07-30,2026-09-11,True,False,False
000887,中鼎股份,257,2025-08-22,2026-09-11,True,True,False
000889,中嘉博创,257,2025-08-22,2026-09-11,True,True,False
000890,法尔胜,280,2025-07-22,2026-09-11,True,True,False
000892,欢瑞世纪,32,2026-07-30,2026-09-11,True,False,False
000912,泸天化,280,2025-07-22,2026-09-11,True,True,False
000930,中粮科技,280,2025-07-22,2026-09-11,True,True,False
000931,中 关 村,32,2026-07-30,2026-09-11,True,False,False
000938,紫光股份,30,2026-08-03,2026-09-11,True,False,False
000960,锡业股份,32,2026-07-30,2026-09-11,True,False,False
000962,东方钽业,32,2026-07-30,2026-09-11,True,False,False
000975,山金国际,32,2026-07-30,2026-09-11,True,False,False
000977,浪潮信息,124,2026-03-17,2026-09-11,True,False,False
000978,桂林旅游,280,2025-07-22,2026-09-11,True,True,False
000980,众泰汽车,280,2025-07-22,2026-09-11,True,True,False
000988,华工科技,280,2025-07-22,2026-09-11,True,True,False
000989,九芝堂,32,2026-07-30,2026-09-11,True,False,False
000993,闽东电力,280,2025-07-22,2026-09-11,True,True,False
001210,金房能源,257,2025-08-22,2026-09-11,True,True,False
001223,欧克科技,280,2025-07-22,2026-09-11,True,True,False
001258,立新能源,32,2026-07-30,2026-09-11,True,False,False
001268,联合精密,254,2025-08-27,2026-09-11,True,True,False
001277,速达股份,126,2026-03-13,2026-09-11,True,False,False
001309,德明利,280,2025-07-22,2026-09-11,True,True,False
001326,联域股份,280,2025-07-21,2026-09-10,False,True,True
001330,博纳影业,280,2025-07-22,2026-09-11,True,True,False
001337,四川黄金,124,2026-03-17,2026-09-11,True,False,False
001358,兴欣新材,32,2026-07-30,2026-09-11,True,False,False
001359,平安电工,32,2026-07-30,2026-09-11,True,False,False
001366,播恩集团,280,2025-07-22,2026-09-11,True,True,False
001378,德冠新材,32,2026-07-30,2026-09-11,True,False,False
001696,宗申动力,280,2025-07-22,2026-09-11,True,True,False
002011,盾安环境,280,2025-07-22,2026-09-11,True,True,False
002012,凯恩股份,257,2025-08-22,2026-09-11,True,True,False
002015,协鑫能科,280,2025-07-22,2026-09-11,True,True,False
002017,东信和平,280,2025-07-22,2026-09-11,True,True,False
002037,保利联合,257,2025-08-22,2026-09-11,True,True,False
002038,双鹭药业,32,2026-07-30,2026-09-11,True,False,False
002040,南 京 港,280,2025-07-22,2026-09-11,True,True,False
002041,登海种业,254,2025-08-27,2026-09-11,True,True,False
002046,国机精工,280,2025-07-22,2026-09-11,True,True,False
002059,云南旅游,31,2026-07-31,2026-09-11,True,False,False
002068,黑猫股份,280,2025-07-22,2026-09-11,True,True,False
002072,凯瑞德,280,2025-07-22,2026-09-11,True,True,False
002081,金 螳 螂,280,2025-07-22,2026-09-11,True,True,False
002084,海鸥住工,30,2026-07-27,2026-09-11,True,False,False
002094,青岛金王,280,2025-07-21,2026-09-10,False,True,True
002104,恒宝股份,280,2025-07-22,2026-09-11,True,True,False
002107,沃华医药,280,2025-07-22,2026-09-11,True,True,False
002112,三变科技,32,2026-07-30,2026-09-11,True,False,False
002124,天邦食品,280,2025-07-22,2026-09-11,True,True,False
002141,贤丰控股,124,2026-03-17,2026-09-11,True,False,False
002155,湖南黄金,280,2025-07-01,2026-09-11,True,True,False
002161,远 望 谷,280,2025-07-21,2026-09-10,False,True,True
002165,红 宝 丽,280,2025-07-21,2026-09-10,False,True,True
002171,楚江新材,280,2025-07-22,2026-09-11,True,True,False
002172,澳洋健康,280,2025-07-15,2026-09-11,True,True,False
002174,游族网络,280,2025-07-21,2026-09-10,False,True,True
002180,奔图科技,32,2026-07-30,2026-09-11,True,False,False
002194,武汉凡谷,280,2025-07-21,2026-09-10,False,True,True
002201,九鼎新材,280,2025-07-21,2026-09-10,False,True,True
002212,天融信,280,2025-07-22,2026-09-11,True,True,False
002213,大为股份,32,2026-07-30,2026-09-11,True,False,False
002222,福晶科技,280,2025-07-22,2026-09-11,True,True,False
002229,鸿博股份,256,2025-08-25,2026-09-11,True,True,False
002235,安妮股份,32,2026-07-30,2026-09-11,True,False,False
002256,兆新股份,32,2026-07-30,2026-09-11,True,False,False
002265,建设工业,280,2025-07-22,2026-09-11,True,True,False
002277,友阿股份,280,2025-07-22,2026-09-11,True,True,False
002281,光迅科技,280,2025-07-22,2026-09-11,True,True,False
002295,精艺股份,280,2025-07-22,2026-09-11,True,True,False
002297,博云新材,280,2025-07-22,2026-09-11,True,True,False
002300,太阳电缆,280,2025-07-22,2026-09-11,True,True,False
002303,美盈森,280,2025-07-21,2026-09-10,False,True,True
002322,理工能科,255,2025-08-25,2026-09-10,False,True,True
002328,新朋股份,32,2026-07-30,2026-09-11,True,False,False
002329,皇氏集团,257,2025-08-22,2026-09-11,True,True,False
002348,高乐股份,32,2026-07-30,2026-09-11,True,False,False
002349,精华制药,280,2025-07-22,2026-09-11,True,True,False
002354,天娱数科,124,2026-03-17,2026-09-11,True,False,False
002364,中恒电气,32,2026-07-30,2026-09-11,True,False,False
002365,永安药业,258,2025-08-21,2026-09-11,True,True,False
002370,亚太药业,32,2026-07-30,2026-09-11,True,False,False
002377,国创高新,280,2025-07-22,2026-09-11,True,True,False
002382,蓝帆医疗,280,2025-07-21,2026-09-10,False,True,True
002384,东山精密,32,2026-07-30,2026-09-11,True,False,False
002396,星网锐捷,280,2025-07-22,2026-09-11,True,True,False
002403,爱仕达,30,2026-08-03,2026-09-11,True,False,False
002409,雅克科技,32,2026-07-30,2026-09-11,True,False,False
002418,康盛股份,280,2025-07-22,2026-09-11,True,True,False
002421,达实智能,32,2026-07-30,2026-09-11,True,False,False
002428,云南锗业,32,2026-07-30,2026-09-11,True,False,False
002436,兴森科技,280,2025-07-22,2026-09-11,True,True,False
002437,誉衡药业,124,2026-03-17,2026-09-11,True,False,False
002438,江苏神通,32,2026-07-30,2026-09-11,True,False,False
002445,中南文化,124,2026-03-10,2026-09-11,True,False,False
002448,中原内配,32,2026-07-30,2026-09-11,True,False,False
002457,青龙管业,280,2025-07-22,2026-09-11,True,True,False
002463,沪电股份,280,2025-07-22,2026-09-11,True,True,False
002470,金正大,280,2025-07-22,2026-09-11,True,True,False
002474,榕基软件,126,2026-03-13,2026-09-11,True,False,False
002476,新叶股份,256,2025-08-25,2026-09-11,True,True,False
002484,江海股份,32,2026-07-30,2026-09-11,True,False,False
002491,通鼎互联,280,2025-07-22,2026-09-11,True,True,False
002498,汉缆股份,280,2025-07-22,2026-09-11,True,True,False
002515,金字火腿,280,2025-07-22,2026-09-11,True,True,False
002517,恺英网络,280,2025-07-22,2026-09-11,True,True,False
002531,天顺风能,280,2025-07-21,2026-09-10,False,True,True
002536,飞龙股份,280,2025-07-22,2026-09-11,True,True,False
002545,东方铁塔,32,2026-07-30,2026-09-11,True,False,False
002548,金新农,280,2025-07-22,2026-09-11,True,True,False
002552,宝鼎科技,32,2026-07-30,2026-09-11,True,False,False
002558,巨人网络,32,2026-07-30,2026-09-11,True,False,False
002564,天沃科技,280,2025-07-22,2026-09-11,True,True,False
002579,中京电子,280,2025-07-22,2026-09-11,True,True,False
