股票代码,股票名称,最新收盘,ret1,ret5,ret10,ret20,ret40,ret60,ret120,amp5,距20日高点,前10日区间振幅,振幅收敛比,近5日平均成交量,前10日平均成交量,成交量收敛比,近5日平均换手率,前10日平均换手率,换手率收敛比,流动性收敛证据,MA5_3日斜率,MA10_3日斜率,短期下行停止证据,整理证据可用项,整理收敛支持项,整理成熟度状态,距250日高点,250日位置,MA20距离,MA30_5日斜率,MA60_10日斜率,MA120_20日斜率,距稳健5日上沿,近5日低点,近10日低点,距近5日低点,距近10日低点,最近25日曾涨停,25日内涨停次数,最近涨停日期,涨停板规则,涨停核验交易日数,25日最大单日涨幅,20日方向证据,MA20上方证据,短波动非极端证据,10日不过热证据,10日非急跌证据,短沿附近辅助,阶段1分,阶段1通过,阶段1风险提示,阶段1规则说明,阶段排名,本阶段入选,阶段软容量下限,阶段软容量上限,实际入选数,边界分数,决策说明
000070,特发信息,16.71,0.0005988023952097077,0.012727272727272698,0.0670498084291189,0.08859934853420204,,,,0.1301587301587302,-0.061235955056179736,0.10747051114023583,1.2111111111111124,90114344.6,71378420.3,1.2624872366361406,0.0829194245010938,0.08331621397034866,0.9952375480072093,True,0.03088707684704728,0.020302348825587124,True,3,2,部分收敛/待确认,-0.061235955056179736,0.7101063829787235,0.05236640740624132,,,,-0.02394859813084116,15.75,15.26,0.06095238095238109,0.0950196592398429,True,1,2026-08-25,沪深主板10%,25,9.993155373032181,2,2,1,1,1,1,8,True,,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停；通过后再按方向/非极端波动/不过热排序,1,True,,,408,1,入选：满足一级粗筛资格条件；本阶段不设置数量下限或上限
000592,平潭发展,7.92,-0.022222222222222143,0.0025316455696202667,0.13629842180774743,0.16129032258064502,,,,0.1668928086838534,-0.07906976744186045,0.3447712418300654,0.48406824130103443,386558648.2,298015467.1,1.297109347919479,0.2411154141624418,0.15561414137245128,1.5494441060170063,False,0.01288204091942391,0.0417567567567565,True,3,2,部分收敛/待确认,-0.07906976744186045,0.7562724014336919,0.12133654254566029,,,,-0.06493506493506507,7.37,6.68,0.07462686567164178,0.18562874251497008,True,2,2026-09-04,沪深主板10%,25,10.016155088852985,2,2,1,1,1,1,8,True,,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停；通过后再按方向/非极端波动/不过热排序,1,True,,,408,1,入选：满足一级粗筛资格条件；本阶段不设置数量下限或上限
000628,高新发展,52.92,0.015738963531669814,-0.0052631578947368585,0.06243726159405738,0.2196358607974187,,,,0.12342079689018452,-0.0871140244954286,0.26351351351351343,0.46836610101916193,12544861.4,13819586.5,0.9077595339050123,0.0790987563708919,0.07188768321406443,1.100310273393491,True,-3.670398238198036e-05,0.02494081999810649,True,3,3,收敛较充分,-0.0871140244954286,0.7452068617558024,0.053742458334163024,,,,-0.0793319415448851,51.45,49.36,0.02857142857142847,0.07212317666126422,True,1,2026-08-21,沪深主板10%,12,9.99272374484599,2,2,1,1,1,1,8,True,,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停；通过后再按方向/非极端波动/不过热排序,1,True,,,408,1,入选：满足一级粗筛资格条件；本阶段不设置数量下限或上限
000635,英 力 特,7.23,-0.020325203252032464,-0.04617414248021101,0.0013850415512466352,0.13145539906103298,,,,0.07865168539325837,-0.14437869822485194,0.36290322580645146,0.21672908863920093,16705609.6,21370259.8,0.7817223448074319,0.0529512124285019,0.05825819344503456,0.9089058430632647,True,-0.020375760783275854,0.02081066376496188,False,3,2,部分收敛/待确认,-0.14437869822485194,0.4601769911504427,0.03256212510711243,,,,-0.04993429697766094,7.12,7.06,0.015449438202247201,0.024079320113314484,True,2,2026-09-02,沪深主板10%,25,10.060975609756095,2,2,1,1,1,1,8,True,,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停；通过后再按方向/非极端波动/不过热排序,1,True,,,408,1,入选：满足一级粗筛资格条件；本阶段不设置数量下限或上限
001210,金房能源,28.65,-0.013429752066115741,-0.059113300492610876,-0.005898681471200651,0.027987082884822323,,,,0.16529850746268654,-0.08495688278505276,0.17662532882375045,0.9358709114004445,7515566.0,9078769.6,0.8278176813739166,,0.062170702368009936,,True,-0.013843249667901847,-0.00619334302124408,False,3,2,部分收敛/待确认,-0.08495688278505276,0.7326633165829145,0.008394488147404955,,,,-0.07848182695400452,26.8,26.8,0.06902985074626855,0.06902985074626855,True,1,2026-08-20,沪深主板10%,12,10.018484288354902,2,2,1,1,1,1,8,True,,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停；通过后再按方向/非极端波动/不过热排序,1,True,,,408,1,入选：满足一级粗筛资格条件；本阶段不设置数量下限或上限
002015,协鑫能科,17.15,0.014792899408283988,0.013593380614657091,-0.01549942594718734,0.1580013504388924,,,,0.08519900497512445,-0.039753639417693165,0.15898767034393246,0.5358843537414972,112791809.8,139700230.3,0.8073845659222223,,0.0891802729864984,,True,-0.00918836140888224,0.007309246493938604,True,3,3,收敛较充分,-0.039753639417693165,0.8268292682926827,0.051212111924974435,,,,-0.007523148148148251,16.08,16.08,0.066542288557214,0.066542288557214,True,2,2026-09-01,沪深主板10%,25,10.035335689045933,2,2,1,1,1,1,8,True,,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停；通过后再按方向/非极端波动/不过热排序,1,True,,,408,1,入选：满足一级粗筛资格条件；本阶段不设置数量下限或上限
002046,国机精工,59.28,-0.01200000000000001,0.09696521095484822,0.14484356894553874,0.13824884792626735,,,,0.13703430468461822,-0.0384428223844282,0.1635220125786163,0.8380174786482425,19082046.8,10614082.9,1.7978045752780016,0.04204175370481985,0.02002446093125175,2.099519874675187,False,0.07271140841998114,0.035582547784939855,True,3,2,部分收敛/待确认,-0.0384428223844282,0.8535228677379483,0.12113475177304966,,,,-0.026441123337165418,54.22,50.21,0.09332349686462571,0.18064130651264687,True,1,2026-09-09,沪深主板10%,25,9.992598075499636,2,2,1,1,1,1,8,True,,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停；通过后再按方向/非极端波动/不过热排序,1,True,,,408,1,入选：满足一级粗筛资格条件；本阶段不设置数量下限或上限
002155,湖南黄金,26.57,-0.014100185528756914,0.027455529775715526,0.004536862003780673,0.03385214007782111,,,,0.1289062499999999,-0.10054163845633035,0.2206611570247934,0.5841818820224715,88412179.2,81479007.5,1.085091509000033,,0.054424028762382774,,False,0.017772861356932124,-0.005809891524177324,True,3,2,部分收敛/待确认,-0.10054163845633035,0.5645161290322582,0.002792874396135403,,,,-0.06608084358523725,25.6,24.99,0.037890624999999956,0.0632252901160466,True,2,2026-09-09,沪深主板10%,25,10.016286644951133,2,2,1,1,1,1,8,True,,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停；通过后再按方向/非极端波动/不过热排序,1,True,,,408,1,入选：满足一级粗筛资格条件；本阶段不设置数量下限或上限
002174,游族网络,13.52,0.002223869532987255,0.07386814932486097,0.15852613538988858,0.027355623100303816,,,,0.1393643031784842,-0.03290414878397718,0.11749116607773852,1.1861683548725122,64095470.8,28897490.5,2.2180289599887573,0.0629933994523177,0.02950954677015884,2.134678649691055,False,0.05775027764556562,0.04219133278822551,True,3,1,结构未成熟,-0.03290414878397718,0.8270676691729321,0.09159904727302082,,,,-0.008797653958944385,12.27,11.32,0.10187449062754683,0.19434628975265,True,1,2026-08-13,沪深主板10%,12,10.032894736842103,2,2,1,1,1,1,8,True,,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停；通过后再按方向/非极端波动/不过热排序,1,True,,,408,1,入选：满足一级粗筛资格条件；本阶段不设置数量下限或上限
002194,武汉凡谷,10.81,-0.023486901535682003,-0.02436823104693142,0.07455268389662018,0.051556420233463074,,,,0.1273584905660377,-0.0953974895397488,0.1306122448979591,0.9750884433962267,84728648.0,26713109.9,3.171800225326816,0.13725864410208038,0.05190567926005222,2.6443858563992966,False,0.04223484848484871,0.029677043933663105,True,3,2,部分收敛/待确认,-0.0953974895397488,0.5043478260869568,0.0447472697400213,,,,-0.053415061295971955,10.6,9.8,0.019811320754717032,0.10306122448979593,True,1,2026-09-08,沪深主板10%,25,10.029791459781535,2,2,1,1,1,1,8,True,,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停；通过后再按方向/非极端波动/不过热排序,1,True,,,408,1,入选：满足一级粗筛资格条件；本阶段不设置数量下限或上限
