股票代码,股票名称,最新收盘,ret1,ret5,ret10,ret20,ret40,ret60,ret120,amp5,距20日高点,前10日区间振幅,振幅收敛比,近5日平均成交量,前10日平均成交量,成交量收敛比,近5日平均换手率,前10日平均换手率,换手率收敛比,流动性收敛证据,MA5_3日斜率,MA10_3日斜率,短期下行停止证据,整理证据可用项,整理收敛支持项,整理成熟度状态,距250日高点,250日位置,MA20距离,MA30_5日斜率,MA60_10日斜率,MA120_20日斜率,距稳健5日上沿,近5日低点,近10日低点,距近5日低点,距近10日低点,最近25日曾涨停,25日内涨停次数,最近涨停日期,涨停板规则,涨停核验交易日数,25日最大单日涨幅,基础整理条件,振幅收敛,成交量收敛,换手率收敛,流动性收敛,短期下行停止,整理成熟,中期趋势仍活,均线趋势辅助,稳健上沿核心区,稳健上沿宽区,适度重新加速,整理成熟贡献,振幅收敛贡献,流动性收敛贡献,短期止跌贡献,40日趋势贡献,均线趋势辅助贡献,稳健上沿贡献,重新加速辅助贡献,阶段2分,阶段2通过,阶段2风险提示,阶段2规则说明,阶段排名,本阶段入选,阶段软容量下限,阶段软容量上限,实际入选数,边界分数,决策说明
001210,金房能源,29.2,0.032531824611032434,0.07313487688349873,0.03766879886282859,0.01919720767888311,0.6647662485746866,0.2253462022660513,,0.09259259259259259,-0.0673906100287448,0.16828358208955216,0.5502176233883553,4655447.2,9338957.7,0.49849751434252676,0.0303049959019978,0.06679430080881514,0.4537063122906186,True,0.017227933356965597,-0.005744525293319036,True,3,3,收敛较充分,-0.0673906100287448,0.8817264573991033,0.027156324750245986,0.05353637728199945,0.038295902169439566,,0.0,27.0,26.8,0.08148148148148149,0.08955223880597019,True,1,2026-08-20,沪深主板10%,4,10.018484288354902,True,True,True,True,True,True,True,True,True,True,True,True,3,1,1,1,3,1,4,1,15,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,1,True,,,201,8,入选：满足二级结构筛选资格条件；本阶段不设置数量下限或上限
001309,德明利,413.09,0.040712468193384144,0.025724430760062367,0.05568617429082545,-0.004890152245134005,0.033009077496311434,-0.5656256572029443,,0.09409448818897644,-0.0784383714445065,0.13999999999999999,0.6721034870641175,10176403.8,11244567.7,0.9050062280295579,0.06351595244346789,0.0680854421155537,0.9328859513854586,True,-0.00977305948146412,0.000428793083790735,True,3,3,收敛较充分,-0.5784795918367347,0.1224303405572755,0.014089831729677371,0.0076627437677943,-0.10198462505548056,,0.013444223645150855,381.0,381.0,0.08422572178477683,0.08422572178477683,True,1,2026-08-27,沪深主板10%,18,10.000255957408676,True,True,True,True,True,True,True,True,True,True,True,True,3,1,1,1,3,1,4,1,15,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,1,True,,,201,8,入选：满足二级结构筛选资格条件；本阶段不设置数量下限或上限
300363,博腾股份,22.79,0.03262347077480743,0.11497064579256344,0.15861718352821552,0.041114664230242015,0.4543714103382259,0.4085290482076638,,0.1751243781094527,-0.03513971210838285,0.19892473118279563,0.8803549818475193,20563448.2,22754484.1,0.9037097088041648,0.039800426228883454,0.04561329629969549,0.8725619382423182,True,0.03503305004721424,0.04509842326902347,True,3,3,收敛较充分,-0.06903594771241839,0.8496441281138789,0.10797802518352873,0.03477633240924538,0.06069860483249645,,0.022890484739676698,20.1,18.95,0.13383084577114412,0.20263852242744074,True,1,2026-08-20,创业板20%,10,20.000000000000018,True,True,True,True,True,True,True,True,True,True,True,True,3,1,1,1,3,1,4,1,15,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,1,True,,,201,8,入选：满足二级结构筛选资格条件；本阶段不设置数量下限或上限
300839,博汇股份,12.92,0.02215189873417711,0.03194888178913735,0.02215189873417711,0.03608660785886131,0.2997987927565393,0.08117154811715488,,0.05519480519480517,-0.09014084507042253,0.12733171127331713,0.43347257837703673,9002661.6,17468017.4,0.5153797018773293,0.03041946632384375,0.06195411379230336,0.49099994272894915,True,-0.009073842302878554,0.0028784814065658804,True,3,3,收敛较充分,-0.3770491803278688,0.3152364273204904,0.0019387359441644936,0.026857478925700784,-0.012910365178900873,,-0.0015455950540957941,12.32,12.32,0.04870129870129869,0.04870129870129869,True,1,2026-08-21,创业板20%,15,20.019249278152063,True,True,True,True,True,True,True,True,True,True,True,True,3,1,1,1,3,1,4,1,15,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,1,True,,,201,8,入选：满足二级结构筛选资格条件；本阶段不设置数量下限或上限
300841,康华生物,51.55,0.025870646766169125,0.05939169749280726,0.011974872398900605,-0.0876106194690266,0.2027531497900139,0.17828571428571416,,0.083108248493663,-0.10627600554785022,0.10651629072681691,0.7802397917405076,2209816.2,2870139.3,0.7699334314540065,0.017873555667138802,0.02360790799883794,0.7571003609476366,True,0.010056542810985336,-0.002446738676374016,True,3,3,收敛较充分,-0.1689505078187974,0.4685598377281945,0.0030256155814338825,0.010769109762332363,0.014343525179856265,,0.024647187437885076,48.13,47.88,0.07105755246208179,0.07664995822890552,True,1,2026-08-20,创业板20%,10,19.99602069239954,True,True,True,True,True,True,True,True,True,True,True,True,3,1,1,1,3,1,4,1,15,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,1,True,,,201,8,入选：满足二级结构筛选资格条件；本阶段不设置数量下限或上限
301129,瑞纳智能,23.43,0.02898550724637672,0.02673093777388247,0.003426124197002167,-0.0829745596868885,0.2768392370572206,0.11571428571428566,,0.06678700361010832,-0.05714285714285716,0.08180599016540001,0.816407251780396,1555060.0,2639686.5,0.5891078353433258,0.024725258438623075,0.03912240542443211,0.6319973981758812,True,-0.001308443824145078,-0.0059051724137930695,True,3,3,收敛较充分,-0.2103134479271992,0.4951456310679611,0.002803398317960948,0.013450908513616966,0.0025438623539204563,,0.015604681404421283,22.16,22.16,0.05731046931407935,0.05731046931407935,True,1,2026-08-18,创业板20%,18,19.999999999999996,True,True,True,True,True,True,True,True,True,True,True,True,3,1,1,1,3,1,4,1,15,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,1,True,,,201,8,入选：满足二级结构筛选资格条件；本阶段不设置数量下限或上限
301489,思泉新材,128.39,0.04018472008425822,0.06982751437380208,-0.01992366412213753,0.219857482185273,0.20542672049572785,-0.24618365429779243,,0.12939130434782606,-0.09271429580948343,0.25730786317192356,0.5028657218352149,5671856.8,8907651.8,0.636739842031095,0.0825317037680829,0.12801887912503176,0.6446838492272452,True,0.0060195393603836855,-0.007705913061094138,True,3,3,收敛较充分,-0.38190833814750635,0.36224776911327267,0.03356947351473205,0.045120887319682446,-0.04449010806145459,,0.003125244159699836,115.0,114.0,0.11643478260869555,0.12622807017543858,True,1,2026-09-03,创业板20%,18,19.999999999999996,True,True,True,True,True,True,True,True,True,True,True,True,3,1,1,1,3,1,4,1,15,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,1,True,,,201,8,入选：满足二级结构筛选资格条件；本阶段不设置数量下限或上限
603297,永新光学,113.01,0.029610058309037957,0.10060381768601467,0.050767085076708574,0.05745298025638634,0.2519109338650716,-0.1796602787456445,,0.13243002670359016,-0.05762174783188789,0.20522613065326634,0.6452883279631352,1050310.0,1686031.7,0.6229479552490027,0.009473232420384475,0.016338732320591402,0.579802167910269,True,0.0422828140204925,0.0031704465747020016,True,3,3,收敛较充分,-0.2607444233662589,0.40033097638032195,0.045014887832664385,0.01634401526200735,-0.02709871718656187,,0.0018617021276596812,101.11,99.5,0.11769360102858273,0.1357788944723619,True,1,2026-08-31,沪深主板10%,18,9.997151808601545,True,True,True,True,True,True,True,True,True,True,True,True,3,1,1,1,3,1,4,1,15,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,1,True,,,201,8,入选：满足二级结构筛选资格条件；本阶段不设置数量下限或上限
688003,天准科技,83.7,0.030788177339901468,0.1021859362654729,0.11585121983735491,-0.015294117647058791,0.1281843914274161,-0.3456848030018762,,0.14867617107942957,-0.043319236484169577,0.1597222222222222,0.9308421145842548,3870281.0,4325105.0,0.894840934497544,0.01843364209716035,0.022204813500625958,0.8301642387872658,True,0.03309873521011841,0.02273017821073342,True,3,3,收敛较充分,-0.39347826086956517,0.3330057732465299,0.04445484323818438,0.016003640796967256,-0.06603600854440028,,0.0072202166064982976,73.65,72.0,0.13645621181262735,0.1625000000000001,True,1,2026-08-17,科创板20%,18,19.999999999999996,True,True,True,True,True,True,True,True,True,True,True,True,3,1,1,1,3,1,4,1,15,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,1,True,,,201,8,入选：满足二级结构筛选资格条件；本阶段不设置数量下限或上限
000670,盈方微,7.87,0.030104712041884918,0.0678426051560379,0.1275071633237821,0.10689170182841057,0.24132492113564674,0.03552631578947385,,0.10709318497913763,-0.011306532663316604,0.11661807580174924,0.9183240611961054,79259796.8,44024740.2,1.8003467241358075,0.09723807395107262,0.053903351549023225,1.8039337287336943,False,0.0464607816343261,0.027124273456961223,True,3,2,部分收敛/待确认,-0.24108003857280613,0.5291902071563089,0.08469436978843636,0.019009975531714574,-0.023870816756377256,,-0.011306532663316604,7.19,6.95,0.09457579972183594,0.13237410071942435,True,1,2026-08-17,沪深主板10%,4,10.072992700729944,True,True,False,False,False,True,True,True,True,True,True,True,3,1,0,1,3,1,4,1,14,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,10,True,,,201,8,入选：满足二级结构筛选资格条件；本阶段不设置数量下限或上限
