股票代码,股票名称,状态,交易日数,前复权源,未复权源,缓存模式,未复权匹配日,错误
000565,渝三峡Ａ,成功,120,global-cache,global-cache,local-cache,114,
001210,金房能源,成功,120,global-cache,global-cache,local-cache,103,
002194,武汉凡谷,成功,120,global-cache,global-cache,local-cache,114,
002349,精华制药,成功,120,global-cache,global-cache,local-cache,114,
002708,光洋股份,成功,120,global-cache,global-cache,local-cache,114,
002916,深南电路,成功,120,global-cache,global-cache,local-cache,114,
002963,豪尔赛,成功,120,global-cache,global-cache,local-cache,114,
300368,汇金股份,成功,120,global-cache,global-cache,local-cache,114,
301151,冠龙节能,成功,120,global-cache,global-cache,local-cache,114,
600121,郑州煤电,成功,120,global-cache,global-cache,local-cache,114,
600367,红星发展,成功,120,global-cache,global-cache,local-cache,106,
600857,宁波中百,成功,120,global-cache,global-cache,local-cache,114,
603105,芯能科技,成功,120,global-cache,global-cache,local-cache,114,
603228,景旺电子,成功,120,global-cache,global-cache,local-cache,114,
603618,杭电股份,成功,120,global-cache,global-cache,local-cache,114,
603978,深圳新星,成功,120,global-cache,global-cache,local-cache,114,
605488,福莱新材,成功,120,global-cache,global-cache,local-cache,114,
000962,东方钽业,成功,120,global-cache,global-cache,local-cache,114,
002185,华天科技,成功,120,global-cache,global-cache,local-cache,120,
002396,星网锐捷,成功,120,global-cache,global-cache,local-cache,114,
002870,香山股份,成功,120,global-cache,global-cache,local-cache,116,
300684,中石科技,成功,120,global-cache,global-cache,local-cache,114,
600110,诺德股份,成功,120,global-cache,global-cache,local-cache,114,
600371,万向德农,成功,120,global-cache,global-cache,local-cache,114,
601869,长飞光纤,成功,120,global-cache,global-cache,local-cache,114,
603083,剑桥科技,成功,120,global-cache,global-cache,local-cache,114,
603236,移远通信,成功,120,global-cache,global-cache,local-cache,114,
603989,艾华集团,成功,120,global-cache,global-cache,local-cache,114,
605258,协和电子,成功,120,global-cache,global-cache,local-cache,114,
688368,晶丰明源半导体,成功,120,global-cache,global-cache,local-cache,114,
000062,深圳华强,成功,120,global-cache,global-cache,local-cache,114,
000626,远大控股,成功,120,global-cache,global-cache,local-cache,112,
000735,罗 牛 山,成功,120,global-cache,global-cache,local-cache,102,
000930,中粮科技,成功,120,global-cache,global-cache,local-cache,114,
001330,博纳影业,成功,120,global-cache,global-cache,local-cache,114,
002041,登海种业,成功,120,global-cache,global-cache,local-cache,112,
002172,澳洋健康,成功,120,global-cache,global-cache,local-cache,114,
002445,中南文化,成功,120,global-cache,global-cache,local-cache,106,
002655,共达电声,成功,120,global-cache,global-cache,local-cache,112,
002942,新农股份,成功,120,global-cache,global-cache,local-cache,114,
300992,泰福泵业,成功,120,global-cache,global-cache,local-cache,120,
301626,苏州天脉,成功,120,global-cache,global-cache,local-cache,114,
600313,农发种业,成功,120,global-cache,global-cache,local-cache,114,
600508,上海能源,成功,120,global-cache,global-cache,local-cache,114,
600630,龙头股份,成功,120,global-cache,global-cache,local-cache,120,
600792,云煤能源,成功,120,global-cache,global-cache,local-cache,114,
600969,郴电国际,成功,120,global-cache,global-cache,local-cache,114,
603009,北特科技,成功,120,global-cache,global-cache,local-cache,114,
603151,邦基科技股份,成功,120,global-cache,global-cache,local-cache,114,
603657,春光科技,成功,120,global-cache,global-cache,local-cache,114,
603900,莱绅通灵,成功,120,global-cache,global-cache,local-cache,114,
605577,龙版传媒,成功,120,global-cache,global-cache,local-cache,108,
000504,南华生物,成功,120,global-cache,global-cache,local-cache,120,
002285,世联行,成功,120,global-cache,global-cache,local-cache,114,
002631,德尔未来,成功,120,global-cache,global-cache,local-cache,114,
300189,神农种业,成功,120,global-cache,global-cache,local-cache,114,
301583,托伦斯,成功,51,sina,sina,deep-backfill,51,
600353,旭光电子,成功,120,global-cache,global-cache,local-cache,114,
601086,国芳集团,成功,120,global-cache,global-cache,local-cache,114,
601579,会稽山,成功,120,global-cache,global-cache,local-cache,114,
603186,华正新材,成功,120,global-cache,global-cache,local-cache,114,
603626,科森科技,成功,120,global-cache,global-cache,local-cache,114,
605188,国光连锁,成功,120,global-cache,global-cache,local-cache,114,
688292,浩瀚深度信息技术,成功,120,global-cache,global-cache,local-cache,120,
000007,全新好,成功,120,global-cache,global-cache,local-cache,103,
000523,红棉股份,成功,120,global-cache,global-cache,local-cache,114,
000833,粤桂股份,成功,120,global-cache,global-cache,local-cache,114,
001277,速达股份,成功,120,global-cache,global-cache,local-cache,114,
002165,红 宝 丽,成功,120,global-cache,global-cache,local-cache,105,
002448,中原内配,成功,120,global-cache,global-cache,local-cache,114,
002790,瑞尔特,成功,120,global-cache,global-cache,local-cache,114,
300122,智飞生物,成功,120,global-cache,global-cache,local-cache,105,
300765,石药创新,成功,120,global-cache,global-cache,local-cache,114,
301177,迪阿股份,成功,120,global-cache,global-cache,local-cache,106,
600610,中毅达,成功,120,global-cache,global-cache,local-cache,114,
600815,厦工股份,成功,120,global-cache,global-cache,local-cache,114,
603095,越剑智能,成功,120,global-cache,global-cache,local-cache,106,
603358,华达科技,成功,120,global-cache,global-cache,local-cache,114,
603801,志邦家居,成功,120,global-cache,global-cache,local-cache,105,
688185,康希诺生物,成功,120,global-cache,global-cache,local-cache,106,
002716,湖南白银,成功,120,global-cache,global-cache,local-cache,114,
600272,开开实业,成功,120,global-cache,global-cache,local-cache,106,
603958,哈森股份,成功,120,global-cache,global-cache,local-cache,114,
603216,梦天家居,成功,120,global-cache,global-cache,local-cache,114,
