股票代码,股票名称,最新收盘,ret1,ret5,ret10,ret20,ret40,ret60,ret120,amp5,距20日高点,前10日区间振幅,振幅收敛比,近5日平均成交量,前10日平均成交量,成交量收敛比,近5日平均换手率,前10日平均换手率,换手率收敛比,流动性收敛证据,MA5_3日斜率,MA10_3日斜率,短期下行停止证据,整理证据可用项,整理收敛支持项,整理成熟度状态,距250日高点,250日位置,MA20距离,MA25,MA25距离,MA25_1日斜率,MA30_5日斜率,MA60_10日斜率,MA120_20日斜率,距稳健5日上沿,近5日低点,近10日低点,距近5日低点,距近10日低点,最近25日曾涨停,25日内涨停次数,最近涨停日期,涨停板规则,涨停核验交易日数,25日最大单日涨幅,基础整理条件,振幅收敛,成交量收敛,换手率收敛,流动性收敛,短期下行停止,整理成熟,中期趋势仍活,均线趋势辅助,稳健上沿核心区,稳健上沿宽区,适度重新加速,整理成熟贡献,振幅收敛贡献,流动性收敛贡献,短期止跌贡献,40日趋势贡献,均线趋势辅助贡献,稳健上沿贡献,重新加速辅助贡献,阶段2分,阶段2通过,阶段2风险提示,阶段2规则说明,阶段排名,本阶段入选,阶段软容量下限,阶段软容量上限,实际入选数,边界分数,决策说明
000620,盈新发展,3.27,0.021874999999999867,0.05483870967741944,0.08278145695364247,-0.057636887608069176,0.19780219780219777,0.028301886792452713,,0.09539473684210527,-0.10164835164835162,0.15254237288135583,0.6253654970760238,305572457.8,295981159.4,1.0324050977415018,0.06396397657137304,0.06647159722253931,0.9622753062067841,True,0.014030612244897878,0.019519999999999982,True,3,3,收敛较充分,-0.1742424242424242,0.5174825174825176,0.020440006241223108,3.2364000000000006,0.010381905821282622,0.0021055239038889617,0.022179363548698205,0.008127878623679363,,0.01238390092879249,3.04,3.0,0.07565789473684204,0.09000000000000008,True,2,2026-08-24,沪深主板10%,6,10.158730158730167,True,True,False,True,True,True,True,True,True,True,True,True,3,1,1,1,3,1,4,1,15,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,1,True,,,119,8,入选：满足二级结构筛选资格条件；本阶段不设置数量下限或上限
001210,金房能源,30.16,0.03287671232876721,0.038567493112947604,0.0661010957935666,0.14155942467827387,0.6681415929203542,0.3434298440979955,,0.12228163992869874,-0.041931385006353294,0.16828358208955216,0.7266403437004718,4669024.4,9338609.6,0.49996997411691785,0.0303049959019978,0.06848457382565237,0.4425083520143979,True,0.02509570395576355,0.006266190576209585,True,3,3,收敛较充分,-0.041931385006353294,0.9267073847862298,0.05399266119168278,28.482000000000003,0.05891440207850551,0.006160889655075108,0.04891723937173298,0.04074964100460088,,0.026548672566371723,28.05,26.8,0.07522281639928696,0.12537313432835817,True,1,2026-08-20,沪深主板10%,3,10.018484288354902,True,True,True,True,True,True,True,True,True,True,True,True,3,1,1,1,3,1,4,1,15,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,1,True,,,119,8,入选：满足二级结构筛选资格条件；本阶段不设置数量下限或上限
002886,沃特股份,26.95,0.02083333333333326,0.06353591160220984,0.016214177978883804,0.31591796875,0.49307479224376727,0.020060560181680342,,0.11480000000000004,-0.1261348897535668,0.29308176100628924,0.39169957081545087,38514880.8,53177349.9,0.7242722864608189,0.18828394245895516,0.2656457196234674,0.7087783786835841,True,0.022952329776617653,0.0004987148501938155,True,3,3,收敛较充分,-0.22446043165467633,0.5948051948051948,0.03337870741386895,24.8988,0.08238148023197889,0.009978582554517335,0.05489155783582089,-0.03185452762576346,,-0.0062684365781711104,25.0,23.85,0.07800000000000007,0.12997903563941282,True,5,2026-09-02,沪深主板10%,17,10.000000000000009,True,True,True,True,True,True,True,True,True,True,True,True,3,1,1,1,3,1,4,1,15,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,1,True,,,119,8,入选：满足二级结构筛选资格条件；本阶段不设置数量下限或上限
002975,博杰股份,107.53,0.025462521457181087,0.08070351758793981,0.02869989476705248,-0.012398971344599552,0.22193181818181817,-0.22079710144927533,,0.12465739518830576,-0.056754385964912224,0.1918103448275862,0.6498992288468975,10881732.4,13037607.6,0.8346418095908946,0.07926427943521218,0.09745599826743587,0.8133340260667946,True,0.0424069226003716,0.015187125301252546,True,3,3,收敛较充分,-0.31930113312654296,0.5187941232589202,0.05054393223683884,102.06280000000001,0.05356701952131426,0.0005960667437894251,0.02282641131127816,-0.06433531123718894,,0.0049532710280373315,98.51,92.8,0.09156430819206163,0.1587284482758622,True,1,2026-09-07,沪深主板10%,17,9.996843102178254,True,True,True,True,True,True,True,True,True,True,True,True,3,1,1,1,3,1,4,1,15,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,1,True,,,119,8,入选：满足二级结构筛选资格条件；本阶段不设置数量下限或上限
002988,豪美新材,32.1,0.020019065776930578,0.04970568999345981,0.1157455683003128,0.3498738435660218,0.6212121212121213,0.4524886877828054,,0.09118644067796602,-0.002795899347623365,0.39956521739130424,0.22821416056509458,6140438.0,10281766.2,0.5972162642640133,0.025638639826562573,0.04339049517258395,0.5908814758759012,True,0.019710220597833228,0.052904458164205304,True,3,3,收敛较充分,-0.16946959896507108,0.6800195407914021,0.1522101975986645,26.926000000000002,0.19215628017529518,0.014055014913681552,0.06937995083310589,0.051760576528135704,,0.00031162355874103653,29.5,28.83,0.08813559322033893,0.11342351716961518,True,1,2026-08-21,沪深主板10%,6,9.990875912408747,True,True,True,True,True,True,True,True,True,True,True,True,3,1,1,1,3,1,4,1,15,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,1,True,,,119,8,入选：满足二级结构筛选资格条件；本阶段不设置数量下限或上限
300839,博汇股份,13.26,0.026315789473684292,0.0642054574638844,0.005307050796057533,-0.06090651558073645,0.3194029850746267,0.14113597246127374,,0.08016194331983807,-0.058238636363636354,0.12824675324675325,0.6250602162660791,8725341.6,16540796.6,0.5275043162068748,0.03041946632384375,0.06094576920267902,0.49912351130858457,True,0.016320709871652683,0.001864222463880516,True,3,3,收敛较充分,-0.360655737704918,0.3450087565674256,0.031746031746031855,12.613999999999999,0.05121293800539095,0.0077977693266433334,0.028104283883906067,-0.008473612374886197,,0.02472952086553315,12.35,12.32,0.0736842105263158,0.07629870129870131,True,1,2026-08-21,创业板20%,14,20.019249278152063,True,True,True,True,True,True,True,True,True,True,True,True,3,1,1,1,3,1,4,1,15,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,1,True,,,119,8,入选：满足二级结构筛选资格条件；本阶段不设置数量下限或上限
603150,万朗磁塑,70.37,0.02059463379260329,0.03424456202233972,0.012663692617642885,0.33074886535552195,0.39678443826915455,-0.01054555680539937,,0.0831818181818181,-0.03774100916176659,0.3798113207547169,0.21900826446280977,2357759.2,4065048.0,0.5800077145460522,0.027876876104020624,0.04816731591856467,0.578750872295882,True,-0.005349449151316965,0.012353620561102785,True,3,3,收敛较充分,-0.13465322183964568,0.7063555913113437,0.11230538212281682,61.196400000000004,0.14990424273323266,0.010154965566875784,0.05302507341843232,-0.022836531703504637,,-0.004385964912280715,66.0,65.56,0.06621212121212139,0.07336790726052467,True,1,2026-09-03,沪深主板10%,17,9.999999999999986,True,True,True,True,True,True,True,True,True,True,True,True,3,1,1,1,3,1,4,1,15,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,1,True,,,119,8,入选：满足二级结构筛选资格条件；本阶段不设置数量下限或上限
000520,凤凰航运,4.3,0.04878048780487809,0.018957345971563955,-0.022727272727272818,0.009389671361502261,0.11111111111111094,0.17808219178082196,,0.09343434343434347,-0.07526881720430123,0.11510791366906485,0.8117108585858581,33553100.0,72074737.0,0.465532049045146,0.03151852235347525,0.07136021282948447,0.44168201163845866,True,-0.012949640287769904,-0.016949152542372947,False,3,2,部分收敛/待确认,-0.14,0.5906432748538011,0.010457055575138208,4.25,0.0117647058823529,0.000753508524065083,0.007108626198083057,0.002038154247513413,,0.014150943396226356,3.96,3.96,0.08585858585858586,0.08585858585858586,True,1,2026-08-20,沪深主板10%,4,9.975062344139651,True,True,True,True,True,False,True,True,True,True,True,True,3,1,1,0,3,1,4,1,14,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,8,True,,,119,8,入选：满足二级结构筛选资格条件；本阶段不设置数量下限或上限
000565,渝三峡Ａ,6.82,0.027108433734939874,-0.015873015873015817,0.05736434108527133,0.1500843170320405,0.2606284658040665,0.19859402460456943,,0.08962264150943386,-0.1378002528445006,0.2615629984051038,0.3426426599171647,22680010.0,27489754.0,0.8250350294149594,0.055449345354951225,0.058322578604692935,0.9507354901226793,True,-0.05514496873223407,0.013972643035740306,False,3,2,部分收敛/待确认,-0.22146118721461183,0.4826666666666668,0.03192616129520354,6.4928,0.050394282897979314,0.00507739938080487,0.019618239660657233,0.022717036369778176,,-0.015873015873015817,6.36,6.36,0.07232704402515733,0.07232704402515733,True,2,2026-09-09,沪深主板10%,17,9.966777408637872,True,True,True,True,True,False,True,True,True,True,True,True,3,1,1,0,3,1,4,1,14,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,8,True,,,119,8,入选：满足二级结构筛选资格条件；本阶段不设置数量下限或上限
000626,远大控股,9.1,0.02824858757062154,0.03526734926052333,-0.07707910750507097,0.12903225806451601,0.3481481481481481,0.4218749999999998,,0.07311320754716971,-0.13333333333333341,0.20967741935483875,0.34869375907111705,16219533.8,31525540.2,0.5144886874928157,0.03419280204982153,0.06251188154027529,0.5469808491973117,True,-0.007007233273055968,-0.016167277430480742,False,3,2,部分收敛/待确认,-0.13333333333333341,0.6949891067538125,0.004692243996687662,8.8608,0.02699530516431925,0.005446623093681824,0.025131754896562608,0.05134685884737111,,0.009988901220865598,8.48,8.48,0.07311320754716966,0.07311320754716966,True,1,2026-08-28,沪深主板10%,16,10.058479532163744,True,True,True,True,True,False,True,True,True,True,True,True,3,1,1,0,3,1,4,1,14,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,8,True,,,119,8,入选：满足二级结构筛选资格条件；本阶段不设置数量下限或上限
000635,英 力 特,7.44,0.020576131687242816,0.008130081300813163,0.006765899864682012,0.17535545023696697,0.22570016474464571,0.18095238095238098,,0.05485232067510544,-0.11952662721893481,0.1968838526912181,0.2786024345080895,10228296.8,26766135.2,0.38213573695166875,0.027518256401938702,0.07647298512720839,0.35984284327548705,True,-0.010583446404341945,-0.008594064724049999,False,3,2,部分收敛/待确认,-0.1886586695747,0.5154061624649862,0.03534650709713327,7.0264,0.0588637139929411,0.005840586349060706,0.022056295131895665,0.017412805830296696,,0.0013458950201885589,7.11,7.11,0.04641350210970474,0.04641350210970474,True,2,2026-09-02,沪深主板10%,17,10.060975609756095,True,True,True,True,True,False,True,True,True,True,True,True,3,1,1,0,3,1,4,1,14,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,8,True,,,119,8,入选：满足二级结构筛选资格条件；本阶段不设置数量下限或上限
000798,中水渔业,10.4,0.024630541871921263,0.012658227848101333,-0.06726457399103136,0.1954022988505748,0.36304062909567514,0.47100424328147095,,0.07048008171603691,-0.19814957594448734,0.4174863387978142,0.1688200910213973,30313363.8,51515781.7,0.5884286872812803,0.08739684167733505,0.14354465453153845,0.6088477621305846,True,-0.029002098836099832,0.003454392680422025,False,3,2,部分收敛/待确认,-0.19814957594448734,0.5834683954619125,0.017065180186788043,9.912799999999999,0.0491485755790495,0.007972016594809839,0.03630575526701718,0.06875823451910401,,-0.006685768863419317,9.79,9.79,0.06230847803881523,0.06230847803881523,True,4,2026-09-09,沪深主板10%,17,10.000000000000009,True,True,True,True,True,False,True,True,True,True,True,True,3,1,1,0,3,1,4,1,14,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,8,True,,,119,8,入选：满足二级结构筛选资格条件；本阶段不设置数量下限或上限
000930,中粮科技,5.41,0.046421663442940186,0.022684310018903586,0.020754716981132182,0.13179916317991625,0.194260485651214,0.2494226327944573,,0.1034482758620691,-0.2326241134751773,0.4358452138492871,0.2373509506928782,92571149.2,100245884.4,0.9234408948962297,0.05053374942970713,0.050940625481541955,0.9920127393806294,True,-0.06799276672694388,0.007053716766142193,False,3,2,部分收敛/待确认,-0.23695345557122705,0.41666666666666674,0.018065487391795365,5.224,0.03560490045941811,0.004615384615384688,0.013128528291978414,0.0334586999716151,,0.026565464895635715,4.93,4.93,0.0973630831643002,0.0973630831643002,True,2,2026-09-09,沪深主板10%,17,10.000000000000009,True,True,True,True,True,False,True,True,True,True,True,True,3,1,1,0,3,1,4,1,14,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,8,True,,,119,8,入选：满足二级结构筛选资格条件；本阶段不设置数量下限或上限
002194,武汉凡谷,11.18,0.016363636363636358,0.009936766034327027,0.11022840119165833,0.1258811681772407,0.34375,0.16579770594369125,,0.053470919324577884,-0.06443514644351456,0.21938775510204064,0.2437279113399366,49430415.2,52113771.4,0.9485096524793062,0.10041728735892151,0.09028014350328288,1.1122854202737285,True,-0.007770148174918834,0.026833131463710025,True,3,3,收敛较充分,-0.16567164179104477,0.6035714285714285,0.05801078830320816,10.4528,0.06956987601408238,0.0023782125047948632,0.01754385964912264,-0.012677131947390508,,-0.0044523597506679335,10.66,10.38,0.04878048780487809,0.07707129094412313,True,1,2026-09-08,沪深主板10%,17,10.029791459781535,True,True,True,False,True,True,True,True,True,True,True,False,3,1,1,1,3,1,4,0,14,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,8,True,,,119,8,入选：满足二级结构筛选资格条件；本阶段不设置数量下限或上限
002708,光洋股份,17.25,0.012918379330592922,0.02131438721136769,0.02678571428571419,0.5,0.7857142857142856,0.36363636363636354,,0.08256315465187923,-0.01821286283437684,0.3584456780333069,0.23033658853101704,34475027.4,57096182.5,0.6038061721552049,0.06963941449005259,0.11621405047230657,0.5992340358763025,True,0.02212014988516864,0.023848936300655987,True,3,3,收敛较充分,-0.01821286283437684,0.9642857142857143,0.14008129275304837,14.348400000000002,0.20222463828719572,0.014480047512655858,0.08325954476795694,0.035956666526156145,,-0.006908462867012188,16.23,15.65,0.06284658040665425,0.10223642172523961,True,3,2026-09-07,沪深主板10%,17,10.028248587570632,True,True,True,True,True,True,True,True,True,True,True,False,3,1,1,1,3,1,4,0,14,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,8,True,,,119,8,入选：满足二级结构筛选资格条件；本阶段不设置数量下限或上限
002916,深南电路,395.02,0.02736020806241868,0.015136329761262335,0.0823058797742342,0.14955038849925795,0.11764373019465824,-0.09015109637000196,,0.10054274084124834,-0.025964739243003354,0.21973736327351392,0.4575586934485041,7971503.0,7630996.2,1.0446215397145657,0.01205763465224345,0.011456198067780789,1.0524987941814772,False,-0.007610924635522487,0.03317341663877427,True,3,2,部分收敛/待确认,-0.1848030212353221,0.6741740649104933,0.06531823085221133,367.5464,0.07474865758445737,0.0002307724126819899,0.014126853076344315,-0.01984219132594267,,-0.013707522908291914,368.5,368.5,0.071967435549525,0.071967435549525,True,1,2026-09-07,沪深主板10%,17,10.000000000000009,True,True,False,False,False,True,True,True,True,True,True,True,3,1,0,1,3,1,4,1,14,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,8,True,,,119,8,入选：满足二级结构筛选资格条件；本阶段不设置数量下限或上限
301489,思泉新材,131.4,0.023444193473012076,0.0625909752547309,-0.05406378230508957,0.1527326958505133,0.1880650994575046,-0.14923923599870503,,0.09917355371900827,-0.07144371422514295,0.24131578947368412,0.41097001541137573,6176318.2,8780634.1,0.7034022975629972,0.0825317037680829,0.13160969866540528,0.6270943904970512,True,0.023700132656032658,-0.0209493318485523,False,3,2,部分收敛/待确认,-0.36741767764298094,0.38644585577618784,0.05043948181516589,121.7436,0.07931751648546626,0.003892090151362826,0.042485036287547295,-0.046821525548607745,,0.023683390464319,121.0,114.0,0.08595041322314056,0.15263157894736845,True,1,2026-09-03,创业板20%,17,19.999999999999996,True,True,True,True,True,False,True,True,True,True,True,True,3,1,1,0,3,1,4,1,14,True,,核心：振幅、流动性（成交量/换手合并）与短期止跌三类证据中至少两类支持+40日趋势仍活；缺失量价/换手必须明示；2%-6%单日加速仅为中等证据,8,True,,,119,8,入选：满足二级结构筛选资格条件；本阶段不设置数量下限或上限
