股票代码,股票名称,缓存行数,最早交易日,最后交易日,日期已最新,统一深缓存就绪,需要异常补抓
000002,万 科Ａ,0,,,False,False,True
000007,全新好,263,2025-08-22,2026-09-21,True,True,False
000011,深物业A,280,2025-07-30,2026-09-21,True,True,False
000017,深中华A,280,2025-07-30,2026-09-21,True,True,False
000020,深华发Ａ,280,2025-07-30,2026-09-21,True,True,False
000026,飞亚达,280,2025-07-30,2026-09-21,True,True,False
000048,京基智农,280,2025-07-30,2026-09-21,True,True,False
000059,华锦股份,280,2025-07-30,2026-09-21,True,True,False
000062,深圳华强,280,2025-07-30,2026-09-21,True,True,False
000070,特发信息,280,2025-07-30,2026-09-21,True,True,False
000428,华天酒店,280,2025-07-30,2026-09-21,True,True,False
000504,南华生物,280,2025-07-29,2026-09-21,True,True,False
000505,京粮控股,280,2025-07-30,2026-09-21,True,True,False
000506,招金黄金,280,2025-07-30,2026-09-21,True,True,False
000510,新金路,280,2025-07-30,2026-09-21,True,True,False
000517,荣安地产,38,2026-07-30,2026-09-21,True,False,False
000520,凤凰航运,262,2025-08-25,2026-09-21,True,True,False
000523,红棉股份,280,2025-07-30,2026-09-21,True,True,False
000526,学大教育,263,2025-08-22,2026-09-21,True,True,False
000532,华金资本,0,,,False,False,True
000536,华映科技,280,2025-07-30,2026-09-21,True,True,False
000560,我爱我家,280,2025-07-30,2026-09-21,True,True,False
000565,渝三峡Ａ,280,2025-07-30,2026-09-21,True,True,False
000592,平潭发展,280,2025-07-25,2026-09-21,True,True,False
000596,古井贡酒,280,2025-07-30,2026-09-21,True,True,False
000603,盛达资源,280,2025-07-30,2026-09-21,True,True,False
000620,盈新发展,280,2025-07-30,2026-09-21,True,True,False
000626,远大控股,280,2025-07-30,2026-09-21,True,True,False
000628,高新发展,280,2025-07-30,2026-09-21,True,True,False
000635,英 力 特,280,2025-07-28,2026-09-21,True,True,False
000636,风华高科,280,2025-07-30,2026-09-21,True,True,False
000657,中钨高新,38,2026-07-30,2026-09-21,True,False,False
000670,盈方微,263,2025-08-08,2026-09-21,True,True,False
000712,锦龙股份,37,2026-07-31,2026-09-21,True,False,False
000716,黑芝麻,280,2025-07-23,2026-09-21,True,True,False
000720,新能泰山,263,2025-08-22,2026-09-21,True,True,False
000721,西安饮食,263,2025-08-22,2026-09-21,True,True,False
000722,湖南发展,280,2025-07-30,2026-09-21,True,True,False
000723,美锦能源,264,2025-08-21,2026-09-21,True,True,False
000735,罗 牛 山,264,2025-08-21,2026-09-21,True,True,False
000737,北方铜业,280,2025-07-30,2026-09-21,True,True,False
000759,中百集团,280,2025-07-30,2026-09-21,True,True,False
000798,中水渔业,280,2025-07-30,2026-09-21,True,True,False
000811,冰轮环境,280,2025-07-30,2026-09-21,True,True,False
000823,超声电子,280,2025-07-30,2026-09-21,True,True,False
000831,中国稀土,280,2025-07-30,2026-09-21,True,True,False
000833,粤桂股份,280,2025-07-30,2026-09-21,True,True,False
000859,国风新材,280,2025-07-30,2026-09-21,True,True,False
000868,安凯客车,280,2025-07-30,2026-09-21,True,True,False
000887,中鼎股份,263,2025-08-22,2026-09-21,True,True,False
000889,中嘉博创,263,2025-08-22,2026-09-21,True,True,False
000890,法尔胜,280,2025-07-30,2026-09-21,True,True,False
000892,欢瑞世纪,38,2026-07-30,2026-09-21,True,False,False
000910,大亚圣象,0,,,False,False,True
000912,泸天化,280,2025-07-30,2026-09-21,True,True,False
000930,中粮科技,280,2025-07-30,2026-09-21,True,True,False
000931,中 关 村,280,2025-07-30,2026-09-21,True,True,False
000938,紫光股份,36,2026-08-03,2026-09-21,True,False,False
000960,锡业股份,38,2026-07-30,2026-09-21,True,False,False
000962,东方钽业,280,2025-07-30,2026-09-21,True,True,False
000975,山金国际,38,2026-07-30,2026-09-21,True,False,False
000977,浪潮信息,280,2025-07-30,2026-09-21,True,True,False
000978,桂林旅游,280,2025-07-30,2026-09-21,True,True,False
000980,众泰汽车,280,2025-07-30,2026-09-21,True,True,False
000981,山子高科,280,2025-07-30,2026-09-21,True,True,False
000988,华工科技,280,2025-07-30,2026-09-21,True,True,False
000989,九芝堂,38,2026-07-30,2026-09-21,True,False,False
000993,闽东电力,280,2025-07-30,2026-09-21,True,True,False
001210,金房能源,263,2025-08-22,2026-09-21,True,True,False
001216,华瓷股份,280,2025-07-30,2026-09-21,True,True,False
001223,欧克科技,280,2025-07-30,2026-09-21,True,True,False
001232,嘉立创,35,2026-08-04,2026-09-21,True,False,False
001258,立新能源,280,2025-07-30,2026-09-21,True,True,False
001268,联合精密,260,2025-08-27,2026-09-21,True,True,False
001277,速达股份,280,2025-07-30,2026-09-21,True,True,False
001309,德明利,280,2025-07-30,2026-09-21,True,True,False
001317,三羊马,0,,,False,False,True
001326,联域股份,280,2025-07-30,2026-09-21,True,True,False
001330,博纳影业,280,2025-07-30,2026-09-21,True,True,False
001337,四川黄金,130,2026-03-17,2026-09-21,True,False,False
001358,兴欣新材,280,2025-07-30,2026-09-21,True,True,False
001359,平安电工,38,2026-07-30,2026-09-21,True,False,False
001366,播恩集团,280,2025-07-30,2026-09-21,True,True,False
001376,百通能源,0,,,False,False,True
001378,德冠新材,280,2025-07-30,2026-09-21,True,True,False
001696,宗申动力,280,2025-07-30,2026-09-21,True,True,False
001896,豫能控股,280,2025-07-30,2026-09-21,True,True,False
002011,盾安环境,280,2025-07-30,2026-09-21,True,True,False
002012,凯恩股份,263,2025-08-22,2026-09-21,True,True,False
002015,协鑫能科,280,2025-07-30,2026-09-21,True,True,False
002017,东信和平,280,2025-07-30,2026-09-21,True,True,False
002037,保利联合,263,2025-08-22,2026-09-21,True,True,False
002038,双鹭药业,280,2025-07-30,2026-09-21,True,True,False
002040,南 京 港,280,2025-07-30,2026-09-21,True,True,False
002041,登海种业,260,2025-08-27,2026-09-21,True,True,False
002046,国机精工,280,2025-07-30,2026-09-21,True,True,False
002059,云南旅游,37,2026-07-31,2026-09-21,True,False,False
002068,黑猫股份,280,2025-07-30,2026-09-21,True,True,False
002072,凯瑞德,280,2025-07-30,2026-09-21,True,True,False
002080,中材科技,0,,,False,False,True
002081,金 螳 螂,280,2025-07-30,2026-09-21,True,True,False
002084,海鸥住工,280,2025-07-23,2026-09-21,True,True,False
002094,青岛金王,280,2025-07-30,2026-09-21,True,True,False
002104,恒宝股份,280,2025-07-30,2026-09-21,True,True,False
002107,沃华医药,280,2025-07-30,2026-09-21,True,True,False
002112,三变科技,280,2025-07-30,2026-09-21,True,True,False
002124,天邦食品,280,2025-07-30,2026-09-21,True,True,False
002138,顺络电子,280,2025-07-30,2026-09-21,True,True,False
002141,贤丰控股,280,2025-07-30,2026-09-21,True,True,False
002155,湖南黄金,280,2025-07-09,2026-09-21,True,True,False
002161,远 望 谷,280,2025-07-30,2026-09-21,True,True,False
002165,红 宝 丽,280,2025-07-30,2026-09-21,True,True,False
002171,楚江新材,280,2025-07-30,2026-09-21,True,True,False
002172,澳洋健康,280,2025-07-23,2026-09-21,True,True,False
002174,游族网络,280,2025-07-30,2026-09-21,True,True,False
002180,奔图科技,38,2026-07-30,2026-09-21,True,False,False
002185,华天科技,280,2025-07-16,2026-09-21,True,True,False
002194,武汉凡谷,280,2025-07-30,2026-09-21,True,True,False
002201,九鼎新材,280,2025-07-30,2026-09-21,True,True,False
002212,天融信,280,2025-07-30,2026-09-21,True,True,False
002213,大为股份,280,2025-07-30,2026-09-21,True,True,False
002222,福晶科技,280,2025-07-30,2026-09-21,True,True,False
002229,鸿博股份,262,2025-08-25,2026-09-21,True,True,False
002232,启明信息,280,2025-07-30,2026-09-21,True,True,False
002235,安妮股份,280,2025-07-23,2026-09-21,True,True,False
002242,九阳股份,280,2025-07-30,2026-09-21,True,True,False
