股票代码,股票名称,最新收盘,ret1,ret5,ret10,ret20,ret40,ret60,ret120,amp5,距20日高点,前10日区间振幅,振幅收敛比,近5日平均成交量,前10日平均成交量,成交量收敛比,近5日平均换手率,前10日平均换手率,换手率收敛比,流动性收敛证据,MA5_3日斜率,MA10_3日斜率,短期下行停止证据,整理证据可用项,整理收敛支持项,整理成熟度状态,距250日高点,250日位置,MA20距离,MA25,MA25距离,MA25_1日斜率,MA30_5日斜率,MA60_10日斜率,MA120_20日斜率,距稳健5日上沿,近5日低点,近10日低点,距近5日低点,距近10日低点,最近25日曾涨停,25日内涨停次数,最近涨停日期,涨停板规则,涨停核验交易日数,25日最大单日涨幅,有效突破阶段,有效突破观察资格,有效突破确认,整理交易日数,整理超过一周,平台上沿,突破日期,突破放量比,回踩缩量比,回踩守位,重新缓慢走强,N型走势,有效突破原因,20日方向证据,MA25上方证据,短波动非极端证据,10日不过热证据,10日非急跌证据,短沿附近辅助,阶段1分,阶段1通过,收盘价高于MA25,MA25向上,阶段1风险提示,阶段1规则说明,阶段排名,本阶段入选,阶段软容量下限,阶段软容量上限,实际入选数,边界分数,决策说明
000020,深华发Ａ,14.26,0.10030864197530853,0.11406249999999996,0.1453815261044178,0.1593495934959348,0.4118811881188118,0.3252788104089219,-0.11975308641975302,0.169811320754717,-0.05374917053749173,0.23423423423423417,0.7249637155297536,10735543.0,11314079.8,0.9488657663524699,0.05553796558195818,0.05919207430581637,0.938266925653269,True,0.009474992233613033,0.021288041807562275,True,3,3,收敛较充分,-0.44427123928293066,0.3095093882495457,0.09688088919656934,12.905999999999999,0.10491244382457787,0.009101144680052409,0.027356035137186874,0.02663391681339955,-0.04674605857971137,0.05629629629629629,12.19,12.19,0.16981132075471694,0.16981132075471694,True,3,2026-09-08,沪深主板10%,17,10.044052863436125,INELIGIBLE,False,False,0,False,,,,,False,False,True,未形成合格的短周期缩量平台或呈N型走势,2,2,1,1,1,1,8,True,True,True,,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停，且最新收盘价严格高于MA25、当日MA25严格高于前一交易日MA25；通过后再按方向/非极端波动/不过热排序,1,True,,,232,4,入选：满足一级粗筛资格条件；本阶段不设置数量下限或上限
000059,华锦股份,5.75,0.06481481481481466,0.05698529411764697,0.028622540250447193,0.23390557939914158,0.2637362637362637,0.505235602094241,0.06088560885608851,0.10037878787878775,-0.07999999999999996,0.155268022181146,0.6464871933621926,39229740.2,87326565.5,0.44923031125047513,0.021015161358071376,0.0578509336980059,0.3632639961832761,True,-0.009044862518089891,-0.010890567363428638,False,3,2,部分收敛/待确认,-0.16666666666666674,0.6417445482866043,0.032779524023349715,5.410799999999999,0.06268943594292908,0.008574410975245916,0.02912305792108172,0.0576431959139001,-0.007154443780414743,0.0492700729927007,5.28,5.28,0.08901515151515138,0.08901515151515138,True,3,2026-09-08,沪深主板10%,17,10.079051383399218,BREAKOUT_AWAIT_RETEST,False,False,5,False,5.48,2026-09-21,1.7632333822368702,,False,False,True,首次放量突破，仅观察，等待缩量回踩确认,2,2,1,1,1,1,8,True,True,True,,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停，且最新收盘价严格高于MA25、当日MA25严格高于前一交易日MA25；通过后再按方向/非极端波动/不过热排序,1,True,,,232,4,入选：满足一级粗筛资格条件；本阶段不设置数量下限或上限
000062,深圳华强,23.76,0.029016890428757103,0.05179282868525914,-0.012058212058212003,0.08641975308641969,0.07608695652173925,-0.19999999999999996,-0.0979498861047835,0.08464655560558303,-0.04959999999999998,0.13275940190303578,0.6375936799369343,20090654.2,26215678.0,0.7663602749469229,0.016256976453346374,0.028162502772439646,0.5772560977519283,True,0.010752688172043001,-0.011136910904712805,False,3,2,部分收敛/待确认,-0.40792424619985046,0.16436957631444624,0.016905628076182566,23.1924,0.024473534433693933,3.449524827958683e-05,-0.0012039213438056473,-0.05560738943832799,-0.01321834212901174,0.029016890428757103,22.21,22.07,0.06978838361098605,0.07657453556864535,True,1,2026-08-28,沪深主板10%,17,10.004426737494466,BREAKOUT_AWAIT_RETEST,True,False,5,False,23.09,2026-09-21,2.0379146741203065,,False,False,False,首次放量突破，仅观察，等待缩量回踩确认,2,2,1,1,1,1,8,True,True,True,,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停，且最新收盘价严格高于MA25、当日MA25严格高于前一交易日MA25；通过后再按方向/非极端波动/不过热排序,1,True,,,232,4,入选：满足一级粗筛资格条件；本阶段不设置数量下限或上限
000520,凤凰航运,4.3,0.04878048780487809,0.018957345971563955,-0.022727272727272818,0.009389671361502261,0.11111111111111094,0.17808219178082196,0.018957345971563955,0.09343434343434347,-0.07526881720430123,0.11510791366906485,0.8117108585858581,33553100.0,72074737.0,0.465532049045146,0.03151852235347525,0.07136021282948447,0.44168201163845866,True,-0.012949640287769904,-0.016949152542372947,False,3,2,部分收敛/待确认,-0.19475655430711614,0.49268292682926823,0.010457055575138208,4.25,0.0117647058823529,0.000753508524065083,0.007108626198083057,0.002038154247513413,-0.006031926560786438,0.014150943396226356,3.96,3.96,0.08585858585858586,0.08585858585858586,True,1,2026-08-20,沪深主板10%,4,9.975062344139651,BREAKOUT_AWAIT_RETEST,False,False,4,False,4.17,2026-09-21,1.2592096240130097,,False,False,True,首次放量突破，仅观察，等待缩量回踩确认,2,2,1,1,1,1,8,True,True,True,,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停，且最新收盘价严格高于MA25、当日MA25严格高于前一交易日MA25；通过后再按方向/非极端波动/不过热排序,1,True,,,232,4,入选：满足一级粗筛资格条件；本阶段不设置数量下限或上限
000523,红棉股份,3.53,0.041297935103244754,-0.02216066481994461,-0.019444444444444486,0.14983713355048867,0.2930402930402929,0.3682170542635659,0.008571428571428452,0.13375796178343946,-0.2645833333333334,0.49532710280373826,0.2700396586948684,213460966.2,176698238.4,1.208053731224974,0.1251271177596478,0.10459446628040846,1.196307244631787,False,-0.0962365591397848,-0.0002686727565824887,False,3,1,结构未成熟,-0.2645833333333334,0.4478260869565217,-0.008287680854052515,3.4888,0.011809218069250171,0.006578188113098626,0.02257223113964657,0.054844606946983676,-0.0010932458736635509,0.011461318051575908,3.14,3.14,0.12420382165605082,0.12420382165605082,True,3,2026-09-09,沪深主板10%,17,10.1010101010101,INELIGIBLE,False,False,0,False,,,,,False,False,True,未形成合格的短周期缩量平台或呈N型走势,2,2,1,1,1,1,8,True,True,True,,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停，且最新收盘价严格高于MA25、当日MA25严格高于前一交易日MA25；通过后再按方向/非极端波动/不过热排序,1,True,,,232,4,入选：满足一级粗筛资格条件；本阶段不设置数量下限或上限
000565,渝三峡Ａ,6.82,0.027108433734939874,-0.015873015873015817,0.05736434108527133,0.1500843170320405,0.2606284658040665,0.19859402460456943,-0.07837837837837835,0.08962264150943386,-0.1378002528445006,0.2615629984051038,0.3426426599171647,22680010.0,27489754.0,0.8250350294149594,0.055449345354951225,0.058322578604692935,0.9507354901226793,True,-0.05514496873223407,0.01397264303574075,False,3,2,部分收敛/待确认,-0.27292110874200426,0.41418764302059496,0.03192616129520354,6.4928,0.050394282897979314,0.00507739938080487,0.019618239660657455,0.022717036369778176,-0.03126337282519642,-0.015873015873015817,6.36,6.36,0.07232704402515733,0.07232704402515733,True,2,2026-09-09,沪深主板10%,17,9.966777408637872,READY_FOR_BREAKOUT,False,False,5,False,6.83,,,,False,False,False,紧凑缩量平台形成，尚未出现放量突破,2,2,1,1,1,1,8,True,True,True,,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停，且最新收盘价严格高于MA25、当日MA25严格高于前一交易日MA25；通过后再按方向/非极端波动/不过热排序,1,True,,,232,4,入选：满足一级粗筛资格条件；本阶段不设置数量下限或上限
000592,平潭发展,8.5,-0.015063731170336103,0.04938271604938271,0.08005082592121981,0.4382402707275803,0.4604810996563573,0.285930408472012,-0.2685025817555937,0.14157014157014153,-0.041713641488162256,0.2874251497005988,0.49254611754611743,351749629.0,358714251.4,0.9805844836863373,0.19395431938231195,0.1884118157031883,1.0294169644214615,True,0.0338650306748467,0.042216024340770764,True,3,3,收敛较充分,-0.49584816132858833,0.3875457875457876,0.12463614712886972,7.291600000000001,0.1657249437709143,0.010812908949761502,0.04450477529451691,0.027061190795583556,-0.06833708691022511,-0.024110218140068973,7.77,7.37,0.09395109395109391,0.15332428765264594,True,2,2026-09-04,沪深主板10%,17,10.016155088852985,INELIGIBLE,False,False,0,False,,,,,False,False,False,未形成合格的短周期缩量平台或呈N型走势,2,2,1,1,1,1,8,True,True,True,,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停，且最新收盘价严格高于MA25、当日MA25严格高于前一交易日MA25；通过后再按方向/非极端波动/不过热排序,1,True,,,232,4,入选：满足一级粗筛资格条件；本阶段不设置数量下限或上限
000596,古井贡酒,95.46,0.017914267434420816,0.03648208469055381,-0.0548514851485149,0.05306122448979589,0.08786324786324773,0.2580390089615181,-0.056066449124888784,0.05778949681388711,-0.06402588489067562,0.11831140350877184,0.4884524661192316,2479052.8,4565915.9,0.5429475387402557,0.00591550905531075,0.012512584085028955,0.4727647794501963,True,0.006812662526057833,-0.017842129845866306,False,3,2,部分收敛/待确认,-0.43541518807665014,0.23867631851085827,0.0024046791485965446,94.70559999999999,0.007965738034498626,0.0001774233066631492,0.003030324311417587,0.03033503000835669,-0.0190633224240655,0.015099957464908442,91.02,91.02,0.04878048780487809,0.04878048780487809,True,1,2026-09-01,沪深主板10%,17,9.998909606367912,READY_FOR_BREAKOUT,False,False,5,False,94.45,,,,False,False,False,紧凑缩量平台形成，尚未出现放量突破,2,2,1,1,1,1,8,True,True,True,,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停，且最新收盘价严格高于MA25、当日MA25严格高于前一交易日MA25；通过后再按方向/非极端波动/不过热排序,1,True,,,232,4,入选：满足一级粗筛资格条件；本阶段不设置数量下限或上限
000626,远大控股,9.1,0.02824858757062154,0.03526734926052333,-0.07707910750507097,0.12903225806451601,0.3481481481481481,0.4218749999999998,0.10303030303030303,0.07311320754716971,-0.13333333333333341,0.20967741935483875,0.34869375907111705,16219533.8,31525540.2,0.5144886874928157,0.03419280204982153,0.06251188154027529,0.5469808491973117,True,-0.007007233273055968,-0.016167277430480742,False,3,2,部分收敛/待确认,-0.20938314509122502,0.5696428571428571,0.004692243996687662,8.860800000000001,0.026995305164319028,0.005446623093682046,0.025131754896562608,0.05134685884737111,0.023175472985412338,0.009988901220865598,8.48,8.48,0.07311320754716966,0.07311320754716966,True,1,2026-08-28,沪深主板10%,16,10.058479532163744,INELIGIBLE,False,False,5,False,9.01,,,,False,False,True,未形成合格的短周期缩量平台或呈N型走势,2,2,1,1,1,1,8,True,True,True,,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停，且最新收盘价严格高于MA25、当日MA25严格高于前一交易日MA25；通过后再按方向/非极端波动/不过热排序,1,True,,,232,4,入选：满足一级粗筛资格条件；本阶段不设置数量下限或上限
000628,高新发展,60.01,-0.0077711640211639565,0.15182341650671782,0.12420382165605082,0.2564907872696818,0.6536235877652246,0.30513266637668557,0.1593894899536321,0.17500000000000002,-0.017839607201309393,0.20169983416252066,0.867625899280576,11449837.8,14419509.3,0.7940518336501229,0.0557310880123259,0.07613455320521516,0.7320078159795173,True,0.05391253042259758,0.029283305383041913,True,3,3,收敛较充分,-0.11646054181389875,0.7762376237623761,0.12870765700528541,51.227599999999995,0.17143883375367963,0.01569513839321135,0.06454307191613129,0.018105944601949586,0.0020873086702200006,0.03877445040678551,52.0,51.45,0.15403846153846157,0.16637512147716227,True,1,2026-08-21,沪深主板10%,6,9.99272374484599,INELIGIBLE,False,False,0,False,,,,,False,False,True,未形成合格的短周期缩量平台或呈N型走势,2,2,1,1,1,1,8,True,True,True,,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停，且最新收盘价严格高于MA25、当日MA25严格高于前一交易日MA25；通过后再按方向/非极端波动/不过热排序,1,True,,,232,4,入选：满足一级粗筛资格条件；本阶段不设置数量下限或上限
