股票代码,股票名称,最新收盘,ret1,ret5,ret10,ret20,ret40,ret60,ret120,amp5,距20日高点,前10日区间振幅,振幅收敛比,近5日平均成交量,前10日平均成交量,成交量收敛比,近5日平均换手率,前10日平均换手率,换手率收敛比,流动性收敛证据,MA5_3日斜率,MA10_3日斜率,短期下行停止证据,整理证据可用项,整理收敛支持项,整理成熟度状态,距250日高点,250日位置,MA20距离,MA25,MA25距离,MA25_1日斜率,MA30_5日斜率,MA60_10日斜率,MA120_20日斜率,距稳健5日上沿,近5日低点,近10日低点,距近5日低点,距近10日低点,最近25日曾涨停,25日内涨停次数,最近涨停日期,涨停板规则,涨停核验交易日数,25日最大单日涨幅,有效突破阶段,有效突破观察资格,有效突破确认,整理交易日数,整理超过一周,平台上沿,突破日期,突破放量比,回踩缩量比,回踩守位,重新缓慢走强,N型走势,有效突破确认路径,平台上方横盘振幅,微平台上沿,微平台再突破量比,有效突破原因,20日方向证据,MA25上方证据,短波动非极端证据,10日不过热证据,10日非急跌证据,短沿附近辅助,阶段1分,阶段1通过,收盘价高于MA25,MA25向上,阶段1风险提示,阶段1规则说明,阶段排名,本阶段入选,阶段软容量下限,阶段软容量上限,实际入选数,边界分数,决策说明
000059,华锦股份,5.7,-0.008695652173912993,0.05555555555555558,-0.07317073170731714,0.19747899159663884,,,,0.09622641509433959,-0.08799999999999997,0.18371212121212116,0.5237891460805291,40965512.8,76541019.0,0.5352099218851528,0.019067286090506102,0.05035822190126498,0.37863302893995027,True,0.015774027879677188,-0.011327433628318562,False,3,2,部分收敛/待确认,-0.08799999999999997,0.6706586826347306,0.015228426395939243,5.4544,0.045027867409797695,0.00805795815775845,,,,0.04014598540145986,5.3,5.28,0.07547169811320753,0.07954545454545459,True,3,2026-09-08,沪深主板10%,17,10.079051383399218,RETEST_STABILIZING,False,False,5,False,5.48,2026-09-21,1.7632333822368702,0.8368931641365435,True,False,True,,0.039639639639639596,,,突破后处于一周内确认窗，守位/缩量/横住或小平台再突破条件尚未全部成立,2,2,1,1,1,1,8,True,True,True,,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停，且最新收盘价严格高于MA25、当日MA25严格高于前一交易日MA25；通过后再按方向/非极端波动/不过热排序,1,True,,,257,4,入选：满足一级粗筛资格条件；本阶段不设置数量下限或上限
000536,华映科技,3.63,-0.018918918918918948,0.08682634730538918,-0.00819672131147553,0.11349693251533743,,,,0.16363636363636366,-0.08333333333333337,0.15615615615615616,1.047902097902098,90921638.0,71215790.6,1.276706152301004,0.019559556167328934,0.02798115504622673,0.6990260457445464,True,0.03891509433962259,-0.0017167381974249052,True,3,2,部分收敛/待确认,-0.08333333333333337,0.6249999999999999,0.0166643327265088,3.492,0.03951890034364269,0.0042562981709419745,,,,0.022535211267605604,3.3,3.3,0.10000000000000009,0.10000000000000009,True,2,2026-09-01,沪深主板10%,17,10.122699386503076,RETEST_STABILIZING,True,False,5,False,3.46,2026-09-18,1.9361873884160885,1.8400250791444186,True,False,False,,0.07563025210084034,,0.6937535290731988,突破后处于一周内确认窗，守位/缩量/横住或小平台再突破条件尚未全部成立,2,2,1,1,1,1,8,True,True,True,,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停，且最新收盘价严格高于MA25、当日MA25严格高于前一交易日MA25；通过后再按方向/非极端波动/不过热排序,1,True,,,257,4,入选：满足一级粗筛资格条件；本阶段不设置数量下限或上限
000565,渝三峡Ａ,6.79,-0.004398826979472137,0.030349013657056112,0.03822629969418956,0.12603648424543934,,,,0.07389937106918235,-0.1415929203539823,0.2615629984051038,0.2825299125632763,18768449.6,28951443.2,0.6482733682858339,0.046589176961400865,0.062068261843915055,0.7506119162569767,True,-0.011820330969267157,0.013624377380603514,False,3,2,部分收敛/待确认,-0.1415929203539823,0.4641148325358851,0.021513464720926745,6.525600000000001,0.040517347063871334,0.005051749630359925,,,,-0.005856515373352855,6.36,6.36,0.0676100628930818,0.0676100628930818,True,2,2026-09-09,沪深主板10%,17,9.966777408637872,READY_FOR_BREAKOUT,False,False,5,False,6.82,,,,False,False,False,,,,,紧凑缩量平台形成，尚未出现放量突破,2,2,1,1,1,1,8,True,True,True,,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停，且最新收盘价严格高于MA25、当日MA25严格高于前一交易日MA25；通过后再按方向/非极端波动/不过热排序,1,True,,,257,4,入选：满足一级粗筛资格条件；本阶段不设置数量下限或上限
000592,平潭发展,8.6,0.0117647058823529,0.08585858585858586,0.08860759493670867,0.39158576051779925,,,,0.11432160804020092,-0.030439684329199523,0.2874251497005988,0.397743927973199,339559393.6,362398468.4,0.9369780040714986,0.2011160282111268,0.19054934929671374,1.055453765407297,True,0.04798041615667081,0.030706116360019964,True,3,3,收敛较充分,-0.030439684329199523,0.911764705882353,0.11993749186091951,7.3628,0.1680339001466833,0.00976466070546933,,,,-0.012629161882893314,7.96,7.37,0.08040201005025116,0.16689280868385348,True,2,2026-09-04,沪深主板10%,17,10.016155088852985,READY_FOR_BREAKOUT,False,False,4,False,8.71,,,,False,False,False,,,,,紧凑缩量平台形成，尚未出现放量突破,2,2,1,1,1,1,8,True,True,True,,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停，且最新收盘价严格高于MA25、当日MA25严格高于前一交易日MA25；通过后再按方向/非极端波动/不过热排序,1,True,,,257,4,入选：满足一级粗筛资格条件；本阶段不设置数量下限或上限
000626,远大控股,9.23,0.014285714285714457,0.07575757575757569,-0.11420345489443373,0.11743341404358354,,,,0.10259433962264142,-0.12095238095238092,0.23239436619718315,0.44146655231560844,15243876.6,28857592.9,0.5282449112379016,0.0335300299847717,0.0572216183278055,0.5859678730630826,True,0.01641586867305067,-0.02773580833153466,False,3,2,部分收敛/待确认,-0.12095238095238092,0.5313653136531367,0.0136173951240941,8.9084,0.036100758834358704,0.00537197544239798,,,,0.02441731409544956,8.48,8.48,0.08844339622641506,0.08844339622641506,True,1,2026-08-28,沪深主板10%,16,10.058479532163744,INELIGIBLE,False,False,3,False,9.1,,,,False,False,True,,,,,未形成合格的短周期缩量平台或呈N型走势,2,2,1,1,1,1,8,True,True,True,,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停，且最新收盘价严格高于MA25、当日MA25严格高于前一交易日MA25；通过后再按方向/非极端波动/不过热排序,1,True,,,257,4,入选：满足一级粗筛资格条件；本阶段不设置数量下限或上限
000628,高新发展,60.09,0.0013331111481420521,0.13548752834467126,0.1295112781954888,0.2555369828666947,,,,0.16438095238095243,-0.01701292327825943,0.17443273905996756,0.942374426193242,11354106.0,14080168.1,0.8063899464382105,0.06046722791542253,0.07417321033652008,0.8152165403261608,True,0.07567190483184016,0.0378113470751269,True,3,3,收敛较充分,-0.01701292327825943,0.9528772088808337,0.11736102717628816,51.895599999999995,0.1579016332791221,0.013039845708172848,,,,-0.009723137771918244,52.5,51.45,0.14457142857142857,0.16793002915451893,True,1,2026-08-21,沪深主板10%,6,9.99272374484599,INELIGIBLE,False,False,0,False,,,,,False,False,True,,,,,未形成合格的短周期缩量平台或呈N型走势,2,2,1,1,1,1,8,True,True,True,,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停，且最新收盘价严格高于MA25、当日MA25严格高于前一交易日MA25；通过后再按方向/非极端波动/不过热排序,1,True,,,257,4,入选：满足一级粗筛资格条件；本阶段不设置数量下限或上限
000635,英 力 特,7.46,0.0026881720430107503,0.03181189488243419,-0.0158311345646438,0.1803797468354429,,,,0.06610407876230658,-0.11715976331360944,0.1968838526912181,0.33575165184308237,9549158.0,27661953.4,0.3452090986459402,0.025745767416956136,0.07918645237227008,0.3251284360602562,True,0.008244023083264551,-0.006335939606363139,True,3,3,收敛较充分,-0.11715976331360944,0.5619469026548674,0.02995996134198542,7.0692,0.05528206869235541,0.006091312763292889,,,,-0.0013386880856760541,7.11,7.11,0.049226441631504914,0.049226441631504914,True,2,2026-09-02,沪深主板10%,17,10.060975609756095,READY_FOR_BREAKOUT,False,False,5,False,7.47,,,,False,False,False,,,,,紧凑缩量平台形成，尚未出现放量突破,2,2,1,1,1,1,8,True,True,True,,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停，且最新收盘价严格高于MA25、当日MA25严格高于前一交易日MA25；通过后再按方向/非极端波动/不过热排序,1,True,,,257,4,入选：满足一级粗筛资格条件；本阶段不设置数量下限或上限
000798,中水渔业,10.4,0.0,0.045226130653266416,-0.09722222222222221,0.15427302996670367,,,,0.07456588355464765,-0.19814957594448734,0.4174863387978142,0.1786067629646665,28154636.4,50420607.6,0.5583954208437583,0.08697032248227334,0.1402184116086232,0.6202489493678218,True,0.0023428348301446356,-0.017187211236370348,False,3,2,部分收敛/待确认,-0.19814957594448734,0.450854700854701,0.010199125789218,9.9728,0.042836515321674984,0.006052780243725353,,,,-0.006685768863419317,9.79,9.79,0.06230847803881523,0.06230847803881523,True,4,2026-09-09,沪深主板10%,17,10.000000000000009,READY_FOR_BREAKOUT,False,False,5,False,10.48,,,,False,False,False,,,,,紧凑缩量平台形成，尚未出现放量突破,2,2,1,1,1,1,8,True,True,True,,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停，且最新收盘价严格高于MA25、当日MA25严格高于前一交易日MA25；通过后再按方向/非极端波动/不过热排序,1,True,,,257,4,入选：满足一级粗筛资格条件；本阶段不设置数量下限或上限
000912,泸天化,4.22,0.009569377990430672,0.05499999999999994,-0.10782241014799165,0.07653061224489788,,,,0.07808564231738037,-0.18846153846153857,0.3032581453634085,0.25748901888127906,55645583.4,103589397.6,0.5371745052024514,0.03327692814625847,0.06707461621315187,0.4961180551597936,True,-0.004835589941972862,-0.018493150684931625,False,3,2,部分收敛/待确认,-0.18846153846153857,0.3677419354838708,-0.02246930738939068,4.209199999999999,0.0025658082295925144,0.004390569819604728,,,,0.002375296912114022,3.97,3.97,0.06297229219143574,0.06297229219143574,True,3,2026-09-09,沪深主板10%,17,10.1010101010101,INELIGIBLE,False,False,5,False,4.21,,,,False,False,True,,,,,未形成合格的短周期缩量平台或呈N型走势,2,2,1,1,1,1,8,True,True,True,,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停，且最新收盘价严格高于MA25、当日MA25严格高于前一交易日MA25；通过后再按方向/非极端波动/不过热排序,1,True,,,257,4,入选：满足一级粗筛资格条件；本阶段不设置数量下限或上限
000930,中粮科技,5.41,0.0,0.08853118712273655,-0.07204116638078906,0.10633946830265861,,,,0.1115618661257608,-0.2326241134751773,0.4358452138492871,0.25596671153153533,81537756.4,107348329.5,0.7595624149884885,0.04476516377476287,0.05519187423078057,0.8110825080442238,True,-0.0056904400606980765,-0.005220522052205245,True,3,3,收敛较充分,-0.2326241134751773,0.3138075313807532,0.013108614232209659,5.236000000000001,0.03323147440794494,0.0022970903522205877,,,,0.026565464895635715,4.93,4.93,0.0973630831643002,0.0973630831643002,True,2,2026-09-09,沪深主板10%,17,10.000000000000009,INELIGIBLE,False,False,3,False,5.44,,,,False,False,True,,,,,未形成合格的短周期缩量平台或呈N型走势,2,2,1,1,1,1,8,True,True,True,,硬资格：最近25个交易日（含当日）至少一次按板块涨停价核验的实际涨停，且最新收盘价严格高于MA25、当日MA25严格高于前一交易日MA25；通过后再按方向/非极端波动/不过热排序,1,True,,,257,4,入选：满足一级粗筛资格条件；本阶段不设置数量下限或上限
