股票代码,股票名称,最新收盘,ret1,ret5,ret10,ret20,ret40,ret60,ret120,amp5,距20日高点,前10日区间振幅,振幅收敛比,近5日平均成交量,前10日平均成交量,成交量收敛比,近5日平均换手率,前10日平均换手率,换手率收敛比,流动性收敛证据,MA5_3日斜率,MA10_3日斜率,短期下行停止证据,整理证据可用项,整理收敛支持项,整理成熟度状态,距250日高点,250日位置,MA20距离,MA25,MA25距离,MA25_1日斜率,MA30_5日斜率,MA60_10日斜率,MA120_20日斜率,距稳健5日上沿,近5日低点,近10日低点,距近5日低点,距近10日低点,最近25日曾涨停,25日内涨停次数,最近涨停日期,涨停板规则,涨停核验交易日数,25日最大单日涨幅,有效突破阶段,有效突破观察资格,有效突破确认,整理交易日数,整理超过一周,平台上沿,突破日期,突破放量比,回踩缩量比,回踩守位,重新缓慢走强,N型走势,有效突破确认路径,平台上方横盘振幅,微平台上沿,微平台再突破量比,有效突破原因,阶段2分,长期趋势证据,右上角位置证据,40日仍活证据,长期下降修复惩罚,二级结构延续贡献,阶段3分,生命周期标签,阶段3通过,阶段3风险提示,阶段3规则说明,阶段排名,本阶段入选,阶段软容量下限,阶段软容量上限,实际入选数,边界分数,决策说明,OpenAI生命周期资格,OpenAI结构成熟对齐,OpenAI基础资格,OpenAI过热排序惩罚,OpenAI前置对齐分,OpenAI输入排名,OpenAI输入资格,OpenAI输入上限,OpenAI实际输入数,OpenAI前置判定代码,OpenAI前置判定原因
002975,博杰股份,110.9,0.0029845346839108,0.05921680993314227,0.11603099527020233,0.0262816953544327,0.5993654456302278,-0.1034036704664888,1.0736724008975318,0.1434681181959565,-0.05729343760625638,0.19385775862068977,0.7400690032565178,11858147.8,11900081.7,0.9964761670501809,0.0761331009753946,0.08570277722227773,0.8883387848440041,True,0.03786353789229513,0.02716330354427643,True,3,3,收敛较充分,-0.2979679686016332,0.5972792607802875,0.07669380245726942,103.42119999999998,0.07231399364927138,0.0059136375484858394,0.016268648362104843,-0.05923406455192248,0.08045814709554633,-0.0011708547239484002,102.88,92.8,0.07795489891135321,0.19504310344827602,True,1,2026-09-07,沪深主板10%,17,9.996843102178254,RETEST_STABILIZING,True,False,3,False,109.8,2026-09-23,1.2078486568493254,1.30116365121292,True,True,False,,0.06374898272899898,,,突破后处于一周内确认窗，守位/缩量/横住或小平台再突破条件尚未全部成立,14,3,0,1,0,2.8695652173913047,6.869565217391305,中期上升趋势延续,True,40日加速较大：仅作趋势成熟风险提示，不单独判尾端,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,4,True,,,18,1.391304347826087,入选：满足三级生命周期筛选资格条件；本阶段不设置数量下限或上限,True,True,True,0,20.869565217391305,1,True,50,9,QUALIFIED_FOR_OPENAI,进入OpenAI：三类整理成熟证据3/3且250日生命周期通过；对齐排名1/9，输入上限50只
301630,同宇新材,215.4,-0.01885761136922648,0.06734056786085918,0.13667546174142475,0.03244979149690841,0.48859709744298563,-0.07267091441363871,0.7782547676050526,0.12680288461538458,-0.04266666666666663,0.2216609890755316,0.5720577407158286,1906235.4,1902049.8,1.002200573297292,0.0800977611691301,0.09774619547194939,0.8194463301859771,True,0.03132156676932807,0.03690004674793612,True,3,3,收敛较充分,-0.31859162949606146,0.4986559139784946,0.09480703644782373,193.3016,0.11432083335057763,0.01006397889804167,0.03189020775803453,-0.05377669354058334,0.06199417717001543,0.027524686352144334,199.68,170.26,0.07872596153846145,0.26512392810994956,True,1,2026-08-26,创业板20%,17,19.998780562160846,RETEST_STABILIZING,True,False,5,False,208.0,2026-09-23,1.5655562673153942,0.666423710665964,True,False,False,,0.048706595199254195,,,突破后处于一周内确认窗，守位/缩量/横住或小平台再突破条件尚未全部成立,14,3,0,1,0,2.8695652173913047,6.869565217391305,中期上升趋势延续,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,4,True,,,18,1.391304347826087,入选：满足三级生命周期筛选资格条件；本阶段不设置数量下限或上限,True,True,True,0,20.869565217391305,2,True,50,9,QUALIFIED_FOR_OPENAI,进入OpenAI：三类整理成熟证据3/3且250日生命周期通过；对齐排名2/9，输入上限50只
002107,沃华医药,7.17,-0.00554785020804438,0.0717488789237668,0.033141210374639796,0.091324200913242,0.22773972602739723,0.1508828250401284,0.0717488789237668,0.12048192771084348,-0.03629032258064524,0.1466049382716048,0.8218135700697542,21690321.0,24738834.5,0.8767721454298908,0.0305278669497231,0.03481816606113532,0.8767798653186065,True,0.05323529411764727,0.0033285094066570764,True,3,3,收敛较充分,-0.13822115384615385,0.6101694915254237,0.026191498497209142,6.855200000000001,0.04592134438090789,0.004042416075927147,0.02399193548387113,0.030433044636908768,0.013397227804400558,-0.028455284552845517,6.64,6.48,0.07981927710843384,0.1064814814814814,True,2,2026-09-01,沪深主板10%,17,10.045662100456632,RETEST_STABILIZING,True,False,5,False,6.99,2026-09-21,1.6373212082070578,0.7096136030360579,True,False,False,,0.04494382022471914,7.44,0.6492487785977885,突破后处于一周内确认窗，守位/缩量/横住或小平台再突破条件尚未全部成立,12,3,0,1,0,2.152173913043478,6.1521739130434785,中期上升趋势延续,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,10,True,,,18,1.391304347826087,入选：满足三级生命周期筛选资格条件；本阶段不设置数量下限或上限,True,True,True,0,18.152173913043477,3,True,50,9,QUALIFIED_FOR_OPENAI,进入OpenAI：三类整理成熟证据3/3且250日生命周期通过；对齐排名3/9，输入上限50只
002141,贤丰控股,6.76,-0.04788732394366191,0.03840245775729656,0.05460218408736339,0.07814992025518341,0.1922398589065255,0.44753747323340476,0.8270270270270268,0.16536661466458652,-0.09504685408299862,0.2266666666666667,0.7295585941084698,188998335.0,159392676.7,1.1857403922999683,0.1110246834527851,0.14869680484999293,0.746651439920233,True,0.04413542926239389,0.027010622154779895,True,3,3,收敛较充分,-0.09504685408299862,0.841870824053452,0.007526641329458128,6.599200000000001,0.024366589889683432,0.0029789044926744612,0.006091989034419543,0.050653827526281336,0.10457034346711902,-0.09017496635262445,6.41,6.0,0.05460218408736339,0.1266666666666667,True,1,2026-09-22,沪深主板10%,9,10.07407407407408,RETEST_STABILIZING,True,False,4,False,6.78,2026-09-22,2.036687459375168,0.7140579175890285,True,False,False,,0.10995542347696868,,0.5676012597599429,突破后处于一周内确认窗，守位/缩量/横住或小平台再突破条件尚未全部成立,10,3,2,1,0,1.0434782608695652,7.043478260869565,右上角/高位趋势,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,1,True,,,18,1.391304347826087,入选：满足三级生命周期筛选资格条件；本阶段不设置数量下限或上限,True,True,True,0,17.043478260869566,4,True,50,9,QUALIFIED_FOR_OPENAI,进入OpenAI：三类整理成熟证据3/3且250日生命周期通过；对齐排名4/9，输入上限50只
603228,景旺电子,103.55,-0.03629595160539789,-0.006809898331095465,-0.058721934369602824,0.0703948728550754,0.5275114323646555,0.5649085688378419,0.9265116279069767,0.09558466763706946,-0.08846830985915488,0.25110132158590304,0.38066174655464513,31535108.0,43828817.7,0.7195062439478033,0.0301524194571132,0.04490498158651951,0.6714715916098932,True,0.0035481740115126392,-0.008779427339786872,True,3,3,收敛较充分,-0.08846830985915488,0.833416210840378,0.008900342470758549,100.68520000000001,0.028453039771485722,0.005725587342176874,0.01913544235998077,0.06845467294644059,0.10109566962761463,-0.0795555555555556,103.05,103.05,0.004852013585638026,0.004852013585638026,True,1,2026-09-07,沪深主板10%,17,9.99584803819804,RETEST_STABILIZING,True,False,3,False,108.0,2026-09-21,1.2704632066641235,0.8303219037549755,False,False,False,,0.08695652173913043,112.5,0.7035069792285088,突破后处于一周内确认窗，守位/缩量/横住或小平台再突破条件尚未全部成立,10,3,2,1,0,1.0434782608695652,7.043478260869565,右上角/高位趋势,True,40日加速较大：仅作趋势成熟风险提示，不单独判尾端,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,1,True,,,18,1.391304347826087,入选：满足三级生命周期筛选资格条件；本阶段不设置数量下限或上限,True,True,True,0,17.043478260869566,5,True,50,9,QUALIFIED_FOR_OPENAI,进入OpenAI：三类整理成熟证据3/3且250日生命周期通过；对齐排名5/9，输入上限50只
603980,吉华集团,8.09,-0.0679723502304147,-0.01820388349514568,-0.007361963190184118,0.1862170087976538,0.2780410742496051,0.23700305810397548,0.29027113237639557,0.14161490683229797,-0.11969532100108815,0.15081521739130438,0.9389961389961377,55769059.6,63730205.8,0.875080488128598,0.0953482227885457,0.09580340064141567,0.9952488340724599,True,0.033269961977186124,0.02567865003668368,True,3,3,收敛较充分,-0.11969532100108815,0.7522522522522523,0.009294491921901349,7.7504,0.043817093311312894,0.0070686070686070135,0.03927547444591095,0.04594405943062285,0.03406866634925665,-0.11777535441657583,8.05,7.5,0.004968944099378758,0.07866666666666666,True,1,2026-09-01,沪深主板10%,17,9.999999999999986,RETEST_STABILIZING,True,False,4,False,8.37,2026-09-18,1.2814409404691187,0.8302119453024907,False,False,False,,0.14161490683229797,9.19,1.1394935577320158,突破后处于一周内确认窗，守位/缩量/横住或小平台再突破条件尚未全部成立,10,3,2,1,0,1.0434782608695652,7.043478260869565,右上角/高位趋势,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,1,True,,,18,1.391304347826087,入选：满足三级生命周期筛选资格条件；本阶段不设置数量下限或上限,True,True,True,0,17.043478260869566,6,True,50,9,QUALIFIED_FOR_OPENAI,进入OpenAI：三类整理成熟证据3/3且250日生命周期通过；对齐排名6/9，输入上限50只
002949,华阳国际,13.08,0.0038372985418266836,0.058252427184465994,0.021077283372365363,0.021874999999999867,0.3346938775510204,0.28740157480314954,-0.012084592145015116,0.1049633848657446,-0.10349554489376289,0.256896551724138,0.4085823035042406,6422579.4,10694812.8,0.6005321944485087,0.0345774231282467,0.07147732387237715,0.483753745313475,True,0.0448048819656337,-0.004976696421518323,True,3,3,收敛较充分,-0.22968197879858654,0.5094339622641509,0.0031444129151008138,12.872,0.01615910503418272,0.00732486070243521,0.03380204025365319,0.03442944184195218,-0.011598681499794039,-0.03039288361749448,12.29,11.6,0.0642799023596421,0.12758620689655187,True,1,2026-08-25,沪深主板10%,6,9.991158267020328,EFFECTIVE_BREAKOUT_CONFIRMED,True,True,5,False,12.64,2026-09-21,1.3201310776744113,0.6892622457759402,True,True,False,ABOVE_PLATFORM_TIGHT_HOLD,0.05516705516705524,13.58,0.7400243668036354,放量突破后在平台上方缩量横住，低点稳定并重新缓慢走强,12,0,0,1,0,2.152173913043478,3.152173913043478,中段/待确认,True,120日趋势偏弱,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,15,True,,,18,1.391304347826087,入选：满足三级生命周期筛选资格条件；本阶段不设置数量下限或上限,True,True,True,0,15.152173913043478,7,True,50,9,QUALIFIED_FOR_OPENAI,进入OpenAI：三类整理成熟证据3/3且250日生命周期通过；对齐排名7/9，输入上限50只
603093,南华期货,13.4,-0.014705882352941124,0.06012658227848089,-0.012527634487840777,-0.008875739644970349,0.11019055509527753,0.056782334384858135,0.02212051868802445,0.12,-0.06359189378057306,0.1897993311036789,0.6322466960352424,21968316.6,21557545.1,1.0190546510789857,0.0154145804824342,0.0269007672454803,0.5730163880371874,True,0.05273833671399575,0.004428216283405728,True,3,3,收敛较充分,-0.25139664804469264,0.34782608695652184,0.018082358304209123,12.928400000000002,0.03647783175025521,0.006633860720069995,0.014947603595935943,-0.008732103874536379,-0.014213153842332682,-0.03735632183908044,12.5,11.96,0.07200000000000006,0.12040133779264206,True,1,2026-08-27,沪深主板10%,17,10.008136696501225,RETEST_STABILIZING,True,False,5,False,12.94,2026-09-21,1.5063651660440343,0.8544823802885823,True,False,False,,0.0550113036925396,13.92,1.2177247249078316,突破后处于一周内确认窗，守位/缩量/横住或小平台再突破条件尚未全部成立,12,0,0,1,0,2.152173913043478,3.152173913043478,中段/待确认,True,,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,15,True,,,18,1.391304347826087,入选：满足三级生命周期筛选资格条件；本阶段不设置数量下限或上限,True,True,True,0,15.152173913043478,8,True,50,9,QUALIFIED_FOR_OPENAI,进入OpenAI：三类整理成熟证据3/3且250日生命周期通过；对齐排名8/9，输入上限50只
603936,博敏电子,21.31,-0.041385515069725654,-0.006989748369058857,0.12276080084299257,0.15689467969598248,0.7847571189279732,-0.09932375316990705,0.6819258089976321,0.13575525812619502,-0.10311447811447827,0.4706253948199622,0.28845714579029086,60832671.4,82991500.8,0.7329988108854636,0.079231833989119,0.1277660748612214,0.6201320192013415,True,0.001376651982378796,0.055458853108983686,True,3,3,收敛较充分,-0.30131147540983616,0.5499510284035258,0.08065620325058953,19.2712,0.10579517622151191,0.00788686429154195,0.05892086865982438,-0.04434949167526159,0.05423206082760079,-0.06411945542380326,20.92,18.4,0.018642447418737884,0.1581521739130436,True,1,2026-09-07,沪深主板10%,17,10.012515644555675,RETEST_STABILIZING,True,False,4,False,22.48,2026-09-22,1.6277168293893376,0.5605736223283947,False,False,False,,0.07355021216407348,,0.6727884724283707,突破后处于一周内确认窗，守位/缩量/横住或小平台再突破条件尚未全部成立,10,3,0,1,0,1.0434782608695652,5.043478260869565,中期上升趋势延续,True,40日加速较大：仅作趋势成熟风险提示，不单独判尾端,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,13,True,,,18,1.391304347826087,入选：满足三级生命周期筛选资格条件；本阶段不设置数量下限或上限,True,True,True,0,15.043478260869566,9,True,50,9,QUALIFIED_FOR_OPENAI,进入OpenAI：三类整理成熟证据3/3且250日生命周期通过；对齐排名9/9，输入上限50只
601208,东材科技,56.44,0.026181818181818084,0.07915869980879542,0.16155587569458718,0.14949083503054972,0.6969332531569452,-0.11299701398711304,0.9216887980932924,0.1263366336633664,-0.007735583684950864,0.2371823450735622,0.5326561453137797,80604754.6,62115181.5,1.297665927290255,0.0739189416307537,0.06916002794894602,1.0688101758044504,False,0.02941968234434511,0.040984755914344584,True,3,2,部分收敛/待确认,-0.2977479158890134,0.625332707061218,0.12430278884462131,49.2596,0.14576651048729583,0.00878134292290933,0.02324317923785779,-0.0658614313254906,0.0711418067991556,0.016936936936936986,50.5,44.86,0.1176237623762375,0.2581364244315649,True,1,2026-08-27,沪深主板10%,17,9.991039426523308,RETEST_STABILIZING,True,False,3,False,53.79,2026-09-23,1.3928547112606002,0.9486845658136688,True,True,False,,0.07058159232072275,,,突破后处于一周内确认窗，守位/缩量/横住或小平台再突破条件尚未全部成立,14,3,0,1,0,2.8695652173913047,6.869565217391305,中期上升趋势延续,True,40日加速较大：仅作趋势成熟风险提示，不单独判尾端,生命周期否决/修正：重点排除长期下降修复；不把接近250日高点或累计涨幅本身当成越高越好,4,True,,,18,1.391304347826087,入选：满足三级生命周期筛选资格条件；本阶段不设置数量下限或上限,True,False,False,0,20.869565217391305,,False,50,9,STRUCTURE_NOT_MATURE,程序前置淘汰：三类整理成熟证据仅2/3，缺少至少一类结构证据
